measurement_timestamp,measurment_value
2026-07-07T14:28:37.083000+02:00,650
2026-07-07T14:28:37.136000+02:00,780
2026-07-07T14:28:37.183000+02:00,670
2026-07-07T14:28:37.236000+02:00,790
2026-07-07T14:28:37.283000+02:00,1060
2026-07-07T14:28:37.337000+02:00,1510
2026-07-07T14:28:37.384000+02:00,1200
2026-07-07T14:28:37.436000+02:00,910
2026-07-07T14:28:37.484000+02:00,740
2026-07-07T14:28:37.536000+02:00,700
2026-07-07T14:28:37.584000+02:00,640
2026-07-07T14:28:37.636000+02:00,750
2026-07-07T14:28:37.684000+02:00,800
2026-07-07T14:28:37.736000+02:00,850
2026-07-07T14:28:37.784000+02:00,730
2026-07-07T14:28:37.836000+02:00,700
2026-07-07T14:28:37.884000+02:00,840
2026-07-07T14:28:37.937000+02:00,1230
2026-07-07T14:28:37.984000+02:00,900
2026-07-07T14:28:38.036000+02:00,830
2026-07-07T14:28:38.085000+02:00,830
2026-07-07T14:28:38.136000+02:00,710
2026-07-07T14:28:38.185000+02:00,970
2026-07-07T14:28:38.237000+02:00,740
2026-07-07T14:28:38.286000+02:00,710
2026-07-07T14:28:38.336000+02:00,700
2026-07-07T14:28:38.386000+02:00,870
2026-07-07T14:28:38.436000+02:00,890
2026-07-07T14:28:38.486000+02:00,820
2026-07-07T14:28:38.537000+02:00,1370
2026-07-07T14:28:38.587000+02:00,900
2026-07-07T14:28:38.637000+02:00,830
2026-07-07T14:28:38.687000+02:00,790
2026-07-07T14:28:38.737000+02:00,780
2026-07-07T14:28:38.787000+02:00,750
2026-07-07T14:28:38.837000+02:00,1060
2026-07-07T14:28:38.887000+02:00,950
2026-07-07T14:28:38.937000+02:00,940
2026-07-07T14:28:38.987000+02:00,930
2026-07-07T14:28:39.037000+02:00,680
2026-07-07T14:28:39.087000+02:00,850
2026-07-07T14:28:39.137000+02:00,720
2026-07-07T14:28:39.187000+02:00,770
2026-07-07T14:28:39.238000+02:00,1440
2026-07-07T14:28:39.288000+02:00,1180
2026-07-07T14:28:39.338000+02:00,2450
2026-07-07T14:28:39.388000+02:00,3140
2026-07-07T14:28:39.438000+02:00,1930
2026-07-07T14:28:39.488000+02:00,1430
2026-07-07T14:28:39.538000+02:00,610
2026-07-07T14:28:39.588000+02:00,1220
2026-07-07T14:28:39.638000+02:00,1040
2026-07-07T14:28:39.688000+02:00,940
2026-07-07T14:28:39.738000+02:00,800
2026-07-07T14:28:39.788000+02:00,750
2026-07-07T14:28:39.838000+02:00,740
2026-07-07T14:28:39.888000+02:00,830
2026-07-07T14:28:39.939000+02:00,1110
2026-07-07T14:28:39.989000+02:00,820
2026-07-07T14:28:40.039000+02:00,1070
2026-07-07T14:28:40.089000+02:00,1030
2026-07-07T14:28:40.139000+02:00,830
2026-07-07T14:28:40.189000+02:00,790
2026-07-07T14:28:40.239000+02:00,1420
2026-07-07T14:28:40.289000+02:00,1330
2026-07-07T14:28:40.339000+02:00,1370
2026-07-07T14:28:40.389000+02:00,1390
2026-07-07T14:28:40.439000+02:00,1460
2026-07-07T14:28:40.489000+02:00,1560
2026-07-07T14:28:40.540000+02:00,1130
2026-07-07T14:28:40.590000+02:00,1110
2026-07-07T14:28:40.640000+02:00,1030
2026-07-07T14:28:40.690000+02:00,890
2026-07-07T14:28:40.740000+02:00,860
2026-07-07T14:28:40.790000+02:00,750
2026-07-07T14:28:40.840000+02:00,800
2026-07-07T14:28:40.890000+02:00,800
2026-07-07T14:28:40.940000+02:00,830
2026-07-07T14:28:40.990000+02:00,840
2026-07-07T14:28:41.040000+02:00,720
2026-07-07T14:28:41.090000+02:00,780
2026-07-07T14:28:41.140000+02:00,800
2026-07-07T14:28:41.191000+02:00,790
2026-07-07T14:28:41.241000+02:00,830
2026-07-07T14:28:41.291000+02:00,890
2026-07-07T14:28:41.341000+02:00,800
2026-07-07T14:28:41.391000+02:00,870
2026-07-07T14:28:41.441000+02:00,820
