measurement_timestamp,measurment_value
2026-07-07T14:14:37.537000+02:00,1340
2026-07-07T14:14:37.587000+02:00,1380
2026-07-07T14:14:37.637000+02:00,1170
2026-07-07T14:14:37.687000+02:00,1710
2026-07-07T14:14:37.737000+02:00,2900
2026-07-07T14:14:37.787000+02:00,2290
2026-07-07T14:14:37.837000+02:00,1540
2026-07-07T14:14:37.887000+02:00,1260
2026-07-07T14:14:37.937000+02:00,1390
2026-07-07T14:14:37.987000+02:00,1390
2026-07-07T14:14:38.037000+02:00,1230
2026-07-07T14:14:38.087000+02:00,1370
2026-07-07T14:14:38.137000+02:00,1330
2026-07-07T14:14:38.187000+02:00,1270
2026-07-07T14:14:38.237000+02:00,1350
2026-07-07T14:14:38.288000+02:00,1300
2026-07-07T14:14:38.338000+02:00,1250
2026-07-07T14:14:38.388000+02:00,1300
2026-07-07T14:14:38.438000+02:00,1290
2026-07-07T14:14:38.488000+02:00,1280
2026-07-07T14:14:38.538000+02:00,1300
2026-07-07T14:14:38.588000+02:00,1420
2026-07-07T14:14:38.638000+02:00,1590
2026-07-07T14:14:38.692000+02:00,1420
2026-07-07T14:14:38.738000+02:00,1410
2026-07-07T14:14:38.792000+02:00,1340
2026-07-07T14:14:38.839000+02:00,1400
2026-07-07T14:14:38.892000+02:00,1210
2026-07-07T14:14:38.939000+02:00,1770
2026-07-07T14:14:38.992000+02:00,1570
2026-07-07T14:14:39.039000+02:00,1530
2026-07-07T14:14:39.092000+02:00,1350
2026-07-07T14:14:39.139000+02:00,1480
2026-07-07T14:14:39.192000+02:00,1470
2026-07-07T14:14:39.239000+02:00,1400
2026-07-07T14:14:39.292000+02:00,1420
2026-07-07T14:14:39.339000+02:00,1350
2026-07-07T14:14:39.392000+02:00,1460
2026-07-07T14:14:39.439000+02:00,1400
2026-07-07T14:14:39.492000+02:00,1320
2026-07-07T14:14:39.539000+02:00,1540
2026-07-07T14:14:39.592000+02:00,1590
2026-07-07T14:14:39.640000+02:00,1820
2026-07-07T14:14:39.692000+02:00,2550
2026-07-07T14:14:39.740000+02:00,2830
2026-07-07T14:14:39.792000+02:00,3440
2026-07-07T14:14:39.840000+02:00,3700
2026-07-07T14:14:39.892000+02:00,2080
2026-07-07T14:14:39.940000+02:00,1860
