ts,rail,value
7979292000000,power.rails.tpu,73765367.0
7979292000000,power.rails.modem,67593569.0
7979292000000,power.rails.radio.frontend,207.0
7979292000000,power.rails.cpu.big,392624830.0
7979292000000,power.rails.cpu.mid,262352746.0
7979292000000,power.rails.cpu.little,498109519.0
7979292000000,power.rails.system.fabric,244051370.0
7979292000000,power.rails.memory.interface,276056332.0
7979294000000,power.rails.wifi.bt,589123644.0
7979294000000,power.rails.aoc.memory,25981334.0
7979294000000,power.rails.aoc.logic,100098868.0
7979294000000,power.rails.ddr.a,63451193.0
7979294000000,power.rails.ddr.b,130207528.0
7979294000000,power.rails.ddr.c,230548029.0
7979294000000,power.rails.gpu,53771962.0
7979294000000,power.rails.display,3186643043.0
7979505000000,power.rails.tpu,73767378.0
7979505000000,power.rails.modem,67594541.0
7979505000000,power.rails.radio.frontend,207.0
7979505000000,power.rails.cpu.big,392625789.0
7979505000000,power.rails.cpu.mid,262354802.0
7979505000000,power.rails.cpu.little,498116433.0
7979505000000,power.rails.system.fabric,244057699.0
7979505000000,power.rails.memory.interface,276061221.0
7979506000000,power.rails.wifi.bt,589134812.0
7979506000000,power.rails.aoc.memory,25982036.0
7979506000000,power.rails.aoc.logic,100101290.0
7979506000000,power.rails.ddr.a,63452216.0
7979506000000,power.rails.ddr.b,130210989.0
7979506000000,power.rails.ddr.c,230551344.0
7979506000000,power.rails.gpu,53772328.0
7979506000000,power.rails.display,3186782782.0
7980002000000,power.rails.tpu,73772100.0
7980002000000,power.rails.modem,67596372.0
7980002000000,power.rails.radio.frontend,207.0
7980002000000,power.rails.cpu.big,392628488.0
7980002000000,power.rails.cpu.mid,262359761.0
7980002000000,power.rails.cpu.little,498125456.0
7980002000000,power.rails.system.fabric,244072168.0
7980002000000,power.rails.memory.interface,276068928.0
7980003000000,power.rails.wifi.bt,589135539.0
7980003000000,power.rails.aoc.memory,25983647.0
7980003000000,power.rails.aoc.logic,100106983.0
7980003000000,power.rails.ddr.a,63454537.0
7980003000000,power.rails.ddr.b,130219041.0
7980003000000,power.rails.ddr.c,230557923.0
7980003000000,power.rails.gpu,53773242.0
7980003000000,power.rails.display,3187108690.0
7980507000000,power.rails.tpu,73776883.0
7980507000000,power.rails.modem,67599612.0
7980507000000,power.rails.radio.frontend,207.0
7980507000000,power.rails.cpu.big,392632820.0
7980507000000,power.rails.cpu.mid,262365662.0
7980507000000,power.rails.cpu.little,498139655.0
7980507000000,power.rails.system.fabric,244086904.0
7980507000000,power.rails.memory.interface,276078579.0
7980509000000,power.rails.wifi.bt,589150206.0
7980509000000,power.rails.aoc.memory,25985432.0
7980509000000,power.rails.aoc.logic,100113163.0
7980509000000,power.rails.ddr.a,63457317.0
7980509000000,power.rails.ddr.b,130227281.0
7980509000000,power.rails.ddr.c,230567379.0
7980509000000,power.rails.gpu,53774681.0
7980509000000,power.rails.display,3187457785.0
7981007000000,power.rails.tpu,73781528.0
7981007000000,power.rails.modem,67603916.0
7981007000000,power.rails.radio.frontend,207.0
7981007000000,power.rails.cpu.big,392635200.0
