measurement_timestamp,measurment_value
2026-07-01T15:04:26.019000+02:00,1240
2026-07-01T15:04:26.070000+02:00,1190
2026-07-01T15:04:26.120000+02:00,1200
2026-07-01T15:04:26.170000+02:00,1230
2026-07-01T15:04:26.220000+02:00,1190
2026-07-01T15:04:26.270000+02:00,1270
2026-07-01T15:04:26.320000+02:00,1730
2026-07-01T15:04:26.370000+02:00,2740
2026-07-01T15:04:26.420000+02:00,1580
2026-07-01T15:04:26.470000+02:00,1510
2026-07-01T15:04:26.520000+02:00,1270
2026-07-01T15:04:26.570000+02:00,1190
2026-07-01T15:04:26.620000+02:00,1240
2026-07-01T15:04:26.670000+02:00,1320
2026-07-01T15:04:26.720000+02:00,1290
2026-07-01T15:04:26.771000+02:00,1280
2026-07-01T15:04:26.821000+02:00,1140
2026-07-01T15:04:26.870000+02:00,1260
2026-07-01T15:04:26.921000+02:00,1380
2026-07-01T15:04:26.971000+02:00,1530
2026-07-01T15:04:27.021000+02:00,1440
2026-07-01T15:04:27.071000+02:00,1350
2026-07-01T15:04:27.121000+02:00,1190
2026-07-01T15:04:27.171000+02:00,1280
2026-07-01T15:04:27.221000+02:00,1230
2026-07-01T15:04:27.271000+02:00,1350
2026-07-01T15:04:27.321000+02:00,1150
2026-07-01T15:04:27.371000+02:00,1210
2026-07-01T15:04:27.421000+02:00,1240
2026-07-01T15:04:27.472000+02:00,1330
2026-07-01T15:04:27.521000+02:00,1510
2026-07-01T15:04:27.572000+02:00,1340
2026-07-01T15:04:27.622000+02:00,1310
2026-07-01T15:04:27.672000+02:00,1260
2026-07-01T15:04:27.722000+02:00,1210
2026-07-01T15:04:27.772000+02:00,1410
2026-07-01T15:04:27.822000+02:00,1510
2026-07-01T15:04:27.872000+02:00,1170
2026-07-01T15:04:27.922000+02:00,1340
2026-07-01T15:04:27.972000+02:00,1200
2026-07-01T15:04:28.022000+02:00,1130
2026-07-01T15:04:28.072000+02:00,1300
2026-07-01T15:04:28.122000+02:00,1290
2026-07-01T15:04:28.172000+02:00,1260
2026-07-01T15:04:28.223000+02:00,1250
2026-07-01T15:04:28.273000+02:00,1270
2026-07-01T15:04:28.323000+02:00,1240
2026-07-01T15:04:28.373000+02:00,2580
2026-07-01T15:04:28.423000+02:00,3000
2026-07-01T15:04:28.477000+02:00,2970
2026-07-01T15:04:28.523000+02:00,3700
2026-07-01T15:04:28.573000+02:00,2860
2026-07-01T15:04:28.623000+02:00,1810
2026-07-01T15:04:28.677000+02:00,1560
2026-07-01T15:04:28.723000+02:00,1670
2026-07-01T15:04:28.777000+02:00,1310
2026-07-01T15:04:28.823000+02:00,1380
2026-07-01T15:04:28.877000+02:00,3820
2026-07-01T15:04:28.924000+02:00,2610
2026-07-01T15:04:28.977000+02:00,2200
2026-07-01T15:04:29.024000+02:00,2009
2026-07-01T15:04:29.077000+02:00,3160
2026-07-01T15:04:29.124000+02:00,3600
2026-07-01T15:04:29.177000+02:00,3110
2026-07-01T15:04:29.224000+02:00,2810
2026-07-01T15:04:29.277000+02:00,3130
2026-07-01T15:04:29.324000+02:00,2800
2026-07-01T15:04:29.377000+02:00,2880
2026-07-01T15:04:29.424000+02:00,2810
2026-07-01T15:04:29.477000+02:00,2050
2026-07-01T15:04:29.525000+02:00,1650
2026-07-01T15:04:29.577000+02:00,1500
2026-07-01T15:04:29.625000+02:00,1460
2026-07-01T15:04:29.677000+02:00,1460
2026-07-01T15:04:29.725000+02:00,1460
2026-07-01T15:04:29.777000+02:00,1470
2026-07-01T15:04:29.825000+02:00,1440
2026-07-01T15:04:29.877000+02:00,1380
