ts,rail,value
16584297000000,power.rails.tpu,214414569.0
16584297000000,power.rails.modem,121847098.0
16584297000000,power.rails.radio.frontend,1650.0
16584297000000,power.rails.cpu.big,766163037.0
16584297000000,power.rails.cpu.mid,383169401.0
16584297000000,power.rails.cpu.little,745175736.0
16584297000000,power.rails.system.fabric,490431925.0
16584297000000,power.rails.memory.interface,533234346.0
16584299000000,power.rails.wifi.bt,1215752191.0
16584299000000,power.rails.aoc.memory,51054717.0
16584299000000,power.rails.aoc.logic,245323262.0
16584299000000,power.rails.ddr.a,152461045.0
16584299000000,power.rails.ddr.b,294702549.0
16584299000000,power.rails.ddr.c,447291940.0
16584299000000,power.rails.gpu,101952029.0
16584299000000,power.rails.display,5502019510.0
16584504000000,power.rails.tpu,214417235.0
16584504000000,power.rails.modem,121848860.0
16584504000000,power.rails.radio.frontend,1650.0
16584504000000,power.rails.cpu.big,766164598.0
16584504000000,power.rails.cpu.mid,383172148.0
16584504000000,power.rails.cpu.little,745181544.0
16584504000000,power.rails.system.fabric,490438146.0
16584504000000,power.rails.memory.interface,533239928.0
16584506000000,power.rails.wifi.bt,1215763937.0
16584506000000,power.rails.aoc.memory,51055330.0
16584506000000,power.rails.aoc.logic,245325754.0
16584506000000,power.rails.ddr.a,152462646.0
16584506000000,power.rails.ddr.b,294706222.0
16584506000000,power.rails.ddr.c,447294998.0
16584506000000,power.rails.gpu,101952428.0
16584506000000,power.rails.display,5502135860.0
16585004000000,power.rails.tpu,214423747.0
16585004000000,power.rails.modem,121850969.0
16585004000000,power.rails.radio.frontend,1650.0
16585004000000,power.rails.cpu.big,766167092.0
16585004000000,power.rails.cpu.mid,383177370.0
16585004000000,power.rails.cpu.little,745190643.0
16585004000000,power.rails.system.fabric,490453084.0
16585004000000,power.rails.memory.interface,533248243.0
16585006000000,power.rails.wifi.bt,1215774821.0
16585006000000,power.rails.aoc.memory,51057083.0
16585006000000,power.rails.aoc.logic,245333357.0
16585006000000,power.rails.ddr.a,152465898.0
16585006000000,power.rails.ddr.b,294715114.0
16585006000000,power.rails.ddr.c,447302262.0
16585006000000,power.rails.gpu,101953358.0
16585006000000,power.rails.display,5502426604.0
16585508000000,power.rails.tpu,214430279.0
16585508000000,power.rails.modem,121852889.0
16585508000000,power.rails.radio.frontend,1650.0
16585508000000,power.rails.cpu.big,766169703.0
16585508000000,power.rails.cpu.mid,383182396.0
16585508000000,power.rails.cpu.little,745197499.0
16585508000000,power.rails.system.fabric,490467622.0
16585508000000,power.rails.memory.interface,533255538.0
16585509000000,power.rails.wifi.bt,1215782371.0
16585509000000,power.rails.aoc.memory,51058674.0
16585509000000,power.rails.aoc.logic,245341273.0
