measurement_timestamp,measurment_value
2026-07-01T14:47:34.605000+02:00,1350
2026-07-01T14:47:34.655000+02:00,1230
2026-07-01T14:47:34.706000+02:00,1220
2026-07-01T14:47:34.756000+02:00,1350
2026-07-01T14:47:34.806000+02:00,1210
2026-07-01T14:47:34.856000+02:00,1860
2026-07-01T14:47:34.906000+02:00,1790
2026-07-01T14:47:34.956000+02:00,1810
2026-07-01T14:47:35.006000+02:00,1790
2026-07-01T14:47:35.056000+02:00,1330
2026-07-01T14:47:35.106000+02:00,1220
2026-07-01T14:47:35.156000+02:00,1210
2026-07-01T14:47:35.206000+02:00,1250
2026-07-01T14:47:35.256000+02:00,1270
2026-07-01T14:47:35.306000+02:00,1210
2026-07-01T14:47:35.357000+02:00,1280
2026-07-01T14:47:35.407000+02:00,1240
2026-07-01T14:47:35.457000+02:00,1280
2026-07-01T14:47:35.507000+02:00,1220
2026-07-01T14:47:35.557000+02:00,1220
2026-07-01T14:47:35.607000+02:00,1550
2026-07-01T14:47:35.657000+02:00,1270
2026-07-01T14:47:35.711000+02:00,1190
2026-07-01T14:47:35.757000+02:00,1210
2026-07-01T14:47:35.811000+02:00,1240
2026-07-01T14:47:35.857000+02:00,1220
2026-07-01T14:47:35.911000+02:00,1220
2026-07-01T14:47:35.957000+02:00,1100
2026-07-01T14:47:36.011000+02:00,1180
2026-07-01T14:47:36.057000+02:00,1150
2026-07-01T14:47:36.111000+02:00,1730
2026-07-01T14:47:36.158000+02:00,1560
2026-07-01T14:47:36.211000+02:00,1440
2026-07-01T14:47:36.258000+02:00,1240
2026-07-01T14:47:36.311000+02:00,1180
2026-07-01T14:47:36.358000+02:00,1380
2026-07-01T14:47:36.411000+02:00,1200
2026-07-01T14:47:36.458000+02:00,1200
2026-07-01T14:47:36.511000+02:00,1280
2026-07-01T14:47:36.558000+02:00,1210
2026-07-01T14:47:36.611000+02:00,1360
2026-07-01T14:47:36.659000+02:00,1210
2026-07-01T14:47:36.710000+02:00,1310
2026-07-01T14:47:36.759000+02:00,1300
2026-07-01T14:47:36.810000+02:00,1290
2026-07-01T14:47:36.859000+02:00,1170
2026-07-01T14:47:36.910000+02:00,1350
2026-07-01T14:47:36.959000+02:00,1710
2026-07-01T14:47:37.010000+02:00,2490
2026-07-01T14:47:37.059000+02:00,2510
2026-07-01T14:47:37.110000+02:00,4140
2026-07-01T14:47:37.159000+02:00,4440
2026-07-01T14:47:37.210000+02:00,2090
2026-07-01T14:47:37.260000+02:00,2290
2026-07-01T14:47:37.310000+02:00,2190
2026-07-01T14:47:37.360000+02:00,3840
2026-07-01T14:47:37.410000+02:00,1740
2026-07-01T14:47:37.460000+02:00,1630
2026-07-01T14:47:37.510000+02:00,2070
2026-07-01T14:47:37.560000+02:00,2020
2026-07-01T14:47:37.610000+02:00,2080
2026-07-01T14:47:37.660000+02:00,2029
2026-07-01T14:47:37.710000+02:00,1900
2026-07-01T14:47:37.760000+02:00,1750
2026-07-01T14:47:37.810000+02:00,1760
2026-07-01T14:47:37.860000+02:00,2740
2026-07-01T14:47:37.910000+02:00,3190
2026-07-01T14:47:37.961000+02:00,2890
2026-07-01T14:47:38.011000+02:00,1530
2026-07-01T14:47:38.061000+02:00,1560
2026-07-01T14:47:38.111000+02:00,1560
2026-07-01T14:47:38.161000+02:00,1930
2026-07-01T14:47:38.211000+02:00,2460
2026-07-01T14:47:38.261000+02:00,2350
2026-07-01T14:47:38.311000+02:00,2080
2026-07-01T14:47:38.361000+02:00,2950
2026-07-01T14:47:38.411000+02:00,2080
2026-07-01T14:47:38.461000+02:00,1820
2026-07-01T14:47:38.512000+02:00,1650
2026-07-01T14:47:38.562000+02:00,1600
2026-07-01T14:47:38.612000+02:00,1840
2026-07-01T14:47:38.662000+02:00,1570
2026-07-01T14:47:38.712000+02:00,1300
2026-07-01T14:47:38.762000+02:00,1320
2026-07-01T14:47:38.812000+02:00,1210
2026-07-01T14:47:38.862000+02:00,1420
2026-07-01T14:47:38.912000+02:00,2020
2026-07-01T14:47:38.962000+02:00,1530
