ts,bytes,event_id
1,2203367,1
2,2203367,1
3,2203367,1
4,2203367,1
5,2203367,1
6,2203367,1
7,2203367,1
8,2203367,1
9,2203367,1
10,2203367,1
11,2203367,1
12,2203367,1
13,2203367,1
14,2203367,1
15,2203367,1
16,2203367,1
17,2203367,1
18,2203367,1
19,2203367,1
20,2203367,1
21,2203367,1
22,2203367,1
23,2203367,1
24,2203367,1
25,2203367,1
26,2203367,1
27,2203367,1
28,2203367,1
29,2203367,1
30,2203367,1
31,2203367,1
32,2203367,1
33,2203367,1
34,2203367,1
35,2203367,1
36,2203367,1
37,2203367,1
38,2203367,1
39,2203367,1
40,2203367,1
41,2203367,1
42,2203367,1
43,2203367,1
44,2203367,1
45,2203367,1
46,2203367,1
47,2203367,1
48,2203367,1
49,2203367,1
50,2203367,1
51,2203367,1
52,2203367,1
53,2203367,1
54,2203367,1
55,2203367,1
56,2203367,1
57,2203367,1
58,2203367,1
59,2203367,1
60,2203367,1
61,2203367,1
62,2203367,1
63,2203367,1
64,2203367,1
65,2203367,1
66,2203367,1
67,2203367,1
68,2203367,1
69,2203367,1
70,2203367,1
71,2203367,1
72,2203367,1
73,2203367,1
74,2203367,1
75,2203367,1
76,2203367,1
77,2203367,1
78,2203367,1
79,2203367,1
80,2203367,1
81,2203367,1
82,2203367,1
83,2203367,1
84,2203367,1
85,2203367,1
86,2203367,1
87,2203385,1
88,2203364,1
89,2203365,1
90,2203365,1
91,2203365,1
92,2203365,1
93,2203365,1
94,2203365,1
95,2203365,1
96,2203365,1
97,2203365,1
98,2203365,1
99,2203365,1
100,2203366,1
