ts,rail,value
15572923000000,power.rails.tpu,201217207.0
15572923000000,power.rails.tpu,201217207.0
15572923000000,power.rails.modem,114634235.0
15572923000000,power.rails.modem,114634235.0
15572923000000,power.rails.radio.frontend,1650.0
15572923000000,power.rails.radio.frontend,1650.0
15572923000000,power.rails.cpu.big,739131274.0
15572923000000,power.rails.cpu.big,739131274.0
15572923000000,power.rails.cpu.mid,359630580.0
15572923000000,power.rails.cpu.mid,359630580.0
15572923000000,power.rails.cpu.little,699559104.0
15572923000000,power.rails.cpu.little,699559104.0
15572923000000,power.rails.system.fabric,459557763.0
15572923000000,power.rails.system.fabric,459557763.0
15572923000000,power.rails.memory.interface,505704103.0
15572923000000,power.rails.memory.interface,505704103.0
15572924000000,power.rails.wifi.bt,1136419667.0
15572924000000,power.rails.wifi.bt,1136419667.0
15572924000000,power.rails.aoc.memory,47851160.0
15572924000000,power.rails.aoc.memory,47851160.0
15572924000000,power.rails.aoc.logic,230142070.0
15572924000000,power.rails.aoc.logic,230142070.0
15572924000000,power.rails.ddr.a,143781853.0
15572924000000,power.rails.ddr.a,143781853.0
15572924000000,power.rails.ddr.b,276727124.0
15572924000000,power.rails.ddr.b,276727124.0
15572924000000,power.rails.ddr.c,424361113.0
15572924000000,power.rails.ddr.c,424361113.0
15572924000000,power.rails.gpu,96799667.0
15572924000000,power.rails.gpu,96799667.0
15572924000000,power.rails.display,4905023409.0
15572924000000,power.rails.display,4905023409.0
15573504000000,power.rails.tpu,201224717.0
15573504000000,power.rails.modem,114639371.0
15573504000000,power.rails.radio.frontend,1650.0
15573504000000,power.rails.cpu.big,739134268.0
15573504000000,power.rails.cpu.mid,359636879.0
15573504000000,power.rails.cpu.little,699570342.0
15573504000000,power.rails.system.fabric,459574313.0
15573504000000,power.rails.memory.interface,505713198.0
15573506000000,power.rails.wifi.bt,1136424235.0
15573506000000,power.rails.aoc.memory,47852907.0
15573506000000,power.rails.aoc.logic,230151892.0
15573506000000,power.rails.ddr.a,143787423.0
15573506000000,power.rails.ddr.b,276737453.0
15573506000000,power.rails.ddr.c,424369102.0
15573506000000,power.rails.gpu,96800796.0
15573506000000,power.rails.display,4905360546.0
15574005000000,power.rails.tpu,201231090.0
15574005000000,power.rails.modem,114641578.0
15574005000000,power.rails.radio.frontend,1650.0
15574005000000,power.rails.cpu.big,739137942.0
15574005000000,power.rails.cpu.mid,359641239.0
15574005000000,power.rails.cpu.little,699575920.0
15574005000000,power.rails.system.fabric,459587493.0
15574005000000,power.rails.memory.interface,505720441.0
15574006000000,power.rails.wifi.bt,1136432739.0
15574006000000,power.rails.aoc.memory,47854325.0
15574006000000,power.rails.aoc.logic,230158642.0
15574006000000,power.rails.ddr.a,143790566.0
15574006000000,power.rails.ddr.b,276746377.0
15574006000000,power.rails.ddr.c,424375426.0
15574006000000,power.rails.gpu,96801688.0
15574006000000,power.rails.display,4905652419.0
15574508000000,power.rails.tpu,201237672.0
15574508000000,power.rails.modem,114644245.0
15574508000000,power.rails.radio.frontend,1650.0
15574508000000,power.rails.cpu.big,739140949.0
15574508000000,power.rails.cpu.mid,359645956.0
15574508000000,power.rails.cpu.little,699582896.0
15574508000000,power.rails.system.fabric,459601967.0
15574508000000,power.rails.memory.interface,505728629.0
15574510000000,power.rails.wifi.bt,1136451672.0
15574510000000,power.rails.aoc.memory,47855740.0
15574510000000,power.rails.aoc.logic,230166380.0
15574510000000,power.rails.ddr.a,143793853.0
15574510000000,power.rails.ddr.b,276755294.0
15574510000000,power.rails.ddr.c,424381694.0
15574510000000,power.rails.gpu,96802652.0
15574510000000,power.rails.display,4905940814.0
15575005000000,power.rails.tpu,201244128.0
15575005000000,power.rails.modem,114648090.0
15575005000000,power.rails.radio.frontend,1650.0
15575005000000,power.rails.cpu.big,739173202.0
15575005000000,power.rails.cpu.mid,359661642.0
15575005000000,power.rails.cpu.little,699619549.0
15575005000000,power.rails.system.fabric,459617187.0
15575005000000,power.rails.memory.interface,505746177.0
15575006000000,power.rails.wifi.bt,1136500190.0
15575006000000,power.rails.aoc.memory,47857163.0
15575006000000,power.rails.aoc.logic,230173354.0
15575006000000,power.rails.ddr.a,143798972.0
15575006000000,power.rails.ddr.b,276764102.0
15575006000000,power.rails.ddr.c,424396611.0
15575006000000,power.rails.gpu,96805241.0
15575006000000,power.rails.display,4906230050.0
15575505000000,power.rails.tpu,201250871.0
15575505000000,power.rails.modem,114653709.0
15575505000000,power.rails.radio.frontend,1650.0
15575505000000,power.rails.cpu.big,739223640.0
15575505000000,power.rails.cpu.mid,359706035.0
15575505000000,power.rails.cpu.little,699703709.0
15575505000000,power.rails.system.fabric,459636046.0
15575505000000,power.rails.memory.interface,505788818.0
15575506000000,power.rails.wifi.bt,1136669546.0
15575506000000,power.rails.aoc.memory,47858699.0
15575506000000,power.rails.aoc.logic,230181469.0
15575506000000,power.rails.ddr.a,143809184.0
15575506000000,power.rails.ddr.b,276772973.0
15575506000000,power.rails.ddr.c,424431459.0
15575506000000,power.rails.gpu,96822672.0
15575506000000,power.rails.display,4906541618.0
15576006000000,power.rails.tpu,201257447.0
15576006000000,power.rails.modem,114657155.0
15576006000000,power.rails.radio.frontend,1650.0
15576006000000,power.rails.cpu.big,739255603.0
15576006000000,power.rails.cpu.mid,359721185.0
15576006000000,power.rails.cpu.little,699758559.0
15576006000000,power.rails.system.fabric,459654310.0
15576006000000,power.rails.memory.interface,505815460.0
15576007000000,power.rails.wifi.bt,1136755263.0
15576007000000,power.rails.aoc.memory,47860356.0
15576007000000,power.rails.aoc.logic,230189864.0
15576007000000,power.rails.ddr.a,143815914.0
15576007000000,power.rails.ddr.b,276781951.0
15576007000000,power.rails.ddr.c,424452368.0
15576007000000,power.rails.gpu,96827333.0
15576007000000,power.rails.display,4906847048.0
15576509000000,power.rails.tpu,201264083.0
15576509000000,power.rails.modem,114662001.0
15576509000000,power.rails.radio.frontend,1650.0
15576509000000,power.rails.cpu.big,739296184.0
15576509000000,power.rails.cpu.mid,359756302.0
15576509000000,power.rails.cpu.little,699825359.0
15576509000000,power.rails.system.fabric,459672641.0
15576509000000,power.rails.memory.interface,505841876.0
15576510000000,power.rails.wifi.bt,1136872049.0
15576510000000,power.rails.aoc.memory,47861941.0
15576510000000,power.rails.aoc.logic,230197667.0
15576510000000,power.rails.ddr.a,143822463.0
15576510000000,power.rails.ddr.b,276790797.0
15576510000000,power.rails.ddr.c,424468297.0
15576510000000,power.rails.gpu,96831090.0
15576510000000,power.rails.display,4907154867.0
15577003000000,power.rails.tpu,201270530.0
15577003000000,power.rails.modem,114665724.0
15577003000000,power.rails.radio.frontend,1650.0
15577003000000,power.rails.cpu.big,739311520.0
15577003000000,power.rails.cpu.mid,359777531.0
15577003000000,power.rails.cpu.little,699856224.0
15577003000000,power.rails.system.fabric,459688317.0
15577003000000,power.rails.memory.interface,505855079.0
15577005000000,power.rails.wifi.bt,1136930922.0
15577005000000,power.rails.aoc.memory,47863424.0
15577005000000,power.rails.aoc.logic,230204990.0
15577005000000,power.rails.ddr.a,143826436.0
15577005000000,power.rails.ddr.b,276799556.0
15577005000000,power.rails.ddr.c,424478671.0
15577005000000,power.rails.gpu,96832613.0
15577005000000,power.rails.display,4907456681.0
15577508000000,power.rails.tpu,201277105.0
15577508000000,power.rails.modem,114668187.0
15577508000000,power.rails.radio.frontend,1650.0
15577508000000,power.rails.cpu.big,739329557.0
15577508000000,power.rails.cpu.mid,359796813.0
15577508000000,power.rails.cpu.little,699894266.0
