measurement_timestamp,measurment_value
2026-07-02T17:15:03.493000+02:00,2270
2026-07-02T17:15:03.537000+02:00,1780
2026-07-02T17:15:03.591000+02:00,1680
2026-07-02T17:15:03.637000+02:00,3890
2026-07-02T17:15:03.691000+02:00,3300
2026-07-02T17:15:03.738000+02:00,3320
2026-07-02T17:15:03.791000+02:00,2490
2026-07-02T17:15:03.838000+02:00,2530
2026-07-02T17:15:03.891000+02:00,3170
2026-07-02T17:15:03.938000+02:00,2680
2026-07-02T17:15:03.991000+02:00,2810
2026-07-02T17:15:04.038000+02:00,2870
2026-07-02T17:15:04.091000+02:00,2430
2026-07-02T17:15:04.138000+02:00,2110
2026-07-02T17:15:04.191000+02:00,1930
2026-07-02T17:15:04.238000+02:00,1500
2026-07-02T17:15:04.291000+02:00,2040
2026-07-02T17:15:04.338000+02:00,1800
2026-07-02T17:15:04.391000+02:00,2320
2026-07-02T17:15:04.439000+02:00,1240
2026-07-02T17:15:04.491000+02:00,1580
2026-07-02T17:15:04.539000+02:00,2460
2026-07-02T17:15:04.592000+02:00,1570
2026-07-02T17:15:04.639000+02:00,2210
2026-07-02T17:15:04.691000+02:00,1580
2026-07-02T17:15:04.739000+02:00,1360
2026-07-02T17:15:04.791000+02:00,1730
2026-07-02T17:15:04.839000+02:00,1480
2026-07-02T17:15:04.891000+02:00,1470
2026-07-02T17:15:04.939000+02:00,1450
2026-07-02T17:15:04.991000+02:00,1440
2026-07-02T17:15:05.040000+02:00,1420
2026-07-02T17:15:05.091000+02:00,1280
2026-07-02T17:15:05.140000+02:00,1430
2026-07-02T17:15:05.191000+02:00,1460
2026-07-02T17:15:05.240000+02:00,1270
2026-07-02T17:15:05.291000+02:00,1270
2026-07-02T17:15:05.340000+02:00,1220
2026-07-02T17:15:05.391000+02:00,1230
2026-07-02T17:15:05.440000+02:00,1290
2026-07-02T17:15:05.491000+02:00,1700
2026-07-02T17:15:05.540000+02:00,1290
2026-07-02T17:15:05.591000+02:00,1680
2026-07-02T17:15:05.640000+02:00,1510
2026-07-02T17:15:05.691000+02:00,2610
2026-07-02T17:15:05.741000+02:00,2640
2026-07-02T17:15:05.791000+02:00,4550
2026-07-02T17:15:05.841000+02:00,2660
2026-07-02T17:15:05.891000+02:00,2310
2026-07-02T17:15:05.941000+02:00,1490
2026-07-02T17:15:05.991000+02:00,1730
2026-07-02T17:15:06.041000+02:00,1600
2026-07-02T17:15:06.091000+02:00,1740
2026-07-02T17:15:06.144000+02:00,1600
2026-07-02T17:15:06.191000+02:00,2440
2026-07-02T17:15:06.241000+02:00,3240
2026-07-02T17:15:06.291000+02:00,2140
2026-07-02T17:15:06.341000+02:00,2660
2026-07-02T17:15:06.391000+02:00,1800
2026-07-02T17:15:06.442000+02:00,2270
2026-07-02T17:15:06.492000+02:00,1590
2026-07-02T17:15:06.542000+02:00,1480
2026-07-02T17:15:06.592000+02:00,1900
2026-07-02T17:15:06.642000+02:00,2350
2026-07-02T17:15:06.692000+02:00,2880
2026-07-02T17:15:06.742000+02:00,2310
2026-07-02T17:15:06.792000+02:00,2110
2026-07-02T17:15:06.842000+02:00,2330
2026-07-02T17:15:06.892000+02:00,3140
2026-07-02T17:15:06.942000+02:00,3200
2026-07-02T17:15:06.992000+02:00,1620
2026-07-02T17:15:07.042000+02:00,3190
2026-07-02T17:15:07.092000+02:00,4510
2026-07-02T17:15:07.142000+02:00,2170
2026-07-02T17:15:07.193000+02:00,2850
2026-07-02T17:15:07.243000+02:00,2020
2026-07-02T17:15:07.293000+02:00,1610
2026-07-02T17:15:07.343000+02:00,1610
2026-07-02T17:15:07.393000+02:00,2820
