ts,bytes,event_id
1,8193030,1
2,8193050,1
3,8193053,1
4,8193105,1
5,8193118,1
6,8193085,1
7,8193031,1
8,8193105,1
9,8193164,1
10,8193087,1
11,8193115,1
12,8193120,1
13,8193050,1
14,8192978,1
15,8193061,1
16,8193135,1
17,8193090,1
18,8193090,1
19,8193101,1
20,8193133,1
21,8193115,1
22,8192989,1
23,8193112,1
24,8193031,1
25,8193089,1
26,8193050,1
27,8193101,1
28,8193050,1
29,8193094,1
30,8193041,1
31,8193022,1
32,8193088,1
33,8193105,1
34,8193058,1
35,8193036,1
36,8193060,1
37,8193056,1
38,8193048,1
39,8193068,1
40,8193061,1
41,8193022,1
42,8193099,1
43,8193042,1
44,8193063,1
45,8193151,1
46,8193137,1
47,8193004,1
48,8193006,1
49,8193007,1
50,8193133,1
51,8193124,1
52,8193175,1
53,8193090,1
54,8193056,1
55,8193018,1
56,8193041,1
57,8193067,1
58,8193005,1
59,8193105,1
60,8193057,1
61,8193149,1
62,8193083,1
63,8193084,1
64,8193102,1
65,8193127,1
66,8193101,1
67,8193101,1
68,8193039,1
69,8193084,1
70,8193101,1
71,8193038,1
72,8193130,1
73,8193039,1
74,8193086,1
75,8193116,1
76,8193086,1
77,8193080,1
78,8193084,1
79,8193050,1
80,8193180,1
81,8193084,1
82,8193092,1
83,8193135,1
84,8193068,1
85,8192985,1
86,8193059,1
87,8193087,1
88,8193004,1
89,8193041,1
90,8193086,1
91,8193029,1
92,8193136,1
93,8193084,1
94,8193104,1
95,8193068,1
96,8193077,1
97,8193059,1
98,8193119,1
99,8193138,1
100,8193104,1
