ts,rail,value
3659553000000,power.rails.tpu,47866700.0
3659553000000,power.rails.modem,40662863.0
3659553000000,power.rails.radio.frontend,0.0
3659553000000,power.rails.cpu.big,238534307.0
3659553000000,power.rails.cpu.mid,130973699.0
3659553000000,power.rails.cpu.little,271147526.0
3659553000000,power.rails.system.fabric,122656479.0
3659553000000,power.rails.memory.interface,155631228.0
3659554000000,power.rails.wifi.bt,399599316.0
3659554000000,power.rails.aoc.memory,13484573.0
3659554000000,power.rails.aoc.logic,57166586.0
3659554000000,power.rails.ddr.a,38894456.0
3659554000000,power.rails.ddr.b,65326498.0
3659554000000,power.rails.ddr.c,120892068.0
3659554000000,power.rails.gpu,22319919.0
3659554000000,power.rails.display,1630842293.0
3660003000000,power.rails.tpu,47872754.0
3660003000000,power.rails.modem,40667495.0
3660003000000,power.rails.radio.frontend,0.0
3660003000000,power.rails.cpu.big,238602010.0
3660003000000,power.rails.cpu.mid,131049665.0
3660003000000,power.rails.cpu.little,271240932.0
3660003000000,power.rails.system.fabric,122674969.0
3660003000000,power.rails.memory.interface,155671426.0
3660004000000,power.rails.wifi.bt,399783365.0
3660004000000,power.rails.aoc.memory,13486184.0
3660004000000,power.rails.aoc.logic,57173569.0
3660004000000,power.rails.ddr.a,38900558.0
3660004000000,power.rails.ddr.b,65334503.0
3660004000000,power.rails.ddr.c,120911804.0
3660004000000,power.rails.gpu,22323818.0
3660004000000,power.rails.display,1631096643.0
3660506000000,power.rails.tpu,47879267.0
3660506000000,power.rails.modem,40672476.0
3660506000000,power.rails.radio.frontend,0.0
3660506000000,power.rails.cpu.big,238614912.0
3660506000000,power.rails.cpu.mid,131063576.0
3660506000000,power.rails.cpu.little,271265276.0
3660506000000,power.rails.system.fabric,122692591.0
3660506000000,power.rails.memory.interface,155694328.0
3660507000000,power.rails.wifi.bt,399899549.0
3660507000000,power.rails.aoc.memory,13487874.0
3660507000000,power.rails.aoc.logic,57180239.0
3660507000000,power.rails.ddr.a,38905134.0
3660507000000,power.rails.ddr.b,65343429.0
3660507000000,power.rails.ddr.c,120928467.0
3660507000000,power.rails.gpu,22324754.0
3660507000000,power.rails.display,1631390792.0
3661008000000,power.rails.tpu,47885790.0
3661008000000,power.rails.modem,40677468.0
3661008000000,power.rails.radio.frontend,0.0
3661008000000,power.rails.cpu.big,238626225.0
3661008000000,power.rails.cpu.mid,131072858.0
3661008000000,power.rails.cpu.little,271282272.0
3661008000000,power.rails.system.fabric,122708765.0
3661008000000,power.rails.memory.interface,155707866.0
3661009000000,power.rails.wifi.bt,399963950.0
3661009000000,power.rails.aoc.memory,13489609.0
3661009000000,power.rails.aoc.logic,57186974.0
3661009000000,power.rails.ddr.a,38908917.0
3661009000000,power.rails.ddr.b,65352375.0
3661009000000,power.rails.ddr.c,120939357.0
3661009000000,power.rails.gpu,22326051.0
3661009000000,power.rails.display,1631678856.0
3661504000000,power.rails.tpu,47892246.0
3661504000000,power.rails.modem,40679657.0
3661504000000,power.rails.radio.frontend,0.0
3661504000000,power.rails.cpu.big,238631412.0
3661504000000,power.rails.cpu.mid,131083224.0
3661504000000,power.rails.cpu.little,271297306.0
3661504000000,power.rails.system.fabric,122724361.0
3661504000000,power.rails.memory.interface,155720280.0
3661505000000,power.rails.wifi.bt,399970812.0
3661505000000,power.rails.aoc.memory,13491239.0
3661505000000,power.rails.aoc.logic,57193951.0
3661505000000,power.rails.ddr.a,38912457.0
3661505000000,power.rails.ddr.b,65361218.0
