measurement_timestamp,measurment_value
2026-07-02T15:27:55.987000+02:00,8930
2026-07-02T15:27:56.041000+02:00,5720
2026-07-02T15:27:56.087000+02:00,6260
2026-07-02T15:27:56.141000+02:00,7970
2026-07-02T15:27:56.188000+02:00,6040
2026-07-02T15:27:56.241000+02:00,9880
2026-07-02T15:27:56.288000+02:00,6640
2026-07-02T15:27:56.341000+02:00,4750
2026-07-02T15:27:56.388000+02:00,4180
2026-07-02T15:27:56.441000+02:00,5880
2026-07-02T15:27:56.488000+02:00,5660
2026-07-02T15:27:56.541000+02:00,6150
2026-07-02T15:27:56.588000+02:00,5830
2026-07-02T15:27:56.641000+02:00,6940
2026-07-02T15:27:56.688000+02:00,7800
2026-07-02T15:27:56.741000+02:00,5950
2026-07-02T15:27:56.788000+02:00,3980
2026-07-02T15:27:56.841000+02:00,5260
2026-07-02T15:27:56.889000+02:00,2740
2026-07-02T15:27:56.941000+02:00,3200
2026-07-02T15:27:56.989000+02:00,2450
2026-07-02T15:27:57.041000+02:00,2260
2026-07-02T15:27:57.089000+02:00,3080
2026-07-02T15:27:57.141000+02:00,3570
2026-07-02T15:27:57.189000+02:00,1890
2026-07-02T15:27:57.241000+02:00,1630
2026-07-02T15:27:57.289000+02:00,1830
2026-07-02T15:27:57.341000+02:00,2440
2026-07-02T15:27:57.389000+02:00,1850
2026-07-02T15:27:57.441000+02:00,1650
2026-07-02T15:27:57.489000+02:00,2040
2026-07-02T15:27:57.541000+02:00,1750
2026-07-02T15:27:57.589000+02:00,1920
2026-07-02T15:27:57.641000+02:00,2340
2026-07-02T15:27:57.690000+02:00,2280
2026-07-02T15:27:57.741000+02:00,1750
2026-07-02T15:27:57.790000+02:00,1700
2026-07-02T15:27:57.841000+02:00,1610
2026-07-02T15:27:57.890000+02:00,1600
2026-07-02T15:27:57.941000+02:00,1620
2026-07-02T15:27:57.990000+02:00,1570
2026-07-02T15:27:58.041000+02:00,3280
2026-07-02T15:27:58.090000+02:00,4320
2026-07-02T15:27:58.141000+02:00,3370
2026-07-02T15:27:58.190000+02:00,4310
2026-07-02T15:27:58.241000+02:00,7330
2026-07-02T15:27:58.290000+02:00,6670
2026-07-02T15:27:58.341000+02:00,5980
2026-07-02T15:27:58.391000+02:00,3780
2026-07-02T15:27:58.441000+02:00,2620
2026-07-02T15:27:58.491000+02:00,3560
2026-07-02T15:27:58.541000+02:00,6250
2026-07-02T15:27:58.591000+02:00,5260
2026-07-02T15:27:58.641000+02:00,2520
2026-07-02T15:27:58.691000+02:00,2250
2026-07-02T15:27:58.741000+02:00,1790
2026-07-02T15:27:58.791000+02:00,2620
2026-07-02T15:27:58.841000+02:00,4100
2026-07-02T15:27:58.891000+02:00,2910
2026-07-02T15:27:58.941000+02:00,1800
2026-07-02T15:27:58.991000+02:00,1820
2026-07-02T15:27:59.041000+02:00,1690
2026-07-02T15:27:59.092000+02:00,1870
2026-07-02T15:27:59.142000+02:00,1820
2026-07-02T15:27:59.192000+02:00,3110
2026-07-02T15:27:59.242000+02:00,2900
2026-07-02T15:27:59.292000+02:00,2930
2026-07-02T15:27:59.342000+02:00,3570
2026-07-02T15:27:59.392000+02:00,4220
2026-07-02T15:27:59.442000+02:00,1690
2026-07-02T15:27:59.492000+02:00,2610
2026-07-02T15:27:59.542000+02:00,1790
2026-07-02T15:27:59.592000+02:00,1730
2026-07-02T15:27:59.642000+02:00,2310
2026-07-02T15:27:59.693000+02:00,1950
2026-07-02T15:27:59.743000+02:00,1760
2026-07-02T15:27:59.793000+02:00,1930
2026-07-02T15:27:59.843000+02:00,2430
2026-07-02T15:27:59.893000+02:00,3130
2026-07-02T15:27:59.943000+02:00,2130
2026-07-02T15:27:59.993000+02:00,2320
2026-07-02T15:28:00.043000+02:00,1580
2026-07-02T15:28:00.093000+02:00,2300
2026-07-02T15:28:00.143000+02:00,2009
2026-07-02T15:28:00.193000+02:00,1890
2026-07-02T15:28:00.243000+02:00,1870
2026-07-02T15:28:00.293000+02:00,1860
2026-07-02T15:28:00.344000+02:00,2100
2026-07-02T15:28:00.394000+02:00,2250
2026-07-02T15:28:00.444000+02:00,2000
2026-07-02T15:28:00.494000+02:00,1720
2026-07-02T15:28:00.544000+02:00,2150
2026-07-02T15:28:00.594000+02:00,1670
2026-07-02T15:28:00.644000+02:00,2270
2026-07-02T15:28:00.694000+02:00,2190
2026-07-02T15:28:00.744000+02:00,2020
2026-07-02T15:28:00.794000+02:00,2320
2026-07-02T15:28:00.844000+02:00,1650
2026-07-02T15:28:00.894000+02:00,2060
2026-07-02T15:28:00.945000+02:00,1720
2026-07-02T15:28:00.995000+02:00,2570
2026-07-02T15:28:01.045000+02:00,2400
2026-07-02T15:28:01.095000+02:00,2070
2026-07-02T15:28:01.145000+02:00,1680
2026-07-02T15:28:01.195000+02:00,2640
2026-07-02T15:28:01.245000+02:00,4010
2026-07-02T15:28:01.295000+02:00,3110
2026-07-02T15:28:01.345000+02:00,2570
2026-07-02T15:28:01.395000+02:00,3480
2026-07-02T15:28:01.445000+02:00,4019
2026-07-02T15:28:01.496000+02:00,4019
2026-07-02T15:28:01.546000+02:00,5860
2026-07-02T15:28:01.596000+02:00,5550
2026-07-02T15:28:01.646000+02:00,5380
2026-07-02T15:28:01.696000+02:00,2950
2026-07-02T15:28:01.746000+02:00,3170
2026-07-02T15:28:01.796000+02:00,3710
2026-07-02T15:28:01.846000+02:00,4180
2026-07-02T15:28:01.896000+02:00,6930
2026-07-02T15:28:01.946000+02:00,7930
2026-07-02T15:28:01.996000+02:00,5640
2026-07-02T15:28:02.046000+02:00,2900
2026-07-02T15:28:02.096000+02:00,2680
2026-07-02T15:28:02.147000+02:00,3780
2026-07-02T15:28:02.197000+02:00,4300
2026-07-02T15:28:02.247000+02:00,4480
