ts,bytes,event_id
1,11202353,1
2,11754836,1
3,11281212,1
4,11785818,1
5,11698264,1
6,11825409,1
7,11075117,1
8,11242163,1
9,12323356,1
10,11735524,1
11,11145205,1
12,11250961,1
13,11290650,1
14,11381522,1
15,11634091,1
16,11246817,1
17,12284636,1
18,11185463,1
19,11788331,1
20,11329181,1
21,11635303,1
22,11765698,1
23,11344083,1
24,11649572,1
25,11264572,1
26,11275688,1
27,11823367,1
28,11196173,1
29,12602742,1
30,10941818,1
31,11157527,1
32,11816916,1
33,10690232,1
34,11894130,1
35,11102138,1
36,11734093,1
37,11289104,1
38,12285364,1
39,11341502,1
40,11764827,1
41,11072626,1
42,11745184,1
43,11242915,1
44,11955374,1
45,11619577,1
46,11263424,1
47,12262602,1
48,11198377,1
49,16842134,1
50,11936214,1
51,11632326,1
52,11551615,1
53,11651170,1
54,11660002,1
55,11191617,1
56,12271090,1
57,11263350,1
58,11198057,1
59,11162928,1
60,11207559,1
61,11779677,1
62,11350070,1
63,11184989,1
64,11745931,1
65,11822678,1
66,11211476,1
67,11852206,1
68,11597395,1
69,11629668,1
70,10934542,1
71,11755725,1
72,11440403,1
73,11638638,1
74,11250314,1
75,11315790,1
76,11223146,1
77,12309410,1
78,11779910,1
79,11266406,1
80,11636335,1
81,11799495,1
82,11553508,1
83,11277085,1
84,10929034,1
85,11123594,1
86,11638684,1
87,11250403,1
88,12547115,1
89,11077955,1
90,11092341,1
91,11372922,1
92,11099514,1
93,12388590,1
94,11280553,1
95,11232082,1
96,11541652,1
97,11672473,1
98,10958960,1
99,11164592,1
100,804449,1
