ts,rail,value
9253017000000,power.rails.tpu,122171941.0
9253017000000,power.rails.modem,94844978.0
9253017000000,power.rails.radio.frontend,0.0
9253017000000,power.rails.cpu.big,1149643869.0
9253017000000,power.rails.cpu.mid,510659707.0
9253017000000,power.rails.cpu.little,1142629877.0
9253017000000,power.rails.system.fabric,329409053.0
9253017000000,power.rails.memory.interface,595748828.0
9253019000000,power.rails.wifi.bt,1082779396.0
9253019000000,power.rails.aoc.memory,34444945.0
9253019000000,power.rails.aoc.logic,119318074.0
9253019000000,power.rails.ddr.a,120141670.0
9253019000000,power.rails.ddr.b,155049633.0
9253019000000,power.rails.ddr.c,466679137.0
9253019000000,power.rails.gpu,41839060.0
9253019000000,power.rails.display,3869482848.0
9253501000000,power.rails.tpu,122179520.0
9253501000000,power.rails.modem,94850690.0
9253501000000,power.rails.radio.frontend,0.0
9253501000000,power.rails.cpu.big,1150583258.0
9253501000000,power.rails.cpu.mid,510817970.0
9253501000000,power.rails.cpu.little,1142866198.0
9253501000000,power.rails.system.fabric,329430487.0
9253501000000,power.rails.memory.interface,595870132.0
9253502000000,power.rails.wifi.bt,1082903683.0
9253502000000,power.rails.aoc.memory,34447630.0
9253502000000,power.rails.aoc.logic,119324804.0
9253502000000,power.rails.ddr.a,120163119.0
9253502000000,power.rails.ddr.b,155057846.0
9253502000000,power.rails.ddr.c,466755962.0
9253502000000,power.rails.gpu,41840934.0
9253502000000,power.rails.display,3869785666.0
9254002000000,power.rails.tpu,122186789.0
9254002000000,power.rails.modem,94854998.0
9254002000000,power.rails.radio.frontend,0.0
9254002000000,power.rails.cpu.big,1150856939.0
9254002000000,power.rails.cpu.mid,510935260.0
9254002000000,power.rails.cpu.little,1143033479.0
9254002000000,power.rails.system.fabric,329450262.0
9254002000000,power.rails.memory.interface,595948587.0
9254003000000,power.rails.wifi.bt,1082959270.0
9254003000000,power.rails.aoc.memory,34450240.0
9254003000000,power.rails.aoc.logic,119332795.0
9254003000000,power.rails.ddr.a,120179869.0
9254003000000,power.rails.ddr.b,155066285.0
9254003000000,power.rails.ddr.c,466808887.0
9254003000000,power.rails.gpu,41842060.0
9254003000000,power.rails.display,3870098881.0
9254503000000,power.rails.tpu,122193449.0
9254503000000,power.rails.modem,94861521.0
9254503000000,power.rails.radio.frontend,0.0
9254503000000,power.rails.cpu.big,1150893917.0
9254503000000,power.rails.cpu.mid,510958862.0
9254503000000,power.rails.cpu.little,1143090803.0
9254503000000,power.rails.system.fabric,329470340.0
9254503000000,power.rails.memory.interface,595981949.0
9254505000000,power.rails.wifi.bt,1083031658.0
9254505000000,power.rails.aoc.memory,34452773.0
9254505000000,power.rails.aoc.logic,119340436.0
9254505000000,power.rails.ddr.a,120184645.0
9254505000000,power.rails.ddr.b,155074713.0
9254505000000,power.rails.ddr.c,466831036.0
9254505000000,power.rails.gpu,41843701.0
9254505000000,power.rails.display,3870418562.0
9255001000000,power.rails.tpu,122200369.0
9255001000000,power.rails.modem,94866777.0
9255001000000,power.rails.radio.frontend,0.0
9255001000000,power.rails.cpu.big,1151036879.0
9255001000000,power.rails.cpu.mid,511024982.0
9255001000000,power.rails.cpu.little,1143194315.0
9255001000000,power.rails.system.fabric,329489532.0
9255001000000,power.rails.memory.interface,596035366.0
9255002000000,power.rails.wifi.bt,1083057979.0
9255002000000,power.rails.aoc.memory,34455235.0
9255002000000,power.rails.aoc.logic,119346823.0
9255002000000,power.rails.ddr.a,120194315.0
9255002000000,power.rails.ddr.b,155083087.0
9255002000000,power.rails.ddr.c,466866063.0
9255002000000,power.rails.gpu,41846982.0
9255002000000,power.rails.display,3870724468.0
9255503000000,power.rails.tpu,122207873.0
9255503000000,power.rails.modem,94872063.0
9255503000000,power.rails.radio.frontend,0.0
9255503000000,power.rails.cpu.big,1151550458.0
9255503000000,power.rails.cpu.mid,511133767.0
9255503000000,power.rails.cpu.little,1143411313.0
9255503000000,power.rails.system.fabric,329511360.0
9255503000000,power.rails.memory.interface,596150967.0
9255504000000,power.rails.wifi.bt,1083181454.0
9255504000000,power.rails.aoc.memory,34457652.0
9255504000000,power.rails.aoc.logic,119353279.0
9255504000000,power.rails.ddr.a,120213671.0
9255504000000,power.rails.ddr.b,155091685.0
9255504000000,power.rails.ddr.c,466948693.0
9255504000000,power.rails.gpu,41854419.0
9255504000000,power.rails.display,3871030074.0
9256003000000,power.rails.tpu,122214716.0
9256003000000,power.rails.modem,94878056.0
9256003000000,power.rails.radio.frontend,0.0
9256003000000,power.rails.cpu.big,1151654477.0
9256003000000,power.rails.cpu.mid,511165045.0
9256003000000,power.rails.cpu.little,1143479390.0
9256003000000,power.rails.system.fabric,329531321.0
9256003000000,power.rails.memory.interface,596191369.0
9256005000000,power.rails.wifi.bt,1083295537.0
9256005000000,power.rails.aoc.memory,34460435.0
9256005000000,power.rails.aoc.logic,119360431.0
9256005000000,power.rails.ddr.a,120222033.0
9256005000000,power.rails.ddr.b,155100069.0
9256005000000,power.rails.ddr.c,466977294.0
9256005000000,power.rails.gpu,41855358.0
9256005000000,power.rails.display,3871299651.0
9256504000000,power.rails.tpu,122221529.0
9256504000000,power.rails.modem,94884680.0
9256504000000,power.rails.radio.frontend,0.0
9256504000000,power.rails.cpu.big,1151698709.0
9256504000000,power.rails.cpu.mid,511214570.0
9256504000000,power.rails.cpu.little,1143564225.0
9256504000000,power.rails.system.fabric,329551550.0
9256504000000,power.rails.memory.interface,596235497.0
9256506000000,power.rails.wifi.bt,1083455347.0
9256506000000,power.rails.aoc.memory,34462779.0
9256506000000,power.rails.aoc.logic,119367897.0
9256506000000,power.rails.ddr.a,120229251.0
9256506000000,power.rails.ddr.b,155108430.0
9256506000000,power.rails.ddr.c,467008661.0
9256506000000,power.rails.gpu,41862017.0
9256506000000,power.rails.display,3871567845.0
9257003000000,power.rails.tpu,122228178.0
9257003000000,power.rails.modem,94892548.0
9257003000000,power.rails.radio.frontend,0.0
9257003000000,power.rails.cpu.big,1151723216.0
9257003000000,power.rails.cpu.mid,511240304.0
9257003000000,power.rails.cpu.little,1143632227.0
9257003000000,power.rails.system.fabric,329572062.0
9257003000000,power.rails.memory.interface,596272177.0
9257004000000,power.rails.wifi.bt,1083616776.0
9257004000000,power.rails.aoc.memory,34465186.0
9257004000000,power.rails.aoc.logic,119375403.0
9257004000000,power.rails.ddr.a,120235287.0
9257004000000,power.rails.ddr.b,155116778.0
9257004000000,power.rails.ddr.c,467035732.0
9257004000000,power.rails.gpu,41862958.0
9257004000000,power.rails.display,3871833255.0
9257503000000,power.rails.tpu,122234805.0
9257503000000,power.rails.modem,94899116.0
9257503000000,power.rails.radio.frontend,0.0
9257503000000,power.rails.cpu.big,1151743333.0
9257503000000,power.rails.cpu.mid,511266943.0
9257503000000,power.rails.cpu.little,1143677615.0
9257503000000,power.rails.system.fabric,329591898.0
9257503000000,power.rails.memory.interface,596302785.0
9257505000000,power.rails.wifi.bt,1083761527.0
9257505000000,power.rails.aoc.memory,34467565.0
9257505000000,power.rails.aoc.logic,119383301.0
9257505000000,power.rails.ddr.a,120241371.0
9257505000000,power.rails.ddr.b,155125126.0
9257505000000,power.rails.ddr.c,467058512.0
9257505000000,power.rails.gpu,41863878.0
9257505000000,power.rails.display,3872102642.0
9258002000000,power.rails.tpu,122241503.0
9258002000000,power.rails.modem,94905565.0
9258002000000,power.rails.radio.frontend,0.0
9258002000000,power.rails.cpu.big,1151767868.0
9258002000000,power.rails.cpu.mid,511297462.0
9258002000000,power.rails.cpu.little,1143736849.0
9258002000000,power.rails.system.fabric,329612244.0
9258002000000,power.rails.memory.interface,596333013.0
9258003000000,power.rails.wifi.bt,1083899025.0
9258003000000,power.rails.aoc.memory,34469969.0
9258003000000,power.rails.aoc.logic,119390430.0
9258003000000,power.rails.ddr.a,120246079.0
9258003000000,power.rails.ddr.b,155133511.0
9258003000000,power.rails.ddr.c,467081952.0
9258003000000,power.rails.gpu,41864807.0
9258003000000,power.rails.display,3872373223.0
9258503000000,power.rails.tpu,122248779.0
9258503000000,power.rails.modem,94910760.0
9258503000000,power.rails.radio.frontend,0.0
9258503000000,power.rails.cpu.big,1152108312.0
9258503000000,power.rails.cpu.mid,511394488.0
9258503000000,power.rails.cpu.little,1143897597.0
9258503000000,power.rails.system.fabric,329632471.0
9258503000000,power.rails.memory.interface,596433895.0
9258504000000,power.rails.wifi.bt,1084046604.0
9258504000000,power.rails.aoc.memory,34472320.0
9258504000000,power.rails.aoc.logic,119397478.0
9258504000000,power.rails.ddr.a,120264981.0
9258504000000,power.rails.ddr.b,155141969.0
9258504000000,power.rails.ddr.c,467152144.0
9258504000000,power.rails.gpu,41866714.0
9258504000000,power.rails.display,3872645043.0
9259002000000,power.rails.tpu,122256053.0
9259002000000,power.rails.modem,94914942.0
9259002000000,power.rails.radio.frontend,0.0
9259002000000,power.rails.cpu.big,1152497093.0
9259002000000,power.rails.cpu.mid,511498743.0
9259002000000,power.rails.cpu.little,1144103812.0
9259002000000,power.rails.system.fabric,329654446.0
9259002000000,power.rails.memory.interface,596539296.0
9259003000000,power.rails.wifi.bt,1084226602.0
9259003000000,power.rails.aoc.memory,34475380.0
9259003000000,power.rails.aoc.logic,119409848.0
9259003000000,power.rails.ddr.a,120282319.0
9259003000000,power.rails.ddr.b,155150486.0
9259003000000,power.rails.ddr.c,467229094.0
9259003000000,power.rails.gpu,41876280.0
9259003000000,power.rails.display,3872952925.0
9259508000000,power.rails.tpu,122263197.0
9259508000000,power.rails.modem,94919394.0
9259508000000,power.rails.radio.frontend,0.0
9259508000000,power.rails.cpu.big,1152608685.0
9259508000000,power.rails.cpu.mid,511571025.0
9259508000000,power.rails.cpu.little,1144246528.0
9259508000000,power.rails.system.fabric,329674589.0
9259508000000,power.rails.memory.interface,596597574.0
9259509000000,power.rails.wifi.bt,1084417731.0
9259509000000,power.rails.aoc.memory,34477777.0
9259509000000,power.rails.aoc.logic,119417257.0
9259509000000,power.rails.ddr.a,120295190.0
9259509000000,power.rails.ddr.b,155159045.0
9259509000000,power.rails.ddr.c,467278184.0
9259509000000,power.rails.gpu,41882863.0
9259509000000,power.rails.display,3873269925.0
9260005000000,power.rails.tpu,122269922.0
9260005000000,power.rails.modem,94927621.0
9260005000000,power.rails.radio.frontend,0.0
9260005000000,power.rails.cpu.big,1152647342.0
9260005000000,power.rails.cpu.mid,511593863.0
9260005000000,power.rails.cpu.little,1144324926.0
9260005000000,power.rails.system.fabric,329695475.0
9260005000000,power.rails.memory.interface,596636024.0
9260006000000,power.rails.wifi.bt,1084584629.0
9260006000000,power.rails.aoc.memory,34480071.0
9260006000000,power.rails.aoc.logic,119423634.0
9260006000000,power.rails.ddr.a,120300735.0
9260006000000,power.rails.ddr.b,155167427.0
9260006000000,power.rails.ddr.c,467307929.0
9260006000000,power.rails.gpu,41884933.0
9260006000000,power.rails.display,3873576409.0
9260503000000,power.rails.tpu,122276859.0
9260503000000,power.rails.modem,94932716.0
9260503000000,power.rails.radio.frontend,0.0
9260503000000,power.rails.cpu.big,1152715782.0
9260503000000,power.rails.cpu.mid,511640507.0
9260503000000,power.rails.cpu.little,1144441185.0
9260503000000,power.rails.system.fabric,329715950.0
9260503000000,power.rails.memory.interface,596680492.0
9260504000000,power.rails.wifi.bt,1084699427.0
9260504000000,power.rails.aoc.memory,34482312.0
9260504000000,power.rails.aoc.logic,119429870.0
9260504000000,power.rails.ddr.a,120309459.0
9260504000000,power.rails.ddr.b,155175933.0
9260504000000,power.rails.ddr.c,467347866.0
9260504000000,power.rails.gpu,41887594.0
9260504000000,power.rails.display,3873873665.0
9261003000000,power.rails.tpu,122283705.0
9261003000000,power.rails.modem,94938219.0
9261003000000,power.rails.radio.frontend,0.0
9261003000000,power.rails.cpu.big,1152784878.0
9261003000000,power.rails.cpu.mid,511707263.0
9261003000000,power.rails.cpu.little,1144575471.0
9261003000000,power.rails.system.fabric,329736270.0
9261003000000,power.rails.memory.interface,596742212.0
9261004000000,power.rails.wifi.bt,1084841220.0
9261004000000,power.rails.aoc.memory,34484587.0
9261004000000,power.rails.aoc.logic,119436401.0
9261004000000,power.rails.ddr.a,120322905.0
9261004000000,power.rails.ddr.b,155184298.0
9261004000000,power.rails.ddr.c,467391992.0
9261004000000,power.rails.gpu,41890087.0
9261004000000,power.rails.display,3874160552.0
9261504000000,power.rails.tpu,122290464.0
9261504000000,power.rails.modem,94945665.0
9261504000000,power.rails.radio.frontend,0.0
9261504000000,power.rails.cpu.big,1152810885.0
9261504000000,power.rails.cpu.mid,511728297.0
9261504000000,power.rails.cpu.little,1144652352.0
9261504000000,power.rails.system.fabric,329756632.0
9261504000000,power.rails.memory.interface,596778862.0
9261505000000,power.rails.wifi.bt,1084985879.0
9261505000000,power.rails.aoc.memory,34486833.0
9261505000000,power.rails.aoc.logic,119442495.0
9261505000000,power.rails.ddr.a,120328760.0
9261505000000,power.rails.ddr.b,155192599.0
9261505000000,power.rails.ddr.c,467419459.0
9261505000000,power.rails.gpu,41890994.0
9261505000000,power.rails.display,3874456029.0
9262003000000,power.rails.tpu,122297495.0
9262003000000,power.rails.modem,94950525.0
9262003000000,power.rails.radio.frontend,0.0
9262003000000,power.rails.cpu.big,1152895060.0
9262003000000,power.rails.cpu.mid,511803014.0
9262003000000,power.rails.cpu.little,1144788916.0
9262003000000,power.rails.system.fabric,329778692.0
9262003000000,power.rails.memory.interface,596842435.0
9262004000000,power.rails.wifi.bt,1085217745.0
9262004000000,power.rails.aoc.memory,34489002.0
9262004000000,power.rails.aoc.logic,119448510.0
9262004000000,power.rails.ddr.a,120340292.0
9262004000000,power.rails.ddr.b,155200923.0
9262004000000,power.rails.ddr.c,467463903.0
9262004000000,power.rails.gpu,41894486.0
9262004000000,power.rails.display,3874750662.0
9262502000000,power.rails.tpu,122304058.0
9262502000000,power.rails.modem,94956329.0
9262502000000,power.rails.radio.frontend,0.0
9262502000000,power.rails.cpu.big,1152916434.0
9262502000000,power.rails.cpu.mid,511819942.0
9262502000000,power.rails.cpu.little,1144827944.0
9262502000000,power.rails.system.fabric,329798502.0
9262502000000,power.rails.memory.interface,596869570.0
9262503000000,power.rails.wifi.bt,1085374676.0
9262503000000,power.rails.aoc.memory,34491486.0
9262503000000,power.rails.aoc.logic,119455186.0
9262503000000,power.rails.ddr.a,120344313.0
9262503000000,power.rails.ddr.b,155209350.0
9262503000000,power.rails.ddr.c,467484111.0
9262503000000,power.rails.gpu,41895363.0
9262503000000,power.rails.display,3875043307.0
9263001000000,power.rails.tpu,122310773.0
9263001000000,power.rails.modem,94961219.0
9263001000000,power.rails.radio.frontend,0.0
9263001000000,power.rails.cpu.big,1152962537.0
9263001000000,power.rails.cpu.mid,511852718.0
9263001000000,power.rails.cpu.little,1144899041.0
9263001000000,power.rails.system.fabric,329818338.0
9263001000000,power.rails.memory.interface,596904299.0
9263002000000,power.rails.wifi.bt,1085518087.0
9263002000000,power.rails.aoc.memory,34493690.0
9263002000000,power.rails.aoc.logic,119462044.0
9263002000000,power.rails.ddr.a,120349668.0
9263002000000,power.rails.ddr.b,155217744.0
9263002000000,power.rails.ddr.c,467508653.0
9263002000000,power.rails.gpu,41896320.0
9263002000000,power.rails.display,3875343608.0
9263502000000,power.rails.tpu,122317999.0
9263502000000,power.rails.modem,94967849.0
9263502000000,power.rails.radio.frontend,0.0
9263502000000,power.rails.cpu.big,1153092054.0
9263502000000,power.rails.cpu.mid,511960207.0
9263502000000,power.rails.cpu.little,1145096521.0
9263502000000,power.rails.system.fabric,329840916.0
9263502000000,power.rails.memory.interface,596989653.0
9263503000000,power.rails.wifi.bt,1085778830.0
9263503000000,power.rails.aoc.memory,34495977.0
9263503000000,power.rails.aoc.logic,119468413.0
9263503000000,power.rails.ddr.a,120365722.0
9263503000000,power.rails.ddr.b,155226230.0
9263503000000,power.rails.ddr.c,467575359.0
9263503000000,power.rails.gpu,41900264.0
9263503000000,power.rails.display,3875642559.0
9264010000000,power.rails.tpu,122325053.0
9264010000000,power.rails.modem,94972050.0
9264010000000,power.rails.radio.frontend,0.0
9264010000000,power.rails.cpu.big,1153180211.0
9264010000000,power.rails.cpu.mid,512029702.0
9264010000000,power.rails.cpu.little,1145219221.0
9264010000000,power.rails.system.fabric,329862110.0
9264010000000,power.rails.memory.interface,597052423.0
9264011000000,power.rails.wifi.bt,1086013137.0
9264011000000,power.rails.aoc.memory,34498425.0
9264011000000,power.rails.aoc.logic,119475859.0
9264011000000,power.rails.ddr.a,120376426.0
9264011000000,power.rails.ddr.b,155234735.0
9264011000000,power.rails.ddr.c,467615062.0
9264011000000,power.rails.gpu,41901353.0
9264011000000,power.rails.display,3875958553.0
9264502000000,power.rails.tpu,122331840.0
9264502000000,power.rails.modem,94977454.0
9264502000000,power.rails.radio.frontend,0.0
9264502000000,power.rails.cpu.big,1153219190.0
9264502000000,power.rails.cpu.mid,512088357.0
9264502000000,power.rails.cpu.little,1145321413.0
9264502000000,power.rails.system.fabric,329881900.0
9264502000000,power.rails.memory.interface,597101760.0
9264505000000,power.rails.wifi.bt,1086149645.0
9264505000000,power.rails.aoc.memory,34500595.0
9264505000000,power.rails.aoc.logic,119483219.0
9264505000000,power.rails.ddr.a,120385636.0
9264505000000,power.rails.ddr.b,155243049.0
9264505000000,power.rails.ddr.c,467652782.0
9264505000000,power.rails.gpu,41904046.0
9264505000000,power.rails.display,3876264277.0
9265003000000,power.rails.tpu,122338501.0
9265003000000,power.rails.modem,94984991.0
9265003000000,power.rails.radio.frontend,0.0
9265003000000,power.rails.cpu.big,1153241954.0
9265003000000,power.rails.cpu.mid,512113726.0
9265003000000,power.rails.cpu.little,1145372449.0
9265003000000,power.rails.system.fabric,329902378.0
9265003000000,power.rails.memory.interface,597135720.0
9265004000000,power.rails.wifi.bt,1086297771.0
9265004000000,power.rails.aoc.memory,34502934.0
9265004000000,power.rails.aoc.logic,119490172.0
9265004000000,power.rails.ddr.a,120393185.0
9265004000000,power.rails.ddr.b,155251458.0
9265004000000,power.rails.ddr.c,467674238.0
9265004000000,power.rails.gpu,41905017.0
9265004000000,power.rails.display,3876575376.0
9265506000000,power.rails.tpu,122345204.0
9265506000000,power.rails.modem,94993029.0
9265506000000,power.rails.radio.frontend,0.0
9265506000000,power.rails.cpu.big,1153261840.0
9265506000000,power.rails.cpu.mid,512129928.0
9265506000000,power.rails.cpu.little,1145419120.0
9265506000000,power.rails.system.fabric,329922782.0
9265506000000,power.rails.memory.interface,597161970.0
9265507000000,power.rails.wifi.bt,1086453747.0
9265507000000,power.rails.aoc.memory,34505147.0
9265507000000,power.rails.aoc.logic,119499096.0
9265507000000,power.rails.ddr.a,120396761.0
9265507000000,power.rails.ddr.b,155259946.0
9265507000000,power.rails.ddr.c,467691841.0
9265507000000,power.rails.gpu,41905941.0
9265507000000,power.rails.display,3876887224.0
9266004000000,power.rails.tpu,122351956.0
9266004000000,power.rails.modem,95001929.0
9266004000000,power.rails.radio.frontend,0.0
9266004000000,power.rails.cpu.big,1153290629.0
9266004000000,power.rails.cpu.mid,512160401.0
9266004000000,power.rails.cpu.little,1145499275.0
9266004000000,power.rails.system.fabric,329943126.0
9266004000000,power.rails.memory.interface,597199227.0
9266005000000,power.rails.wifi.bt,1086607592.0
9266005000000,power.rails.aoc.memory,34507400.0
9266005000000,power.rails.aoc.logic,119506012.0
9266005000000,power.rails.ddr.a,120403290.0
9266005000000,power.rails.ddr.b,155268350.0
9266005000000,power.rails.ddr.c,467719492.0
9266005000000,power.rails.gpu,41908076.0
9266005000000,power.rails.display,3877192803.0
9266501000000,power.rails.tpu,122359047.0
9266501000000,power.rails.modem,95006904.0
9266501000000,power.rails.radio.frontend,0.0
9266501000000,power.rails.cpu.big,1153608514.0
9266501000000,power.rails.cpu.mid,512277010.0
9266501000000,power.rails.cpu.little,1145632361.0
9266501000000,power.rails.system.fabric,329963406.0
9266501000000,power.rails.memory.interface,597287132.0
9266502000000,power.rails.wifi.bt,1086746254.0
9266502000000,power.rails.aoc.memory,34509670.0
9266502000000,power.rails.aoc.logic,119513464.0
9266502000000,power.rails.ddr.a,120418916.0
9266502000000,power.rails.ddr.b,155276722.0
9266502000000,power.rails.ddr.c,467771662.0
9266502000000,power.rails.gpu,41914196.0
9266502000000,power.rails.display,3877494940.0
9267002000000,power.rails.tpu,122366350.0
9267002000000,power.rails.modem,95012770.0
9267002000000,power.rails.radio.frontend,0.0
9267002000000,power.rails.cpu.big,1154017291.0
9267002000000,power.rails.cpu.mid,512374995.0
9267002000000,power.rails.cpu.little,1145833942.0
9267002000000,power.rails.system.fabric,329985585.0
9267002000000,power.rails.memory.interface,597394898.0
9267003000000,power.rails.wifi.bt,1086922683.0
9267003000000,power.rails.aoc.memory,34512593.0
9267003000000,power.rails.aoc.logic,119524376.0
9267003000000,power.rails.ddr.a,120438434.0
9267003000000,power.rails.ddr.b,155285186.0
9267003000000,power.rails.ddr.c,467855428.0
9267003000000,power.rails.gpu,41926132.0
9267003000000,power.rails.display,3877805895.0
9267502000000,power.rails.tpu,122373392.0
9267502000000,power.rails.modem,95019397.0
9267502000000,power.rails.radio.frontend,0.0
9267502000000,power.rails.cpu.big,1154085305.0
9267502000000,power.rails.cpu.mid,512450502.0
9267502000000,power.rails.cpu.little,1145959129.0
9267502000000,power.rails.system.fabric,330005843.0
9267502000000,power.rails.memory.interface,597457016.0
9267503000000,power.rails.wifi.bt,1087086320.0
9267503000000,power.rails.aoc.memory,34515399.0
9267503000000,power.rails.aoc.logic,119536833.0
9267503000000,power.rails.ddr.a,120450284.0
9267503000000,power.rails.ddr.b,155293625.0
9267503000000,power.rails.ddr.c,467900824.0
9267503000000,power.rails.gpu,41928796.0
9267503000000,power.rails.display,3878118531.0
9268002000000,power.rails.tpu,122380309.0
9268002000000,power.rails.modem,95025630.0
9268002000000,power.rails.radio.frontend,0.0
9268002000000,power.rails.cpu.big,1154181253.0
9268002000000,power.rails.cpu.mid,512533929.0
9268002000000,power.rails.cpu.little,1146072520.0
