measurement_timestamp,measurment_value
2026-07-02T15:42:45.327000+02:00,7240
2026-07-02T15:42:45.377000+02:00,6060
2026-07-02T15:42:45.431000+02:00,8670
2026-07-02T15:42:45.477000+02:00,5340
2026-07-02T15:42:45.527000+02:00,8090
2026-07-02T15:42:45.577000+02:00,4720
2026-07-02T15:42:45.631000+02:00,5590
2026-07-02T15:42:45.678000+02:00,4550
2026-07-02T15:42:45.732000+02:00,4670
2026-07-02T15:42:45.778000+02:00,5460
2026-07-02T15:42:45.832000+02:00,8300
2026-07-02T15:42:45.878000+02:00,5960
2026-07-02T15:42:45.932000+02:00,6920
2026-07-02T15:42:45.978000+02:00,7260
2026-07-02T15:42:46.032000+02:00,4610
2026-07-02T15:42:46.078000+02:00,3530
2026-07-02T15:42:46.132000+02:00,3650
2026-07-02T15:42:46.178000+02:00,4200
2026-07-02T15:42:46.232000+02:00,1820
2026-07-02T15:42:46.279000+02:00,1640
2026-07-02T15:42:46.332000+02:00,1630
2026-07-02T15:42:46.379000+02:00,1690
2026-07-02T15:42:46.432000+02:00,1720
2026-07-02T15:42:46.479000+02:00,1900
2026-07-02T15:42:46.532000+02:00,2550
2026-07-02T15:42:46.579000+02:00,3800
2026-07-02T15:42:46.632000+02:00,1920
2026-07-02T15:42:46.679000+02:00,2140
2026-07-02T15:42:46.732000+02:00,1820
2026-07-02T15:42:46.779000+02:00,2960
2026-07-02T15:42:46.832000+02:00,3450
2026-07-02T15:42:46.880000+02:00,1890
2026-07-02T15:42:46.932000+02:00,1990
2026-07-02T15:42:46.980000+02:00,1760
2026-07-02T15:42:47.032000+02:00,1930
2026-07-02T15:42:47.080000+02:00,2560
2026-07-02T15:42:47.132000+02:00,3830
2026-07-02T15:42:47.180000+02:00,4440
2026-07-02T15:42:47.232000+02:00,2530
2026-07-02T15:42:47.280000+02:00,2860
2026-07-02T15:42:47.332000+02:00,4270
2026-07-02T15:42:47.381000+02:00,4220
2026-07-02T15:42:47.432000+02:00,6900
2026-07-02T15:42:47.481000+02:00,5940
2026-07-02T15:42:47.532000+02:00,6700
2026-07-02T15:42:47.581000+02:00,8510
2026-07-02T15:42:47.632000+02:00,3730
2026-07-02T15:42:47.681000+02:00,5260
2026-07-02T15:42:47.732000+02:00,2610
2026-07-02T15:42:47.781000+02:00,2340
2026-07-02T15:42:47.832000+02:00,3370
2026-07-02T15:42:47.881000+02:00,2170
2026-07-02T15:42:47.932000+02:00,2210
2026-07-02T15:42:47.981000+02:00,1820
2026-07-02T15:42:48.032000+02:00,1830
2026-07-02T15:42:48.082000+02:00,1780
2026-07-02T15:42:48.132000+02:00,1980
2026-07-02T15:42:48.182000+02:00,1900
2026-07-02T15:42:48.232000+02:00,2090
2026-07-02T15:42:48.282000+02:00,2000
2026-07-02T15:42:48.332000+02:00,2050
2026-07-02T15:42:48.382000+02:00,1760
2026-07-02T15:42:48.432000+02:00,2150
2026-07-02T15:42:48.482000+02:00,2740
2026-07-02T15:42:48.532000+02:00,2009
2026-07-02T15:42:48.582000+02:00,2560
2026-07-02T15:42:48.632000+02:00,2350
2026-07-02T15:42:48.683000+02:00,2280
2026-07-02T15:42:48.733000+02:00,3240
