ts,bytes,event_id
1,5981557,1
2,10897365,1
3,11171878,1
4,11219024,1
5,11124634,1
6,10846185,1
7,11214788,1
8,11243529,1
9,10996557,1
10,11098939,1
11,11017867,1
12,11130238,1
13,10799398,1
14,11356548,1
15,11079774,1
16,11101048,1
17,11266877,1
18,11050915,1
19,11075366,1
20,10906793,1
21,11430035,1
22,10788437,1
23,11315408,1
24,11181422,1
25,10885658,1
26,11236608,1
27,11074259,1
28,10977158,1
29,11293972,1
30,11234216,1
31,10611805,1
32,11516581,1
33,10715884,1
34,11355542,1
35,11067087,1
36,11238049,1
37,13064947,1
38,5631123,1
39,5537704,1
40,11105078,1
41,10760699,1
42,11335856,1
43,11119008,1
44,11059113,1
45,11061453,1
46,11059728,1
47,10890922,1
48,11013418,1
49,11082420,1
50,11351100,1
51,11029781,1
52,10957784,1
53,11448066,1
54,10968883,1
55,10882789,1
56,11385810,1
57,11414665,1
58,11156623,1
59,11076527,1
60,10724139,1
61,11455323,1
62,11059375,1
63,11084520,1
64,11076611,1
65,11084058,1
66,11101487,1
67,11222100,1
68,10981935,1
69,11092073,1
70,11086003,1
71,11140230,1
72,11221560,1
73,11000057,1
74,11090288,1
75,11105508,1
76,10716639,1
77,11486673,1
78,11096490,1
79,11055605,1
80,11218768,1
81,10925350,1
82,10969214,1
83,11079866,1
84,11286603,1
85,10903668,1
86,11145675,1
87,16651057,1
88,11225434,1
89,11347415,1
90,11220233,1
91,10681395,1
92,11355177,1
93,10926628,1
94,11337632,1
95,10867911,1
96,11228070,1
97,227371,1
98,0,1
99,0,1
100,0,1
