ts,rail,value
10142369000000,power.rails.tpu,134464062.0
10142369000000,power.rails.tpu,134464062.0
10142369000000,power.rails.modem,105767655.0
10142369000000,power.rails.modem,105767655.0
10142369000000,power.rails.radio.frontend,0.0
10142369000000,power.rails.radio.frontend,0.0
10142369000000,power.rails.cpu.big,1348283298.0
10142369000000,power.rails.cpu.big,1348283298.0
10142369000000,power.rails.cpu.mid,606170289.0
10142369000000,power.rails.cpu.mid,606170289.0
10142369000000,power.rails.cpu.little,1327370489.0
10142369000000,power.rails.cpu.little,1327370489.0
10142369000000,power.rails.system.fabric,366328870.0
10142369000000,power.rails.system.fabric,366328870.0
10142369000000,power.rails.memory.interface,691885976.0
10142369000000,power.rails.memory.interface,691885976.0
10142371000000,power.rails.wifi.bt,1338158726.0
10142371000000,power.rails.wifi.bt,1338158726.0
10142371000000,power.rails.aoc.memory,38747402.0
10142371000000,power.rails.aoc.memory,38747402.0
10142371000000,power.rails.aoc.logic,131641805.0
10142371000000,power.rails.aoc.logic,131641805.0
10142371000000,power.rails.ddr.a,137621820.0
10142371000000,power.rails.ddr.a,137621820.0
10142371000000,power.rails.ddr.b,170038599.0
10142371000000,power.rails.ddr.b,170038599.0
10142371000000,power.rails.ddr.c,539063887.0
10142371000000,power.rails.ddr.c,539063887.0
10142371000000,power.rails.gpu,47538109.0
10142371000000,power.rails.gpu,47538109.0
10142371000000,power.rails.display,4401376491.0
10142371000000,power.rails.display,4401376491.0
10143002000000,power.rails.tpu,134473718.0
10143002000000,power.rails.modem,105773672.0
10143002000000,power.rails.radio.frontend,0.0
10143002000000,power.rails.cpu.big,1349216925.0
10143002000000,power.rails.cpu.mid,606349990.0
10143002000000,power.rails.cpu.little,1327662896.0
10143002000000,power.rails.system.fabric,366355661.0
10143002000000,power.rails.memory.interface,692008313.0
10143003000000,power.rails.wifi.bt,1338237135.0
10143003000000,power.rails.aoc.memory,38750713.0
10143003000000,power.rails.aoc.logic,131650350.0
10143003000000,power.rails.ddr.a,137647082.0
10143003000000,power.rails.ddr.b,170049289.0
10143003000000,power.rails.ddr.c,539146586.0
10143003000000,power.rails.gpu,47539615.0
10143003000000,power.rails.display,4401766463.0
10143503000000,power.rails.tpu,134480409.0
10143503000000,power.rails.modem,105778797.0
10143503000000,power.rails.radio.frontend,0.0
10143503000000,power.rails.cpu.big,1349246135.0
10143503000000,power.rails.cpu.mid,606378776.0
10143503000000,power.rails.cpu.little,1327722811.0
10143503000000,power.rails.system.fabric,366375432.0
10143503000000,power.rails.memory.interface,692039432.0
10143505000000,power.rails.wifi.bt,1338274719.0
10143505000000,power.rails.aoc.memory,38753280.0
10143505000000,power.rails.aoc.logic,131656369.0
10143505000000,power.rails.ddr.a,137654407.0
10143505000000,power.rails.ddr.b,170057837.0
10143505000000,power.rails.ddr.c,539171865.0
10143505000000,power.rails.gpu,47541483.0
10143505000000,power.rails.display,4402079528.0
10144001000000,power.rails.tpu,134487265.0
10144001000000,power.rails.modem,105786556.0
10144001000000,power.rails.radio.frontend,0.0
10144001000000,power.rails.cpu.big,1349286208.0
10144001000000,power.rails.cpu.mid,606468420.0
10144001000000,power.rails.cpu.little,1327826854.0
10144001000000,power.rails.system.fabric,366395026.0
10144001000000,power.rails.memory.interface,692100757.0
10144002000000,power.rails.wifi.bt,1338359393.0
10144002000000,power.rails.aoc.memory,38755801.0
10144002000000,power.rails.aoc.logic,131662628.0
10144002000000,power.rails.ddr.a,137665775.0
10144002000000,power.rails.ddr.b,170066202.0
10144002000000,power.rails.ddr.c,539216647.0
10144002000000,power.rails.gpu,47542583.0
10144002000000,power.rails.display,4402389060.0
10144502000000,power.rails.tpu,134494822.0
10144502000000,power.rails.modem,105790699.0
