measurement_timestamp,measurment_value
2026-07-02T16:18:45.093000+02:00,3890
2026-07-02T16:18:45.135000+02:00,3520
2026-07-02T16:18:45.188000+02:00,3610
2026-07-02T16:18:45.235000+02:00,5650
2026-07-02T16:18:45.288000+02:00,6380
2026-07-02T16:18:45.335000+02:00,7520
2026-07-02T16:18:45.388000+02:00,7660
2026-07-02T16:18:45.435000+02:00,6740
2026-07-02T16:18:45.488000+02:00,8900
2026-07-02T16:18:45.536000+02:00,10250
2026-07-02T16:18:45.588000+02:00,7620
2026-07-02T16:18:45.636000+02:00,9060
2026-07-02T16:18:45.688000+02:00,6670
2026-07-02T16:18:45.736000+02:00,5890
2026-07-02T16:18:45.788000+02:00,6030
2026-07-02T16:18:45.836000+02:00,6480
2026-07-02T16:18:45.888000+02:00,8700
2026-07-02T16:18:45.936000+02:00,10860
2026-07-02T16:18:45.987000+02:00,9190
2026-07-02T16:18:46.036000+02:00,10780
2026-07-02T16:18:46.087000+02:00,5200
2026-07-02T16:18:46.137000+02:00,6700
2026-07-02T16:18:46.187000+02:00,7490
2026-07-02T16:18:46.237000+02:00,10020
2026-07-02T16:18:46.287000+02:00,7040
2026-07-02T16:18:46.337000+02:00,5220
2026-07-02T16:18:46.387000+02:00,4390
2026-07-02T16:18:46.437000+02:00,5260
2026-07-02T16:18:46.487000+02:00,5060
2026-07-02T16:18:46.537000+02:00,6350
2026-07-02T16:18:46.587000+02:00,5190
2026-07-02T16:18:46.637000+02:00,4320
2026-07-02T16:18:46.687000+02:00,3960
2026-07-02T16:18:46.738000+02:00,3750
2026-07-02T16:18:46.788000+02:00,3300
2026-07-02T16:18:46.838000+02:00,3360
2026-07-02T16:18:46.888000+02:00,3360
2026-07-02T16:18:46.938000+02:00,3260
2026-07-02T16:18:46.988000+02:00,3590
2026-07-02T16:18:47.038000+02:00,6620
2026-07-02T16:18:47.088000+02:00,4210
2026-07-02T16:18:47.138000+02:00,3000
2026-07-02T16:18:47.188000+02:00,2900
2026-07-02T16:18:47.238000+02:00,3860
2026-07-02T16:18:47.288000+02:00,4240
