ts,bytes,event_id
1,11698305,1
2,11095408,1
3,11374920,1
4,11269283,1
5,11099762,1
6,11308204,1
7,11408567,1
8,11061978,1
9,11440864,1
10,11454207,1
11,11270951,1
12,11112618,1
13,11183306,1
14,11324226,1
15,11225307,1
16,11287073,1
17,10862911,1
18,11720673,1
19,11137138,1
20,11124591,1
21,11671160,1
22,11216751,1
23,11167244,1
24,10975038,1
25,11626841,1
26,11295525,1
27,11209421,1
28,11720844,1
29,11329689,1
30,11221327,1
31,11344259,1
32,10890895,1
33,11475758,1
34,11732048,1
35,11194067,1
36,10950317,1
37,11583150,1
38,11328102,1
39,11166310,1
40,11310335,1
41,11252497,1
42,11281056,1
43,11350122,1
44,11428434,1
45,11109982,1
46,11254439,1
47,11312686,1
48,16649096,1
49,11300565,1
50,5783116,1
51,11173212,1
52,11155944,1
53,11328864,1
54,11471563,1
55,11217749,1
56,11427546,1
57,11131453,1
58,11286001,1
59,11274674,1
60,11260118,1
61,11313451,1
62,11025360,1
63,11665345,1
64,11293563,1
65,11257091,1
66,11102210,1
67,11396133,1
68,11227421,1
69,11523695,1
70,11542367,1
71,10950944,1
72,11618898,1
73,11280783,1
74,11254745,1
75,11244662,1
76,11172028,1
77,11059184,1
78,11555379,1
79,15334755,1
80,11083585,1
81,11446880,1
82,11258657,1
83,11304157,1
84,11169380,1
85,10802842,1
86,11658572,1
87,11331725,1
88,11098385,1
89,5888801,1
90,11229640,1
91,11263471,1
92,11341581,1
93,11001108,1
94,11518528,1
95,11358039,1
96,10960787,1
97,674350,1
98,0,1
99,0,1
100,0,1
