ts,rail,value
281120000000,power.rails.tpu,3775956.0
281120000000,power.rails.modem,11108080.0
281120000000,power.rails.radio.frontend,0.0
281120000000,power.rails.cpu.big,47339288.0
281120000000,power.rails.cpu.mid,28584811.0
281120000000,power.rails.cpu.little,55764486.0
281120000000,power.rails.system.fabric,11084505.0
281120000000,power.rails.memory.interface,26724357.0
281122000000,power.rails.wifi.bt,26351484.0
281122000000,power.rails.aoc.memory,1420323.0
281122000000,power.rails.aoc.logic,5497791.0
281122000000,power.rails.ddr.a,5192372.0
281122000000,power.rails.ddr.b,5003202.0
281122000000,power.rails.ddr.c,21692595.0
281122000000,power.rails.gpu,8792684.0
281122000000,power.rails.display,67412755.0
281501000000,power.rails.tpu,3781884.0
281501000000,power.rails.modem,11111447.0
281501000000,power.rails.radio.frontend,0.0
281501000000,power.rails.cpu.big,48195525.0
281501000000,power.rails.cpu.mid,28683379.0
281501000000,power.rails.cpu.little,55965111.0
281501000000,power.rails.system.fabric,11100974.0
281501000000,power.rails.memory.interface,26845299.0
281503000000,power.rails.wifi.bt,26445269.0
281503000000,power.rails.aoc.memory,1422256.0
281503000000,power.rails.aoc.logic,5503768.0
281503000000,power.rails.ddr.a,5212270.0
281503000000,power.rails.ddr.b,5010075.0
281503000000,power.rails.ddr.c,21762478.0
281503000000,power.rails.gpu,8797127.0
281503000000,power.rails.display,67651453.0
282003000000,power.rails.tpu,3789439.0
282003000000,power.rails.modem,11115123.0
282003000000,power.rails.radio.frontend,0.0
282003000000,power.rails.cpu.big,49340081.0
282003000000,power.rails.cpu.mid,28746242.0
282003000000,power.rails.cpu.little,56162955.0
282003000000,power.rails.system.fabric,11121762.0
282003000000,power.rails.memory.interface,26949339.0
282006000000,power.rails.wifi.bt,26510900.0
282006000000,power.rails.aoc.memory,1424901.0
282006000000,power.rails.aoc.logic,5511755.0
282006000000,power.rails.ddr.a,5231268.0
282006000000,power.rails.ddr.b,5019113.0
282006000000,power.rails.ddr.c,21826917.0
282006000000,power.rails.gpu,8800018.0
282006000000,power.rails.display,67964937.0
282502000000,power.rails.tpu,3796948.0
282502000000,power.rails.modem,11119798.0
282502000000,power.rails.radio.frontend,0.0
282502000000,power.rails.cpu.big,49820261.0
282502000000,power.rails.cpu.mid,28887932.0
282502000000,power.rails.cpu.little,56389366.0
282502000000,power.rails.system.fabric,11142247.0
282502000000,power.rails.memory.interface,27040818.0
282503000000,power.rails.wifi.bt,26586574.0
282503000000,power.rails.aoc.memory,1427482.0
282503000000,power.rails.aoc.logic,5521194.0
282503000000,power.rails.ddr.a,5248821.0
282503000000,power.rails.ddr.b,5028093.0
282503000000,power.rails.ddr.c,21885926.0
282503000000,power.rails.gpu,8801366.0
282503000000,power.rails.display,68275925.0
283004000000,power.rails.tpu,3803671.0
283004000000,power.rails.modem,11126880.0
283004000000,power.rails.radio.frontend,0.0
283004000000,power.rails.cpu.big,49898678.0
283004000000,power.rails.cpu.mid,28937776.0
283004000000,power.rails.cpu.little,56471859.0
283004000000,power.rails.system.fabric,11162106.0
283004000000,power.rails.memory.interface,27086669.0
283006000000,power.rails.wifi.bt,26650535.0
283006000000,power.rails.aoc.memory,1429984.0
283006000000,power.rails.aoc.logic,5530375.0
283006000000,power.rails.ddr.a,5256089.0
283006000000,power.rails.ddr.b,5037099.0
283006000000,power.rails.ddr.c,21912434.0
283006000000,power.rails.gpu,8803813.0
283006000000,power.rails.display,68588294.0
283505000000,power.rails.tpu,3810530.0
283505000000,power.rails.modem,11133204.0
283505000000,power.rails.radio.frontend,0.0
283505000000,power.rails.cpu.big,49965945.0
283505000000,power.rails.cpu.mid,28982802.0
283505000000,power.rails.cpu.little,56562013.0
283505000000,power.rails.system.fabric,11182571.0
283505000000,power.rails.memory.interface,27127211.0
283506000000,power.rails.wifi.bt,26839809.0
283506000000,power.rails.aoc.memory,1432518.0
283506000000,power.rails.aoc.logic,5538725.0
283506000000,power.rails.ddr.a,5263509.0
