measurement_timestamp,measurment_value
2026-07-07T13:18:31.478000+02:00,910
2026-07-07T13:18:31.526000+02:00,960
2026-07-07T13:18:31.579000+02:00,1020
2026-07-07T13:18:31.626000+02:00,1080
2026-07-07T13:18:31.679000+02:00,2330
2026-07-07T13:18:31.726000+02:00,2009
2026-07-07T13:18:31.779000+02:00,1380
2026-07-07T13:18:31.826000+02:00,1020
2026-07-07T13:18:31.879000+02:00,1050
2026-07-07T13:18:31.926000+02:00,970
2026-07-07T13:18:31.979000+02:00,1220
2026-07-07T13:18:32.028000+02:00,1150
2026-07-07T13:18:32.080000+02:00,1150
2026-07-07T13:18:32.128000+02:00,1000
2026-07-07T13:18:32.179000+02:00,1000
2026-07-07T13:18:32.228000+02:00,940
2026-07-07T13:18:32.280000+02:00,1110
2026-07-07T13:18:32.328000+02:00,1130
2026-07-07T13:18:32.380000+02:00,1010
2026-07-07T13:18:32.428000+02:00,980
2026-07-07T13:18:32.480000+02:00,1070
2026-07-07T13:18:32.529000+02:00,1410
2026-07-07T13:18:32.580000+02:00,1080
2026-07-07T13:18:32.629000+02:00,1200
2026-07-07T13:18:32.680000+02:00,1060
2026-07-07T13:18:32.729000+02:00,1040
2026-07-07T13:18:32.780000+02:00,1050
2026-07-07T13:18:32.829000+02:00,1090
2026-07-07T13:18:32.880000+02:00,1210
2026-07-07T13:18:32.929000+02:00,1130
2026-07-07T13:18:32.980000+02:00,1250
2026-07-07T13:18:33.031000+02:00,1040
2026-07-07T13:18:33.081000+02:00,1060
2026-07-07T13:18:33.131000+02:00,990
2026-07-07T13:18:33.181000+02:00,1000
2026-07-07T13:18:33.231000+02:00,1040
2026-07-07T13:18:33.281000+02:00,1020
2026-07-07T13:18:33.331000+02:00,1130
2026-07-07T13:18:33.381000+02:00,1070
2026-07-07T13:18:33.432000+02:00,1340
2026-07-07T13:18:33.482000+02:00,1100
2026-07-07T13:18:33.532000+02:00,1020
2026-07-07T13:18:33.582000+02:00,1110
2026-07-07T13:18:33.632000+02:00,970
2026-07-07T13:18:33.682000+02:00,1480
2026-07-07T13:18:33.732000+02:00,3350
2026-07-07T13:18:33.782000+02:00,5170
2026-07-07T13:18:33.832000+02:00,5410
2026-07-07T13:18:33.882000+02:00,2980
2026-07-07T13:18:33.932000+02:00,2560
2026-07-07T13:18:33.982000+02:00,2810
2026-07-07T13:18:34.032000+02:00,2970
2026-07-07T13:18:34.082000+02:00,2780
2026-07-07T13:18:34.133000+02:00,2950
2026-07-07T13:18:34.183000+02:00,2560
2026-07-07T13:18:34.233000+02:00,2820
2026-07-07T13:18:34.283000+02:00,2420
2026-07-07T13:18:34.333000+02:00,2720
2026-07-07T13:18:34.383000+02:00,2490
