ts,rail,value
4613203000000,power.rails.tpu,42727529.0
4613203000000,power.rails.modem,42594846.0
4613203000000,power.rails.radio.frontend,207.0
4613203000000,power.rails.cpu.big,277379253.0
4613203000000,power.rails.cpu.mid,177387528.0
4613203000000,power.rails.cpu.little,330380987.0
4613203000000,power.rails.system.fabric,143141792.0
4613203000000,power.rails.memory.interface,179818613.0
4613204000000,power.rails.wifi.bt,382748294.0
4613204000000,power.rails.aoc.memory,15110970.0
4613204000000,power.rails.aoc.logic,58121920.0
4613204000000,power.rails.ddr.a,39474850.0
4613204000000,power.rails.ddr.b,75282168.0
4613204000000,power.rails.ddr.c,148186098.0
4613204000000,power.rails.gpu,35581892.0
4613204000000,power.rails.display,1519452055.0
4613505000000,power.rails.tpu,42730241.0
4613505000000,power.rails.modem,42596958.0
4613505000000,power.rails.radio.frontend,207.0
4613505000000,power.rails.cpu.big,277381094.0
4613505000000,power.rails.cpu.mid,177392627.0
4613505000000,power.rails.cpu.little,330387650.0
4613505000000,power.rails.system.fabric,143150905.0
4613505000000,power.rails.memory.interface,179826221.0
4613506000000,power.rails.wifi.bt,382764135.0
4613506000000,power.rails.aoc.memory,15111883.0
4613506000000,power.rails.aoc.logic,58125686.0
4613506000000,power.rails.ddr.a,39477795.0
4613506000000,power.rails.ddr.b,75287066.0
4613506000000,power.rails.ddr.c,148192573.0
4613506000000,power.rails.gpu,35582434.0
4613506000000,power.rails.display,1519558261.0
4614005000000,power.rails.tpu,42734822.0
4614005000000,power.rails.modem,42599749.0
4614005000000,power.rails.radio.frontend,207.0
4614005000000,power.rails.cpu.big,277383354.0
4614005000000,power.rails.cpu.mid,177399928.0
4614005000000,power.rails.cpu.little,330400460.0
4614005000000,power.rails.system.fabric,143165828.0
4614005000000,power.rails.memory.interface,179835609.0
4614006000000,power.rails.wifi.bt,382768898.0
4614006000000,power.rails.aoc.memory,15113469.0
4614006000000,power.rails.aoc.logic,58131617.0
4614006000000,power.rails.ddr.a,39480651.0
4614006000000,power.rails.ddr.b,75295304.0
4614006000000,power.rails.ddr.c,148203777.0
4614006000000,power.rails.gpu,35594089.0
4614006000000,power.rails.display,1519730340.0
4614506000000,power.rails.tpu,42739459.0
4614506000000,power.rails.modem,42602139.0
4614506000000,power.rails.radio.frontend,207.0
4614506000000,power.rails.cpu.big,277387096.0
4614506000000,power.rails.cpu.mid,177404790.0
4614506000000,power.rails.cpu.little,330411078.0
4614506000000,power.rails.system.fabric,143180373.0
4614506000000,power.rails.memory.interface,179843846.0
4614509000000,power.rails.wifi.bt,382785981.0
4614509000000,power.rails.aoc.memory,15115053.0
4614509000000,power.rails.aoc.logic,58138736.0
4614509000000,power.rails.ddr.a,39483083.0
4614509000000,power.rails.ddr.b,75303512.0
