measurement_timestamp,measurment_value
2026-07-07T13:32:32.733000+02:00,850
2026-07-07T13:32:32.781000+02:00,900
2026-07-07T13:32:32.831000+02:00,950
2026-07-07T13:32:32.881000+02:00,1630
2026-07-07T13:32:32.931000+02:00,2200
2026-07-07T13:32:32.981000+02:00,1400
2026-07-07T13:32:33.032000+02:00,1040
2026-07-07T13:32:33.082000+02:00,910
2026-07-07T13:32:33.132000+02:00,880
2026-07-07T13:32:33.182000+02:00,850
2026-07-07T13:32:33.232000+02:00,880
2026-07-07T13:32:33.282000+02:00,860
2026-07-07T13:32:33.332000+02:00,880
2026-07-07T13:32:33.383000+02:00,890
2026-07-07T13:32:33.432000+02:00,830
2026-07-07T13:32:33.482000+02:00,950
2026-07-07T13:32:33.532000+02:00,940
2026-07-07T13:32:33.582000+02:00,800
2026-07-07T13:32:33.632000+02:00,790
2026-07-07T13:32:33.682000+02:00,830
2026-07-07T13:32:33.735000+02:00,1100
2026-07-07T13:32:33.785000+02:00,1310
2026-07-07T13:32:33.835000+02:00,1090
2026-07-07T13:32:33.885000+02:00,1110
2026-07-07T13:32:33.935000+02:00,860
2026-07-07T13:32:33.985000+02:00,1080
2026-07-07T13:32:34.035000+02:00,1240
2026-07-07T13:32:34.085000+02:00,1170
2026-07-07T13:32:34.136000+02:00,1260
2026-07-07T13:32:34.186000+02:00,1020
2026-07-07T13:32:34.236000+02:00,1310
2026-07-07T13:32:34.286000+02:00,1640
2026-07-07T13:32:34.337000+02:00,1600
2026-07-07T13:32:34.387000+02:00,920
2026-07-07T13:32:34.438000+02:00,940
2026-07-07T13:32:34.487000+02:00,1730
2026-07-07T13:32:34.537000+02:00,1120
2026-07-07T13:32:34.587000+02:00,1550
2026-07-07T13:32:34.638000+02:00,860
2026-07-07T13:32:34.688000+02:00,1150
2026-07-07T13:32:34.741000+02:00,920
2026-07-07T13:32:34.788000+02:00,930
2026-07-07T13:32:34.842000+02:00,1060
2026-07-07T13:32:34.888000+02:00,910
2026-07-07T13:32:34.942000+02:00,2440
2026-07-07T13:32:34.988000+02:00,3820
2026-07-07T13:32:35.042000+02:00,3640
2026-07-07T13:32:35.088000+02:00,3630
2026-07-07T13:32:35.142000+02:00,4090
2026-07-07T13:32:35.189000+02:00,3870
2026-07-07T13:32:35.242000+02:00,3950
2026-07-07T13:32:35.289000+02:00,3030
2026-07-07T13:32:35.342000+02:00,3610
2026-07-07T13:32:35.389000+02:00,3290
2026-07-07T13:32:35.442000+02:00,3350
2026-07-07T13:32:35.489000+02:00,3380
2026-07-07T13:32:35.542000+02:00,3930
2026-07-07T13:32:35.589000+02:00,3960
2026-07-07T13:32:35.642000+02:00,2810
2026-07-07T13:32:35.689000+02:00,2590
2026-07-07T13:32:35.742000+02:00,2190
2026-07-07T13:32:35.789000+02:00,2720
2026-07-07T13:32:35.843000+02:00,1540
2026-07-07T13:32:35.890000+02:00,2240
2026-07-07T13:32:35.942000+02:00,2020
2026-07-07T13:32:35.990000+02:00,1930
2026-07-07T13:32:36.042000+02:00,1210
2026-07-07T13:32:36.090000+02:00,1240
2026-07-07T13:32:36.142000+02:00,1260
2026-07-07T13:32:36.190000+02:00,1160
2026-07-07T13:32:36.242000+02:00,1260
2026-07-07T13:32:36.291000+02:00,1040
2026-07-07T13:32:36.341000+02:00,910
2026-07-07T13:32:36.391000+02:00,1600
2026-07-07T13:32:36.442000+02:00,1010
2026-07-07T13:32:36.491000+02:00,890
2026-07-07T13:32:36.543000+02:00,1080
2026-07-07T13:32:36.591000+02:00,880
