measurement_timestamp,measurment_value
2026-07-07T12:50:27.593000+02:00,980
2026-07-07T12:50:27.643000+02:00,1100
2026-07-07T12:50:27.693000+02:00,1020
2026-07-07T12:50:27.743000+02:00,1730
2026-07-07T12:50:27.793000+02:00,1880
2026-07-07T12:50:27.843000+02:00,1400
2026-07-07T12:50:27.893000+02:00,1530
2026-07-07T12:50:27.945000+02:00,1310
2026-07-07T12:50:27.993000+02:00,940
2026-07-07T12:50:28.043000+02:00,1020
2026-07-07T12:50:28.094000+02:00,860
2026-07-07T12:50:28.144000+02:00,1020
2026-07-07T12:50:28.194000+02:00,960
2026-07-07T12:50:28.244000+02:00,970
2026-07-07T12:50:28.294000+02:00,890
2026-07-07T12:50:28.344000+02:00,950
2026-07-07T12:50:28.394000+02:00,1250
2026-07-07T12:50:28.444000+02:00,880
2026-07-07T12:50:28.494000+02:00,990
2026-07-07T12:50:28.544000+02:00,1050
2026-07-07T12:50:28.594000+02:00,1000
2026-07-07T12:50:28.644000+02:00,1120
2026-07-07T12:50:28.695000+02:00,1330
2026-07-07T12:50:28.745000+02:00,1170
2026-07-07T12:50:28.795000+02:00,1060
2026-07-07T12:50:28.845000+02:00,1100
2026-07-07T12:50:28.895000+02:00,980
2026-07-07T12:50:28.945000+02:00,1010
2026-07-07T12:50:28.997000+02:00,1530
2026-07-07T12:50:29.047000+02:00,1420
2026-07-07T12:50:29.097000+02:00,1080
2026-07-07T12:50:29.147000+02:00,1050
2026-07-07T12:50:29.197000+02:00,1020
2026-07-07T12:50:29.247000+02:00,1100
2026-07-07T12:50:29.297000+02:00,1090
2026-07-07T12:50:29.347000+02:00,1070
2026-07-07T12:50:29.397000+02:00,1010
2026-07-07T12:50:29.447000+02:00,1100
2026-07-07T12:50:29.497000+02:00,1040
2026-07-07T12:50:29.547000+02:00,1060
2026-07-07T12:50:29.597000+02:00,1140
2026-07-07T12:50:29.647000+02:00,1680
2026-07-07T12:50:29.697000+02:00,1260
2026-07-07T12:50:29.747000+02:00,1670
2026-07-07T12:50:29.798000+02:00,2200
2026-07-07T12:50:29.848000+02:00,3430
2026-07-07T12:50:29.898000+02:00,3360
2026-07-07T12:50:29.948000+02:00,4190
2026-07-07T12:50:29.998000+02:00,4640
2026-07-07T12:50:30.048000+02:00,3640
2026-07-07T12:50:30.098000+02:00,2750
2026-07-07T12:50:30.148000+02:00,2400
2026-07-07T12:50:30.198000+02:00,2260
2026-07-07T12:50:30.252000+02:00,3360
2026-07-07T12:50:30.298000+02:00,2470
2026-07-07T12:50:30.352000+02:00,3260
2026-07-07T12:50:30.399000+02:00,2610
2026-07-07T12:50:30.452000+02:00,2910
2026-07-07T12:50:30.499000+02:00,2740
2026-07-07T12:50:30.552000+02:00,2950
2026-07-07T12:50:30.599000+02:00,2430
2026-07-07T12:50:30.652000+02:00,2600
2026-07-07T12:50:30.699000+02:00,2120
2026-07-07T12:50:30.752000+02:00,2250
2026-07-07T12:50:30.799000+02:00,1840
2026-07-07T12:50:30.852000+02:00,1920
