ts,rail,value
2929333000000,power.rails.tpu,26919789.0
2929333000000,power.rails.modem,29041675.0
2929333000000,power.rails.radio.frontend,0.0
2929333000000,power.rails.cpu.big,185479227.0
2929333000000,power.rails.cpu.mid,111367618.0
2929333000000,power.rails.cpu.little,203586375.0
2929333000000,power.rails.system.fabric,89289240.0
2929333000000,power.rails.memory.interface,113192933.0
2929335000000,power.rails.wifi.bt,189840314.0
2929335000000,power.rails.aoc.memory,9493212.0
2929335000000,power.rails.aoc.logic,36903265.0
2929335000000,power.rails.ddr.a,25239582.0
2929335000000,power.rails.ddr.b,47763972.0
2929335000000,power.rails.ddr.c,94048606.0
2929335000000,power.rails.gpu,22915016.0
2929335000000,power.rails.display,922820254.0
2929504000000,power.rails.tpu,26921348.0
2929504000000,power.rails.modem,29043901.0
2929504000000,power.rails.radio.frontend,0.0
2929504000000,power.rails.cpu.big,185480071.0
2929504000000,power.rails.cpu.mid,111370927.0
2929504000000,power.rails.cpu.little,203593073.0
2929504000000,power.rails.system.fabric,89294376.0
2929504000000,power.rails.memory.interface,113198065.0
2929506000000,power.rails.wifi.bt,189855728.0
2929506000000,power.rails.aoc.memory,9493726.0
2929506000000,power.rails.aoc.logic,36905500.0
2929506000000,power.rails.ddr.a,25240697.0
2929506000000,power.rails.ddr.b,47766743.0
2929506000000,power.rails.ddr.c,94052090.0
2929506000000,power.rails.gpu,22915329.0
2929506000000,power.rails.display,922876968.0
2930007000000,power.rails.tpu,26925872.0
2930007000000,power.rails.modem,29045966.0
2930007000000,power.rails.radio.frontend,0.0
2930007000000,power.rails.cpu.big,185482826.0
2930007000000,power.rails.cpu.mid,111375460.0
2930007000000,power.rails.cpu.little,203599550.0
2930007000000,power.rails.system.fabric,89307728.0
2930007000000,power.rails.memory.interface,113205100.0
2930009000000,power.rails.wifi.bt,189865887.0
2930009000000,power.rails.aoc.memory,9495496.0
2930009000000,power.rails.aoc.logic,36912160.0
2930009000000,power.rails.ddr.a,25243015.0
2930009000000,power.rails.ddr.b,47774920.0
2930009000000,power.rails.ddr.c,94058268.0
2930009000000,power.rails.gpu,22916225.0
2930009000000,power.rails.display,923060089.0
2930507000000,power.rails.tpu,26930534.0
2930507000000,power.rails.modem,29049803.0
2930507000000,power.rails.radio.frontend,0.0
2930507000000,power.rails.cpu.big,185487866.0
2930507000000,power.rails.cpu.mid,111380232.0
2930507000000,power.rails.cpu.little,203615813.0
2930507000000,power.rails.system.fabric,89321999.0
2930507000000,power.rails.memory.interface,113216420.0
2930509000000,power.rails.wifi.bt,189884346.0
2930509000000,power.rails.aoc.memory,9497476.0
2930509000000,power.rails.aoc.logic,36918655.0
2930509000000,power.rails.ddr.a,25245873.0
2930509000000,power.rails.ddr.b,47783116.0
2930509000000,power.rails.ddr.c,94067814.0
2930509000000,power.rails.gpu,22922013.0
2930509000000,power.rails.display,923248652.0
2931008000000,power.rails.tpu,26935098.0
2931008000000,power.rails.modem,29052592.0
2931008000000,power.rails.radio.frontend,0.0
2931008000000,power.rails.cpu.big,185493425.0
2931008000000,power.rails.cpu.mid,111384758.0
2931008000000,power.rails.cpu.little,203626304.0
2931008000000,power.rails.system.fabric,89336608.0
2931008000000,power.rails.memory.interface,113226020.0
2931009000000,power.rails.wifi.bt,189893954.0
2931009000000,power.rails.aoc.memory,9499101.0
2931009000000,power.rails.aoc.logic,36924697.0
2931009000000,power.rails.ddr.a,25248809.0
2931009000000,power.rails.ddr.b,47791251.0
2931009000000,power.rails.ddr.c,94075979.0
2931009000000,power.rails.gpu,22922850.0
2931009000000,power.rails.display,923444638.0
2931502000000,power.rails.tpu,26940068.0
