measurement_timestamp,measurment_value
2026-07-07T13:04:31.014000+02:00,890
2026-07-07T13:04:31.065000+02:00,890
2026-07-07T13:04:31.115000+02:00,1540
2026-07-07T13:04:31.165000+02:00,950
2026-07-07T13:04:31.215000+02:00,870
2026-07-07T13:04:31.265000+02:00,1590
2026-07-07T13:04:31.315000+02:00,1790
2026-07-07T13:04:31.365000+02:00,1500
2026-07-07T13:04:31.419000+02:00,1040
2026-07-07T13:04:31.465000+02:00,870
2026-07-07T13:04:31.518000+02:00,910
2026-07-07T13:04:31.566000+02:00,990
2026-07-07T13:04:31.619000+02:00,1010
2026-07-07T13:04:31.665000+02:00,880
2026-07-07T13:04:31.719000+02:00,1040
2026-07-07T13:04:31.765000+02:00,870
2026-07-07T13:04:31.819000+02:00,960
2026-07-07T13:04:31.866000+02:00,910
2026-07-07T13:04:31.918000+02:00,960
2026-07-07T13:04:31.966000+02:00,810
2026-07-07T13:04:32.018000+02:00,950
2026-07-07T13:04:32.066000+02:00,1700
2026-07-07T13:04:32.119000+02:00,1140
2026-07-07T13:04:32.166000+02:00,1330
2026-07-07T13:04:32.219000+02:00,1400
2026-07-07T13:04:32.266000+02:00,1410
2026-07-07T13:04:32.319000+02:00,1290
2026-07-07T13:04:32.367000+02:00,1100
2026-07-07T13:04:32.418000+02:00,960
2026-07-07T13:04:32.467000+02:00,1190
2026-07-07T13:04:32.519000+02:00,1080
2026-07-07T13:04:32.567000+02:00,1090
2026-07-07T13:04:32.618000+02:00,970
2026-07-07T13:04:32.667000+02:00,1040
2026-07-07T13:04:32.718000+02:00,970
2026-07-07T13:04:32.767000+02:00,1120
2026-07-07T13:04:32.818000+02:00,1200
2026-07-07T13:04:32.867000+02:00,1060
2026-07-07T13:04:32.918000+02:00,930
2026-07-07T13:04:32.967000+02:00,1250
2026-07-07T13:04:33.018000+02:00,1080
2026-07-07T13:04:33.068000+02:00,1570
2026-07-07T13:04:33.118000+02:00,930
2026-07-07T13:04:33.168000+02:00,1350
2026-07-07T13:04:33.218000+02:00,1680
2026-07-07T13:04:33.268000+02:00,2130
2026-07-07T13:04:33.319000+02:00,4550
2026-07-07T13:04:33.368000+02:00,3270
2026-07-07T13:04:33.419000+02:00,3300
2026-07-07T13:04:33.469000+02:00,3050
2026-07-07T13:04:33.519000+02:00,3750
2026-07-07T13:04:33.568000+02:00,3790
2026-07-07T13:04:33.619000+02:00,4340
2026-07-07T13:04:33.669000+02:00,5060
2026-07-07T13:04:33.719000+02:00,3930
2026-07-07T13:04:33.769000+02:00,3340
2026-07-07T13:04:33.819000+02:00,3230
2026-07-07T13:04:33.869000+02:00,3160
2026-07-07T13:04:33.920000+02:00,3360
2026-07-07T13:04:33.969000+02:00,3280
2026-07-07T13:04:34.019000+02:00,2910
2026-07-07T13:04:34.069000+02:00,2550
2026-07-07T13:04:34.119000+02:00,2240
2026-07-07T13:04:34.170000+02:00,2440
2026-07-07T13:04:34.220000+02:00,2370
2026-07-07T13:04:34.270000+02:00,2050
2026-07-07T13:04:34.320000+02:00,2480
2026-07-07T13:04:34.370000+02:00,2620
2026-07-07T13:04:34.420000+02:00,3410
2026-07-07T13:04:34.470000+02:00,5070
2026-07-07T13:04:34.520000+02:00,2210
2026-07-07T13:04:34.570000+02:00,1360
2026-07-07T13:04:34.620000+02:00,1530
2026-07-07T13:04:34.670000+02:00,1230
2026-07-07T13:04:34.720000+02:00,1240
2026-07-07T13:04:34.770000+02:00,970
2026-07-07T13:04:34.821000+02:00,950
2026-07-07T13:04:34.871000+02:00,990
2026-07-07T13:04:34.921000+02:00,930
2026-07-07T13:04:34.971000+02:00,980
2026-07-07T13:04:35.021000+02:00,1030
2026-07-07T13:04:35.071000+02:00,1090
2026-07-07T13:04:35.121000+02:00,1000
2026-07-07T13:04:35.171000+02:00,1080
2026-07-07T13:04:35.221000+02:00,1030
2026-07-07T13:04:35.271000+02:00,870
2026-07-07T13:04:35.321000+02:00,1230
2026-07-07T13:04:35.371000+02:00,930
2026-07-07T13:04:35.421000+02:00,910
2026-07-07T13:04:35.471000+02:00,1030
2026-07-07T13:04:35.522000+02:00,1280
2026-07-07T13:04:35.572000+02:00,1420
2026-07-07T13:04:35.622000+02:00,1240
2026-07-07T13:04:35.672000+02:00,1160
2026-07-07T13:04:35.722000+02:00,1070
2026-07-07T13:04:35.772000+02:00,1100
2026-07-07T13:04:35.822000+02:00,1040
2026-07-07T13:04:35.872000+02:00,930
2026-07-07T13:04:35.922000+02:00,900
2026-07-07T13:04:35.972000+02:00,960
2026-07-07T13:04:36.023000+02:00,1620
2026-07-07T13:04:36.072000+02:00,1410
2026-07-07T13:04:36.123000+02:00,1030
2026-07-07T13:04:36.173000+02:00,940
2026-07-07T13:04:36.223000+02:00,870
2026-07-07T13:04:36.273000+02:00,870
2026-07-07T13:04:36.323000+02:00,930
2026-07-07T13:04:36.373000+02:00,870
2026-07-07T13:04:36.423000+02:00,920
2026-07-07T13:04:36.473000+02:00,840
2026-07-07T13:04:36.523000+02:00,920
2026-07-07T13:04:36.573000+02:00,970
2026-07-07T13:04:36.623000+02:00,800
2026-07-07T13:04:36.674000+02:00,840
2026-07-07T13:04:36.724000+02:00,1100
2026-07-07T13:04:36.774000+02:00,1390
2026-07-07T13:04:36.824000+02:00,1100
2026-07-07T13:04:36.878000+02:00,1100
2026-07-07T13:04:36.924000+02:00,860
2026-07-07T13:04:36.977000+02:00,810
2026-07-07T13:04:37.024000+02:00,880
2026-07-07T13:04:37.077000+02:00,850
2026-07-07T13:04:37.124000+02:00,890
2026-07-07T13:04:37.177000+02:00,820
2026-07-07T13:04:37.224000+02:00,1000
2026-07-07T13:04:37.277000+02:00,940
2026-07-07T13:04:37.325000+02:00,1530
2026-07-07T13:04:37.378000+02:00,1100
2026-07-07T13:04:37.425000+02:00,970
2026-07-07T13:04:37.478000+02:00,1170
2026-07-07T13:04:37.525000+02:00,2120
2026-07-07T13:04:37.578000+02:00,1220
2026-07-07T13:04:37.625000+02:00,970
2026-07-07T13:04:37.677000+02:00,930
2026-07-07T13:04:37.725000+02:00,980
2026-07-07T13:04:37.778000+02:00,1170
2026-07-07T13:04:37.826000+02:00,1480
2026-07-07T13:04:37.878000+02:00,1380
2026-07-07T13:04:37.926000+02:00,1320
2026-07-07T13:04:37.978000+02:00,1390
2026-07-07T13:04:38.026000+02:00,2580
2026-07-07T13:04:38.077000+02:00,920
2026-07-07T13:04:38.126000+02:00,1000
2026-07-07T13:04:38.178000+02:00,1020
2026-07-07T13:04:38.226000+02:00,940
2026-07-07T13:04:38.277000+02:00,980
2026-07-07T13:04:38.326000+02:00,1060
2026-07-07T13:04:38.378000+02:00,1130
2026-07-07T13:04:38.427000+02:00,1560
2026-07-07T13:04:38.477000+02:00,1820
2026-07-07T13:04:38.527000+02:00,3750
2026-07-07T13:04:38.577000+02:00,4610
2026-07-07T13:04:38.627000+02:00,4290
2026-07-07T13:04:38.677000+02:00,3130
2026-07-07T13:04:38.727000+02:00,3090
2026-07-07T13:04:38.777000+02:00,3230
2026-07-07T13:04:38.827000+02:00,3500
2026-07-07T13:04:38.877000+02:00,2660
2026-07-07T13:04:38.927000+02:00,2780
2026-07-07T13:04:38.978000+02:00,3330
2026-07-07T13:04:39.028000+02:00,3340
2026-07-07T13:04:39.078000+02:00,3320
2026-07-07T13:04:39.128000+02:00,3330
2026-07-07T13:04:39.178000+02:00,2670
2026-07-07T13:04:39.228000+02:00,3020
2026-07-07T13:04:39.278000+02:00,2330
2026-07-07T13:04:39.328000+02:00,2550
2026-07-07T13:04:39.378000+02:00,1960
2026-07-07T13:04:39.428000+02:00,2130
2026-07-07T13:04:39.478000+02:00,2160
2026-07-07T13:04:39.528000+02:00,2140
2026-07-07T13:04:39.578000+02:00,2290
