ts,rail,value
3772800000000,power.rails.tpu,34781829.0
3772800000000,power.rails.modem,35740495.0
3772800000000,power.rails.radio.frontend,0.0
3772800000000,power.rails.cpu.big,223409130.0
3772800000000,power.rails.cpu.mid,142936854.0
3772800000000,power.rails.cpu.little,263322531.0
3772800000000,power.rails.system.fabric,116095543.0
3772800000000,power.rails.memory.interface,144418791.0
3772801000000,power.rails.wifi.bt,287417974.0
3772801000000,power.rails.aoc.memory,12278168.0
3772801000000,power.rails.aoc.logic,47461408.0
3772801000000,power.rails.ddr.a,31873018.0
3772801000000,power.rails.ddr.b,61540843.0
3772801000000,power.rails.ddr.c,119190916.0
3772801000000,power.rails.gpu,28759260.0
3772801000000,power.rails.display,1241388924.0
3773004000000,power.rails.tpu,34783705.0
3773004000000,power.rails.modem,35741632.0
3773004000000,power.rails.radio.frontend,0.0
3773004000000,power.rails.cpu.big,223410037.0
3773004000000,power.rails.cpu.mid,142940046.0
3773004000000,power.rails.cpu.little,263326990.0
3773004000000,power.rails.system.fabric,116101450.0
3773004000000,power.rails.memory.interface,144424704.0
3773006000000,power.rails.wifi.bt,287435312.0
3773006000000,power.rails.aoc.memory,12278754.0
3773006000000,power.rails.aoc.logic,47463354.0
3773006000000,power.rails.ddr.a,31874697.0
3773006000000,power.rails.ddr.b,61544181.0
3773006000000,power.rails.ddr.c,119195301.0
3773006000000,power.rails.gpu,28759632.0
3773006000000,power.rails.display,1241439073.0
3773506000000,power.rails.tpu,34788261.0
3773506000000,power.rails.modem,35743900.0
3773506000000,power.rails.radio.frontend,0.0
3773506000000,power.rails.cpu.big,223413387.0
3773506000000,power.rails.cpu.mid,142944653.0
3773506000000,power.rails.cpu.little,263335256.0
3773506000000,power.rails.system.fabric,116115760.0
3773506000000,power.rails.memory.interface,144433025.0
3773509000000,power.rails.wifi.bt,287437748.0
3773509000000,power.rails.aoc.memory,12280391.0
3773509000000,power.rails.aoc.logic,47469483.0
3773509000000,power.rails.ddr.a,31877150.0
3773509000000,power.rails.ddr.b,61552388.0
3773509000000,power.rails.ddr.c,119203266.0
3773509000000,power.rails.gpu,28762298.0
3773509000000,power.rails.display,1241570793.0
3774004000000,power.rails.tpu,34792891.0
3774004000000,power.rails.modem,35746680.0
3774004000000,power.rails.radio.frontend,0.0
3774004000000,power.rails.cpu.big,223416185.0
3774004000000,power.rails.cpu.mid,142956815.0
3774004000000,power.rails.cpu.little,263352737.0
3774004000000,power.rails.system.fabric,116131093.0
3774004000000,power.rails.memory.interface,144446193.0
3774006000000,power.rails.wifi.bt,287459066.0
3774006000000,power.rails.aoc.memory,12282007.0
3774006000000,power.rails.aoc.logic,47475242.0
3774006000000,power.rails.ddr.a,31881638.0
3774006000000,power.rails.ddr.b,61560572.0
3774006000000,power.rails.ddr.c,119217650.0
3774006000000,power.rails.gpu,28763210.0
