measurement_timestamp,measurment_value
2026-07-07T12:22:25.703000+02:00,1050
2026-07-07T12:22:25.753000+02:00,940
2026-07-07T12:22:25.803000+02:00,1030
2026-07-07T12:22:25.853000+02:00,940
2026-07-07T12:22:25.903000+02:00,1300
2026-07-07T12:22:25.953000+02:00,2150
2026-07-07T12:22:26.004000+02:00,2280
2026-07-07T12:22:26.054000+02:00,1060
2026-07-07T12:22:26.104000+02:00,1140
2026-07-07T12:22:26.154000+02:00,870
2026-07-07T12:22:26.204000+02:00,1090
2026-07-07T12:22:26.254000+02:00,900
2026-07-07T12:22:26.304000+02:00,1620
2026-07-07T12:22:26.354000+02:00,950
2026-07-07T12:22:26.404000+02:00,960
2026-07-07T12:22:26.454000+02:00,880
2026-07-07T12:22:26.504000+02:00,960
2026-07-07T12:22:26.554000+02:00,1230
2026-07-07T12:22:26.604000+02:00,1250
2026-07-07T12:22:26.655000+02:00,970
2026-07-07T12:22:26.705000+02:00,1600
2026-07-07T12:22:26.755000+02:00,1140
2026-07-07T12:22:26.805000+02:00,1130
2026-07-07T12:22:26.855000+02:00,970
2026-07-07T12:22:26.905000+02:00,1110
2026-07-07T12:22:26.955000+02:00,1050
2026-07-07T12:22:27.005000+02:00,1040
2026-07-07T12:22:27.055000+02:00,1030
2026-07-07T12:22:27.105000+02:00,1040
2026-07-07T12:22:27.155000+02:00,1270
2026-07-07T12:22:27.205000+02:00,1130
2026-07-07T12:22:27.255000+02:00,1150
2026-07-07T12:22:27.305000+02:00,1280
2026-07-07T12:22:27.355000+02:00,1110
2026-07-07T12:22:27.405000+02:00,1100
2026-07-07T12:22:27.456000+02:00,970
2026-07-07T12:22:27.506000+02:00,1110
2026-07-07T12:22:27.556000+02:00,1010
2026-07-07T12:22:27.606000+02:00,1150
2026-07-07T12:22:27.656000+02:00,1370
2026-07-07T12:22:27.706000+02:00,1310
2026-07-07T12:22:27.756000+02:00,1180
2026-07-07T12:22:27.806000+02:00,1080
2026-07-07T12:22:27.856000+02:00,1390
2026-07-07T12:22:27.906000+02:00,1540
2026-07-07T12:22:27.956000+02:00,2080
2026-07-07T12:22:28.006000+02:00,4330
2026-07-07T12:22:28.057000+02:00,4330
2026-07-07T12:22:28.110000+02:00,5090
2026-07-07T12:22:28.157000+02:00,2320
2026-07-07T12:22:28.210000+02:00,3000
2026-07-07T12:22:28.257000+02:00,2790
2026-07-07T12:22:28.310000+02:00,2900
2026-07-07T12:22:28.357000+02:00,2660
2026-07-07T12:22:28.410000+02:00,3080
2026-07-07T12:22:28.457000+02:00,2570
2026-07-07T12:22:28.510000+02:00,2930
2026-07-07T12:22:28.557000+02:00,1730
2026-07-07T12:22:28.610000+02:00,1740
2026-07-07T12:22:28.657000+02:00,2020
2026-07-07T12:22:28.710000+02:00,1430
