ts,bytes,event_id
1,2729897.0,1
2,2729896.0,1
3,2729897.0,1
4,2729899.0,1
5,2729898.0,1
6,2729897.0,1
7,2729897.0,1
8,2729896.0,1
9,2729896.0,1
10,2729896.0,1
11,2729895.0,1
12,2729897.0,1
13,2729895.0,1
14,2729896.0,1
15,2729898.0,1
16,2729896.0,1
17,2729897.0,1
18,2729897.0,1
19,2729897.0,1
20,2729896.0,1
21,2729897.0,1
22,2729897.0,1
23,2729898.0,1
24,2729897.0,1
25,2729897.0,1
26,2729897.0,1
27,2729896.0,1
28,2729896.0,1
29,2729899.0,1
30,2729896.0,1
31,2729896.0,1
32,2729898.0,1
33,2729898.0,1
34,2729897.0,1
35,2729898.0,1
36,2729897.0,1
37,2729896.0,1
38,2729898.0,1
39,2729895.0,1
40,2729899.0,1
41,2729898.0,1
42,2729897.0,1
43,2729896.0,1
44,2729897.0,1
45,2729895.0,1
46,2729897.0,1
47,2729896.0,1
48,2729896.0,1
49,2729896.0,1
50,2729897.0,1
51,2729897.0,1
52,2729896.0,1
53,2729896.0,1
54,2729898.0,1
55,2729897.0,1
56,2729896.0,1
57,2729898.0,1
58,2729897.0,1
59,2729899.0,1
60,2729897.0,1
61,2729897.0,1
62,2729896.0,1
63,2729897.0,1
64,2729896.0,1
65,2729896.0,1
66,2729897.0,1
67,2729896.0,1
68,2729897.0,1
69,2729899.0,1
70,2729896.0,1
71,2729895.0,1
72,2729897.0,1
73,2729897.0,1
74,2729897.0,1
75,2729897.0,1
76,2729897.0,1
77,2729895.0,1
78,2729896.0,1
79,2729896.0,1
80,2729897.0,1
81,2729895.0,1
82,2729897.0,1
83,2729899.0,1
84,2729896.0,1
85,2729896.0,1
86,2729897.0,1
87,2729899.0,1
88,2729896.0,1
89,2729897.0,1
90,2729896.0,1
91,2729898.0,1
92,2729896.0,1
93,2729897.0,1
94,2729897.0,1
95,2729896.0,1
96,2729895.0,1
97,2729896.0,1
98,2729897.0,1
99,2729896.0,1
100,2729897.0,1
101,2729896.0,1
102,2729897.0,1
103,2729898.0,1
104,2729897.0,1
105,2729896.0,1
106,2729896.0,1
107,2729896.0,1
108,2729897.0,1
109,2729899.0,1
110,2729896.0,1
111,2729896.0,1
112,2729896.0,1
113,2729895.0,1
114,2729896.0,1
115,2729897.0,1
116,2729896.0,1
117,2729896.0,1
118,2729896.0,1
119,2729896.0,1
120,2729897.0,1
121,2729896.0,1
122,2729896.0,1
123,2729897.0,1
124,2729899.0,1
125,2729897.0,1
126,2729897.0,1
127,2729896.0,1
128,2729896.0,1
129,2729897.0,1
130,2729898.0,1
131,2729896.0,1
132,2729897.0,1
133,2729897.0,1
134,2729897.0,1
135,2729897.0,1
136,2729897.0,1
137,2729896.0,1
138,2729897.0,1
139,2729896.0,1
140,2729897.0,1
141,2729898.0,1
142,2729897.0,1
143,2729895.0,1
144,2729896.0,1
145,2729896.0,1
146,2729896.0,1
147,2729895.0,1
148,2729896.0,1
149,2729895.0,1
