ts,rail,value
1247424000000,power.rails.tpu,11470580.0
1247424000000,power.rails.tpu,11470580.0
1247424000000,power.rails.modem,16722039.0
1247424000000,power.rails.modem,16722039.0
1247424000000,power.rails.radio.frontend,0.0
1247424000000,power.rails.radio.frontend,0.0
1247424000000,power.rails.cpu.big,84486999.0
1247424000000,power.rails.cpu.big,84486999.0
1247424000000,power.rails.cpu.mid,61597489.0
1247424000000,power.rails.cpu.mid,61597489.0
1247424000000,power.rails.cpu.little,103892060.0
1247424000000,power.rails.cpu.little,103892060.0
1247424000000,power.rails.system.fabric,38205675.0
1247424000000,power.rails.system.fabric,38205675.0
1247424000000,power.rails.memory.interface,55167188.0
1247424000000,power.rails.memory.interface,55167188.0
1247425000000,power.rails.wifi.bt,66600018.0
1247425000000,power.rails.wifi.bt,66600018.0
1247425000000,power.rails.aoc.memory,4080618.0
1247425000000,power.rails.aoc.memory,4080618.0
1247425000000,power.rails.aoc.logic,15713063.0
1247425000000,power.rails.aoc.logic,15713063.0
1247425000000,power.rails.ddr.a,11564788.0
1247425000000,power.rails.ddr.a,11564788.0
1247425000000,power.rails.ddr.b,20293971.0
1247425000000,power.rails.ddr.b,20293971.0
1247425000000,power.rails.ddr.c,44843975.0
1247425000000,power.rails.ddr.c,44843975.0
1247425000000,power.rails.gpu,11061274.0
1247425000000,power.rails.gpu,11061274.0
1247425000000,power.rails.display,357035788.0
1247425000000,power.rails.display,357035788.0
1248005000000,power.rails.tpu,11475738.0
1248005000000,power.rails.modem,16727323.0
1248005000000,power.rails.radio.frontend,0.0
1248005000000,power.rails.cpu.big,84490989.0
1248005000000,power.rails.cpu.mid,61604819.0
1248005000000,power.rails.cpu.little,103901803.0
1248005000000,power.rails.system.fabric,38222553.0
1248005000000,power.rails.memory.interface,55177203.0
1248007000000,power.rails.wifi.bt,66617862.0
1248007000000,power.rails.aoc.memory,4082435.0
1248007000000,power.rails.aoc.logic,15721375.0
1248007000000,power.rails.ddr.a,11569453.0
1248007000000,power.rails.ddr.b,20303426.0
1248007000000,power.rails.ddr.c,44855030.0
1248007000000,power.rails.gpu,11062329.0
1248007000000,power.rails.display,357243209.0
1248506000000,power.rails.tpu,11480216.0
1248506000000,power.rails.modem,16730435.0
1248506000000,power.rails.radio.frontend,0.0
1248506000000,power.rails.cpu.big,84497569.0
1248506000000,power.rails.cpu.mid,61611927.0
1248506000000,power.rails.cpu.little,103917159.0
1248506000000,power.rails.system.fabric,38237069.0
1248506000000,power.rails.memory.interface,55186455.0
1248508000000,power.rails.wifi.bt,66627717.0
1248508000000,power.rails.aoc.memory,4084042.0
1248508000000,power.rails.aoc.logic,15727426.0
1248508000000,power.rails.ddr.a,11572033.0
1248508000000,power.rails.ddr.b,20311567.0
1248508000000,power.rails.ddr.c,44863773.0
1248508000000,power.rails.gpu,11063757.0
1248508000000,power.rails.display,357429634.0
1249008000000,power.rails.tpu,11484671.0
1249008000000,power.rails.modem,16734023.0
1249008000000,power.rails.radio.frontend,0.0
1249008000000,power.rails.cpu.big,84500004.0
1249008000000,power.rails.cpu.mid,61616752.0
1249008000000,power.rails.cpu.little,103926012.0
1249008000000,power.rails.system.fabric,38251628.0
1249008000000,power.rails.memory.interface,55195523.0
1249010000000,power.rails.wifi.bt,66644169.0
1249010000000,power.rails.aoc.memory,4085688.0
1249010000000,power.rails.aoc.logic,15735465.0
1249010000000,power.rails.ddr.a,11574496.0
1249010000000,power.rails.ddr.b,20319684.0
1249010000000,power.rails.ddr.c,44872698.0
1249010000000,power.rails.gpu,11064664.0
1249010000000,power.rails.display,357626535.0
1249502000000,power.rails.tpu,11489464.0
1249502000000,power.rails.modem,16737456.0
1249502000000,power.rails.radio.frontend,0.0
1249502000000,power.rails.cpu.big,84529368.0
1249502000000,power.rails.cpu.mid,61657940.0
1249502000000,power.rails.cpu.little,104005958.0
1249502000000,power.rails.system.fabric,38268327.0
1249502000000,power.rails.memory.interface,55235737.0
1249504000000,power.rails.wifi.bt,66716051.0
1249504000000,power.rails.aoc.memory,4087255.0
1249504000000,power.rails.aoc.logic,15741831.0
1249504000000,power.rails.ddr.a,11585327.0
1249504000000,power.rails.ddr.b,20327748.0
1249504000000,power.rails.ddr.c,44913722.0
1249504000000,power.rails.gpu,11068178.0
1249504000000,power.rails.display,357818932.0
1250003000000,power.rails.tpu,11494383.0
1250003000000,power.rails.modem,16744614.0
1250003000000,power.rails.radio.frontend,0.0
1250003000000,power.rails.cpu.big,84623864.0
1250003000000,power.rails.cpu.mid,61710068.0
1250003000000,power.rails.cpu.little,104127192.0
1250003000000,power.rails.system.fabric,38289342.0
1250003000000,power.rails.memory.interface,55289622.0
1250005000000,power.rails.wifi.bt,66907272.0
1250005000000,power.rails.aoc.memory,4088893.0
1250005000000,power.rails.aoc.logic,15747637.0
1250005000000,power.rails.ddr.a,11592618.0
1250005000000,power.rails.ddr.b,20335939.0
1250005000000,power.rails.ddr.c,44952820.0
1250005000000,power.rails.gpu,11091893.0
1250005000000,power.rails.display,358017373.0
1250509000000,power.rails.tpu,11498999.0
1250509000000,power.rails.modem,16748288.0
1250509000000,power.rails.radio.frontend,0.0
1250509000000,power.rails.cpu.big,84632256.0
1250509000000,power.rails.cpu.mid,61720835.0
1250509000000,power.rails.cpu.little,104157313.0
1250509000000,power.rails.system.fabric,38305234.0
1250509000000,power.rails.memory.interface,55304499.0
1250511000000,power.rails.wifi.bt,66946427.0
1250511000000,power.rails.aoc.memory,4090532.0
1250511000000,power.rails.aoc.logic,15753940.0
1250511000000,power.rails.ddr.a,11595850.0
1250511000000,power.rails.ddr.b,20344161.0
1250511000000,power.rails.ddr.c,44967618.0
1250511000000,power.rails.gpu,11092809.0
1250511000000,power.rails.display,358213655.0
1251007000000,power.rails.tpu,11503401.0
1251007000000,power.rails.modem,16751636.0
1251007000000,power.rails.radio.frontend,0.0
1251007000000,power.rails.cpu.big,84634922.0
1251007000000,power.rails.cpu.mid,61725704.0
1251007000000,power.rails.cpu.little,104172783.0
1251007000000,power.rails.system.fabric,38319781.0
1251007000000,power.rails.memory.interface,55312446.0
1251009000000,power.rails.wifi.bt,66947050.0
1251009000000,power.rails.aoc.memory,4092095.0
1251009000000,power.rails.aoc.logic,15760218.0
1251009000000,power.rails.ddr.a,11598284.0
1251009000000,power.rails.ddr.b,20352220.0
1251009000000,power.rails.ddr.c,44974824.0
1251009000000,power.rails.gpu,11093709.0
1251009000000,power.rails.display,358408686.0
1251508000000,power.rails.tpu,11507838.0
1251508000000,power.rails.modem,16755844.0
1251508000000,power.rails.radio.frontend,0.0
1251508000000,power.rails.cpu.big,84637467.0
1251508000000,power.rails.cpu.mid,61730991.0
1251508000000,power.rails.cpu.little,104181642.0
1251508000000,power.rails.system.fabric,38334352.0
1251508000000,power.rails.memory.interface,55320623.0
1251510000000,power.rails.wifi.bt,66988711.0
1251510000000,power.rails.aoc.memory,4093630.0
