measurement_timestamp,measurment_value
2026-07-07T12:36:27.703000+02:00,870
2026-07-07T12:36:27.757000+02:00,880
2026-07-07T12:36:27.807000+02:00,910
2026-07-07T12:36:27.857000+02:00,1540
2026-07-07T12:36:27.907000+02:00,2410
2026-07-07T12:36:27.957000+02:00,1140
2026-07-07T12:36:28.007000+02:00,1070
2026-07-07T12:36:28.058000+02:00,1060
2026-07-07T12:36:28.108000+02:00,1140
2026-07-07T12:36:28.158000+02:00,1140
2026-07-07T12:36:28.208000+02:00,890
2026-07-07T12:36:28.258000+02:00,910
2026-07-07T12:36:28.308000+02:00,810
2026-07-07T12:36:28.358000+02:00,940
2026-07-07T12:36:28.408000+02:00,910
2026-07-07T12:36:28.458000+02:00,860
2026-07-07T12:36:28.508000+02:00,930
2026-07-07T12:36:28.558000+02:00,1680
2026-07-07T12:36:28.608000+02:00,1200
2026-07-07T12:36:28.658000+02:00,1010
2026-07-07T12:36:28.708000+02:00,1020
2026-07-07T12:36:28.758000+02:00,1120
2026-07-07T12:36:28.809000+02:00,940
2026-07-07T12:36:28.859000+02:00,980
2026-07-07T12:36:28.909000+02:00,950
2026-07-07T12:36:28.959000+02:00,980
2026-07-07T12:36:29.009000+02:00,930
2026-07-07T12:36:29.059000+02:00,1060
2026-07-07T12:36:29.109000+02:00,1650
2026-07-07T12:36:29.159000+02:00,1260
2026-07-07T12:36:29.209000+02:00,1010
2026-07-07T12:36:29.259000+02:00,920
2026-07-07T12:36:29.310000+02:00,980
2026-07-07T12:36:29.360000+02:00,920
2026-07-07T12:36:29.410000+02:00,1080
2026-07-07T12:36:29.460000+02:00,930
2026-07-07T12:36:29.510000+02:00,1040
2026-07-07T12:36:29.560000+02:00,1230
2026-07-07T12:36:29.610000+02:00,970
2026-07-07T12:36:29.660000+02:00,990
2026-07-07T12:36:29.710000+02:00,1010
2026-07-07T12:36:29.760000+02:00,970
2026-07-07T12:36:29.810000+02:00,1050
2026-07-07T12:36:29.860000+02:00,930
2026-07-07T12:36:29.910000+02:00,2110
2026-07-07T12:36:29.960000+02:00,3870
2026-07-07T12:36:30.011000+02:00,5710
2026-07-07T12:36:30.061000+02:00,3640
2026-07-07T12:36:30.111000+02:00,5760
2026-07-07T12:36:30.161000+02:00,5450
2026-07-07T12:36:30.211000+02:00,3330
2026-07-07T12:36:30.261000+02:00,3180
2026-07-07T12:36:30.311000+02:00,2930
2026-07-07T12:36:30.361000+02:00,4550
2026-07-07T12:36:30.411000+02:00,4990
2026-07-07T12:36:30.461000+02:00,5370
2026-07-07T12:36:30.511000+02:00,3250
2026-07-07T12:36:30.561000+02:00,5630
2026-07-07T12:36:30.612000+02:00,5360
2026-07-07T12:36:30.662000+02:00,2000
2026-07-07T12:36:30.712000+02:00,1230
2026-07-07T12:36:30.762000+02:00,1120
2026-07-07T12:36:30.812000+02:00,1110
2026-07-07T12:36:30.862000+02:00,1020
2026-07-07T12:36:30.912000+02:00,1000
2026-07-07T12:36:30.962000+02:00,990
2026-07-07T12:36:31.012000+02:00,1080
2026-07-07T12:36:31.062000+02:00,1060
2026-07-07T12:36:31.112000+02:00,1100
2026-07-07T12:36:31.162000+02:00,1250
2026-07-07T12:36:31.212000+02:00,1270
2026-07-07T12:36:31.263000+02:00,1230
2026-07-07T12:36:31.313000+02:00,970
2026-07-07T12:36:31.363000+02:00,1170
2026-07-07T12:36:31.413000+02:00,930
2026-07-07T12:36:31.463000+02:00,1080
2026-07-07T12:36:31.513000+02:00,920
2026-07-07T12:36:31.563000+02:00,1010
2026-07-07T12:36:31.613000+02:00,980
2026-07-07T12:36:31.663000+02:00,960
2026-07-07T12:36:31.713000+02:00,1030
2026-07-07T12:36:31.763000+02:00,970
2026-07-07T12:36:31.813000+02:00,1040
2026-07-07T12:36:31.863000+02:00,1010
2026-07-07T12:36:31.917000+02:00,1040
2026-07-07T12:36:31.963000+02:00,990
2026-07-07T12:36:32.017000+02:00,940
2026-07-07T12:36:32.064000+02:00,980
2026-07-07T12:36:32.117000+02:00,1040
2026-07-07T12:36:32.164000+02:00,1320
2026-07-07T12:36:32.217000+02:00,990
2026-07-07T12:36:32.264000+02:00,900
2026-07-07T12:36:32.317000+02:00,870
2026-07-07T12:36:32.364000+02:00,890
2026-07-07T12:36:32.417000+02:00,880
2026-07-07T12:36:32.464000+02:00,860
2026-07-07T12:36:32.517000+02:00,890
2026-07-07T12:36:32.565000+02:00,1150
2026-07-07T12:36:32.617000+02:00,820
2026-07-07T12:36:32.665000+02:00,850
2026-07-07T12:36:32.717000+02:00,830
2026-07-07T12:36:32.765000+02:00,930
2026-07-07T12:36:32.817000+02:00,940
2026-07-07T12:36:32.865000+02:00,1200
2026-07-07T12:36:32.918000+02:00,1240
2026-07-07T12:36:32.965000+02:00,1040
2026-07-07T12:36:33.017000+02:00,910
2026-07-07T12:36:33.065000+02:00,830
2026-07-07T12:36:33.117000+02:00,910
2026-07-07T12:36:33.166000+02:00,870
2026-07-07T12:36:33.217000+02:00,900
2026-07-07T12:36:33.266000+02:00,910
2026-07-07T12:36:33.317000+02:00,850
2026-07-07T12:36:33.366000+02:00,870
2026-07-07T12:36:33.417000+02:00,880
2026-07-07T12:36:33.466000+02:00,850
2026-07-07T12:36:33.517000+02:00,840
2026-07-07T12:36:33.566000+02:00,830
2026-07-07T12:36:33.617000+02:00,840
2026-07-07T12:36:33.667000+02:00,870
2026-07-07T12:36:33.717000+02:00,830
2026-07-07T12:36:33.767000+02:00,890
2026-07-07T12:36:33.817000+02:00,850
