ts,rail,value
2089373000000,power.rails.tpu,19138885.0
2089373000000,power.rails.tpu,19138885.0
2089373000000,power.rails.modem,22859331.0
2089373000000,power.rails.modem,22859331.0
2089373000000,power.rails.radio.frontend,0.0
2089373000000,power.rails.radio.frontend,0.0
2089373000000,power.rails.cpu.big,114747136.0
2089373000000,power.rails.cpu.big,114747136.0
2089373000000,power.rails.cpu.mid,85731516.0
2089373000000,power.rails.cpu.mid,85731516.0
2089373000000,power.rails.cpu.little,151223582.0
2089373000000,power.rails.cpu.little,151223582.0
2089373000000,power.rails.system.fabric,63502352.0
2089373000000,power.rails.system.fabric,63502352.0
2089373000000,power.rails.memory.interface,80860842.0
2089373000000,power.rails.memory.interface,80860842.0
2089374000000,power.rails.wifi.bt,129729057.0
2089374000000,power.rails.wifi.bt,129729057.0
2089374000000,power.rails.aoc.memory,6745298.0
2089374000000,power.rails.aoc.memory,6745298.0
2089374000000,power.rails.aoc.logic,26325574.0
2089374000000,power.rails.aoc.logic,26325574.0
2089374000000,power.rails.ddr.a,17716517.0
2089374000000,power.rails.ddr.a,17716517.0
2089374000000,power.rails.ddr.b,34040362.0
2089374000000,power.rails.ddr.b,34040362.0
2089374000000,power.rails.ddr.c,66863152.0
2089374000000,power.rails.ddr.c,66863152.0
2089374000000,power.rails.gpu,16599293.0
2089374000000,power.rails.gpu,16599293.0
2089374000000,power.rails.display,674334824.0
2089374000000,power.rails.display,674334824.0
2090005000000,power.rails.tpu,19144632.0
2090005000000,power.rails.modem,22864327.0
2090005000000,power.rails.radio.frontend,0.0
2090005000000,power.rails.cpu.big,114753838.0
2090005000000,power.rails.cpu.mid,85739146.0
2090005000000,power.rails.cpu.little,151238893.0
2090005000000,power.rails.system.fabric,63521439.0
2090005000000,power.rails.memory.interface,80875771.0
2090006000000,power.rails.wifi.bt,129758346.0
2090006000000,power.rails.aoc.memory,6747550.0
2090006000000,power.rails.aoc.logic,26334276.0
2090006000000,power.rails.ddr.a,17720228.0
2090006000000,power.rails.ddr.b,34050637.0
2090006000000,power.rails.ddr.c,66874765.0
2090006000000,power.rails.gpu,16600752.0
2090006000000,power.rails.display,674493120.0
2090506000000,power.rails.tpu,19149205.0
2090506000000,power.rails.modem,22866700.0
2090506000000,power.rails.radio.frontend,0.0
2090506000000,power.rails.cpu.big,114757907.0
2090506000000,power.rails.cpu.mid,85743584.0
2090506000000,power.rails.cpu.little,151247932.0
2090506000000,power.rails.system.fabric,63535210.0
2090506000000,power.rails.memory.interface,80884914.0
2090508000000,power.rails.wifi.bt,129760306.0
2090508000000,power.rails.aoc.memory,6749360.0
2090508000000,power.rails.aoc.logic,26340269.0
2090508000000,power.rails.ddr.a,17724697.0
2090508000000,power.rails.ddr.b,34058758.0
2090508000000,power.rails.ddr.c,66885400.0
2090508000000,power.rails.gpu,16601672.0
2090508000000,power.rails.display,674633759.0
2091007000000,power.rails.tpu,19153667.0
2091007000000,power.rails.modem,22868929.0
2091007000000,power.rails.radio.frontend,0.0
2091007000000,power.rails.cpu.big,114762352.0
2091007000000,power.rails.cpu.mid,85749553.0
2091007000000,power.rails.cpu.little,151258146.0
2091007000000,power.rails.system.fabric,63550113.0
2091007000000,power.rails.memory.interface,80895037.0
2091009000000,power.rails.wifi.bt,129777822.0
2091009000000,power.rails.aoc.memory,6750988.0
2091009000000,power.rails.aoc.logic,26347263.0
2091009000000,power.rails.ddr.a,17728445.0
2091009000000,power.rails.ddr.b,34066952.0
2091009000000,power.rails.ddr.c,66895746.0
2091009000000,power.rails.gpu,16602566.0
2091009000000,power.rails.display,674776549.0
2091503000000,power.rails.tpu,19158392.0
2091503000000,power.rails.modem,22873162.0
2091503000000,power.rails.radio.frontend,0.0
2091503000000,power.rails.cpu.big,114810294.0
2091503000000,power.rails.cpu.mid,85801228.0
2091503000000,power.rails.cpu.little,151331999.0
2091503000000,power.rails.system.fabric,63566879.0
2091503000000,power.rails.memory.interface,80934170.0
2091505000000,power.rails.wifi.bt,129847885.0
2091505000000,power.rails.aoc.memory,6752643.0
2091505000000,power.rails.aoc.logic,26356451.0
2091505000000,power.rails.ddr.a,17737182.0
2091505000000,power.rails.ddr.b,34075066.0
2091505000000,power.rails.ddr.c,66933776.0
2091505000000,power.rails.gpu,16615259.0
2091505000000,power.rails.display,674918775.0
2092002000000,power.rails.tpu,19163858.0
2092002000000,power.rails.modem,22878333.0
2092002000000,power.rails.radio.frontend,0.0
2092002000000,power.rails.cpu.big,115152573.0
2092002000000,power.rails.cpu.mid,85896181.0
2092002000000,power.rails.cpu.little,151514009.0
2092002000000,power.rails.system.fabric,63588917.0
2092002000000,power.rails.memory.interface,81038987.0
2092003000000,power.rails.wifi.bt,130009228.0
2092003000000,power.rails.aoc.memory,6754310.0
2092003000000,power.rails.aoc.logic,26362083.0
2092003000000,power.rails.ddr.a,17756401.0
2092003000000,power.rails.ddr.b,34083249.0
2092003000000,power.rails.ddr.c,67011645.0
2092003000000,power.rails.gpu,16642683.0
2092003000000,power.rails.display,675178335.0
2092505000000,power.rails.tpu,19168440.0
2092505000000,power.rails.modem,22882667.0
2092505000000,power.rails.radio.frontend,0.0
2092505000000,power.rails.cpu.big,115216560.0
2092505000000,power.rails.cpu.mid,85909554.0
2092505000000,power.rails.cpu.little,151546622.0
2092505000000,power.rails.system.fabric,63604957.0
2092505000000,power.rails.memory.interface,81063127.0
2092507000000,power.rails.wifi.bt,130041252.0
2092507000000,power.rails.aoc.memory,6755971.0
2092507000000,power.rails.aoc.logic,26369171.0
2092507000000,power.rails.ddr.a,17762081.0
2092507000000,power.rails.ddr.b,34091463.0
2092507000000,power.rails.ddr.c,67032059.0
2092507000000,power.rails.gpu,16644742.0
2092507000000,power.rails.display,675329066.0
2093009000000,power.rails.tpu,19173122.0
2093009000000,power.rails.modem,22886902.0
2093009000000,power.rails.radio.frontend,0.0
2093009000000,power.rails.cpu.big,115220978.0
2093009000000,power.rails.cpu.mid,85917238.0
2093009000000,power.rails.cpu.little,151557066.0
2093009000000,power.rails.system.fabric,63620123.0
2093009000000,power.rails.memory.interface,81073702.0
2093011000000,power.rails.wifi.bt,130052415.0
2093011000000,power.rails.aoc.memory,6757598.0
2093011000000,power.rails.aoc.logic,26375792.0
2093011000000,power.rails.ddr.a,17766464.0
2093011000000,power.rails.ddr.b,34099650.0
2093011000000,power.rails.ddr.c,67041095.0
2093011000000,power.rails.gpu,16645639.0
2093011000000,power.rails.display,675471086.0
2093508000000,power.rails.tpu,19177593.0
2093508000000,power.rails.modem,22889898.0
2093508000000,power.rails.radio.frontend,0.0
2093508000000,power.rails.cpu.big,115223734.0
2093508000000,power.rails.cpu.mid,85921892.0
2093508000000,power.rails.cpu.little,151564722.0
2093508000000,power.rails.system.fabric,63634375.0
2093508000000,power.rails.memory.interface,81081151.0
2093510000000,power.rails.wifi.bt,130084638.0
2093510000000,power.rails.aoc.memory,6759255.0
2093510000000,power.rails.aoc.logic,26382359.0
2093510000000,power.rails.ddr.a,17768806.0
2093510000000,power.rails.ddr.b,34107775.0
2093510000000,power.rails.ddr.c,67047701.0
2093510000000,power.rails.gpu,16646502.0
2093510000000,power.rails.display,675612773.0
2094004000000,power.rails.tpu,19182054.0
2094004000000,power.rails.modem,22893137.0
2094004000000,power.rails.radio.frontend,0.0
2094004000000,power.rails.cpu.big,115227831.0
2094004000000,power.rails.cpu.mid,85927137.0
2094004000000,power.rails.cpu.little,151579338.0
2094004000000,power.rails.system.fabric,63649049.0
2094004000000,power.rails.memory.interface,81090632.0
2094006000000,power.rails.wifi.bt,130091379.0
2094006000000,power.rails.aoc.memory,6760757.0
2094006000000,power.rails.aoc.logic,26388228.0
2094006000000,power.rails.ddr.a,17771289.0
2094006000000,power.rails.ddr.b,34115818.0
2094006000000,power.rails.ddr.c,67055558.0
2094006000000,power.rails.gpu,16648487.0
2094006000000,power.rails.display,675738890.0
2094507000000,power.rails.tpu,19186576.0
2094507000000,power.rails.modem,22894963.0
2094507000000,power.rails.radio.frontend,0.0
2094507000000,power.rails.cpu.big,115230232.0
2094507000000,power.rails.cpu.mid,85931403.0
2094507000000,power.rails.cpu.little,151586575.0
2094507000000,power.rails.system.fabric,63662536.0
2094507000000,power.rails.memory.interface,81098150.0
2094510000000,power.rails.wifi.bt,130109011.0
2094510000000,power.rails.aoc.memory,6762383.0
2094510000000,power.rails.aoc.logic,26394506.0
2094510000000,power.rails.ddr.a,17773692.0
2094510000000,power.rails.ddr.b,34123965.0
2094510000000,power.rails.ddr.c,67062014.0
2094510000000,power.rails.gpu,16649371.0
2094510000000,power.rails.display,675870846.0
2095006000000,power.rails.tpu,19191004.0
2095006000000,power.rails.modem,22898214.0
2095006000000,power.rails.radio.frontend,0.0
2095006000000,power.rails.cpu.big,115232459.0
2095006000000,power.rails.cpu.mid,85935737.0
2095006000000,power.rails.cpu.little,151593360.0
2095006000000,power.rails.system.fabric,63676460.0
2095006000000,power.rails.memory.interface,81104934.0
2095009000000,power.rails.wifi.bt,130117856.0
2095009000000,power.rails.aoc.memory,6763846.0
2095009000000,power.rails.aoc.logic,26400005.0
2095009000000,power.rails.ddr.a,17776006.0
2095009000000,power.rails.ddr.b,34132031.0
2095009000000,power.rails.ddr.c,67068599.0
2095009000000,power.rails.gpu,16650259.0
2095009000000,power.rails.display,675991827.0
2095503000000,power.rails.tpu,19195397.0
2095503000000,power.rails.modem,22900773.0
2095503000000,power.rails.radio.frontend,0.0
2095503000000,power.rails.cpu.big,115234823.0
2095503000000,power.rails.cpu.mid,85945082.0
2095503000000,power.rails.cpu.little,151609445.0
2095503000000,power.rails.system.fabric,63690575.0
2095503000000,power.rails.memory.interface,81114862.0
2095504000000,power.rails.wifi.bt,130131045.0
2095504000000,power.rails.aoc.memory,6765381.0
2095504000000,power.rails.aoc.logic,26405916.0
