ts,rail,value
8338744000000,power.rails.tpu,108256633.0
8338744000000,power.rails.modem,76170201.0
8338744000000,power.rails.radio.frontend,0.0
8338744000000,power.rails.cpu.big,381682440.0
8338744000000,power.rails.cpu.mid,234686665.0
8338744000000,power.rails.cpu.little,469229835.0
8338744000000,power.rails.system.fabric,265506440.0
8338744000000,power.rails.memory.interface,280706609.0
8338746000000,power.rails.wifi.bt,725940598.0
8338746000000,power.rails.aoc.memory,28466013.0
8338746000000,power.rails.aoc.logic,125993296.0
8338746000000,power.rails.ddr.a,78662440.0
8338746000000,power.rails.ddr.b,148697562.0
8338746000000,power.rails.ddr.c,228085978.0
8338746000000,power.rails.gpu,46964239.0
8338746000000,power.rails.display,3226753624.0
8339001000000,power.rails.tpu,108260056.0
8339001000000,power.rails.modem,76174832.0
8339001000000,power.rails.radio.frontend,0.0
8339001000000,power.rails.cpu.big,381702468.0
8339001000000,power.rails.cpu.mid,234717356.0
8339001000000,power.rails.cpu.little,469284130.0
8339001000000,power.rails.system.fabric,265516481.0
8339001000000,power.rails.memory.interface,280726572.0
8339002000000,power.rails.wifi.bt,726002934.0
8339002000000,power.rails.aoc.memory,28466801.0
8339002000000,power.rails.aoc.logic,125996355.0
8339002000000,power.rails.ddr.a,78666233.0
8339002000000,power.rails.ddr.b,148702142.0
8339002000000,power.rails.ddr.c,228097708.0
8339002000000,power.rails.gpu,46965390.0
8339002000000,power.rails.display,3226799049.0
8339504000000,power.rails.tpu,108266525.0
8339504000000,power.rails.modem,76179941.0
8339504000000,power.rails.radio.frontend,0.0
8339504000000,power.rails.cpu.big,381710667.0
8339504000000,power.rails.cpu.mid,234736785.0
8339504000000,power.rails.cpu.little,469306579.0
8339504000000,power.rails.system.fabric,265531833.0
8339504000000,power.rails.memory.interface,280740684.0
8339506000000,power.rails.wifi.bt,726029252.0
8339506000000,power.rails.aoc.memory,28468382.0
8339506000000,power.rails.aoc.logic,126004188.0
8339506000000,power.rails.ddr.a,78673033.0
8339506000000,power.rails.ddr.b,148711140.0
8339506000000,power.rails.ddr.c,228112801.0
8339506000000,power.rails.gpu,46966421.0
8339506000000,power.rails.display,3226890826.0
8340009000000,power.rails.tpu,108273036.0
8340009000000,power.rails.modem,76184056.0
8340009000000,power.rails.radio.frontend,0.0
8340009000000,power.rails.cpu.big,381719610.0
8340009000000,power.rails.cpu.mid,234744500.0
8340009000000,power.rails.cpu.little,469323116.0
8340009000000,power.rails.system.fabric,265547688.0
8340009000000,power.rails.memory.interface,280751025.0
8340010000000,power.rails.wifi.bt,726057795.0
8340010000000,power.rails.aoc.memory,28469907.0
8340010000000,power.rails.aoc.logic,126011722.0
8340010000000,power.rails.ddr.a,78678117.0
8340010000000,power.rails.ddr.b,148720122.0
8340010000000,power.rails.ddr.c,228121807.0
8340010000000,power.rails.gpu,46967723.0
8340010000000,power.rails.display,3226978460.0
8340506000000,power.rails.tpu,108279375.0
8340506000000,power.rails.modem,76187687.0
8340506000000,power.rails.radio.frontend,0.0
8340506000000,power.rails.cpu.big,381723130.0
8340506000000,power.rails.cpu.mid,234750025.0
8340506000000,power.rails.cpu.little,469333700.0
8340506000000,power.rails.system.fabric,265562700.0
8340506000000,power.rails.memory.interface,280760599.0
8340508000000,power.rails.wifi.bt,726069441.0
8340508000000,power.rails.aoc.memory,28471507.0
8340508000000,power.rails.aoc.logic,126018934.0
8340508000000,power.rails.ddr.a,78681485.0
8340508000000,power.rails.ddr.b,148729032.0
8340508000000,power.rails.ddr.c,228129970.0
8340508000000,power.rails.gpu,46968689.0
8340508000000,power.rails.display,3227067619.0
8341003000000,power.rails.tpu,108285882.0
8341003000000,power.rails.modem,76190997.0
8341003000000,power.rails.radio.frontend,0.0
8341003000000,power.rails.cpu.big,381747584.0
8341003000000,power.rails.cpu.mid,234783654.0
8341003000000,power.rails.cpu.little,469398792.0
8341003000000,power.rails.system.fabric,265580090.0
8341003000000,power.rails.memory.interface,280794219.0
8341004000000,power.rails.wifi.bt,726127714.0
8341004000000,power.rails.aoc.memory,28473320.0
8341004000000,power.rails.aoc.logic,126025873.0
8341004000000,power.rails.ddr.a,78689912.0
8341004000000,power.rails.ddr.b,148737920.0
8341004000000,power.rails.ddr.c,228162567.0
8341004000000,power.rails.gpu,46970460.0
8341004000000,power.rails.display,3227159226.0
8341502000000,power.rails.tpu,108292478.0
8341502000000,power.rails.modem,76197133.0
8341502000000,power.rails.radio.frontend,0.0
8341502000000,power.rails.cpu.big,381794286.0
8341502000000,power.rails.cpu.mid,234808480.0
8341502000000,power.rails.cpu.little,469465299.0
8341502000000,power.rails.system.fabric,265599007.0
8341502000000,power.rails.memory.interface,280828209.0
8341505000000,power.rails.wifi.bt,726237237.0
8341505000000,power.rails.aoc.memory,28475002.0
8341505000000,power.rails.aoc.logic,126033929.0
8341505000000,power.rails.ddr.a,78697633.0
8341505000000,power.rails.ddr.b,148746824.0
8341505000000,power.rails.ddr.c,228188176.0
8341505000000,power.rails.gpu,46982940.0
8341505000000,power.rails.display,3227258633.0
8342006000000,power.rails.tpu,108299178.0
8342006000000,power.rails.modem,76202657.0
8342006000000,power.rails.radio.frontend,0.0
8342006000000,power.rails.cpu.big,381840538.0
8342006000000,power.rails.cpu.mid,234837252.0
8342006000000,power.rails.cpu.little,469540657.0
8342006000000,power.rails.system.fabric,265618132.0
8342006000000,power.rails.memory.interface,280861878.0
8342009000000,power.rails.wifi.bt,726309766.0
8342009000000,power.rails.aoc.memory,28476949.0
8342009000000,power.rails.aoc.logic,126041640.0
8342009000000,power.rails.ddr.a,78704288.0
8342009000000,power.rails.ddr.b,148755860.0
8342009000000,power.rails.ddr.c,228217867.0
8342009000000,power.rails.gpu,46986404.0
8342009000000,power.rails.display,3227364836.0
8342503000000,power.rails.tpu,108305715.0
8342503000000,power.rails.modem,76209034.0
8342503000000,power.rails.radio.frontend,0.0
8342503000000,power.rails.cpu.big,381919103.0
8342503000000,power.rails.cpu.mid,234872577.0
8342503000000,power.rails.cpu.little,469605911.0
8342503000000,power.rails.system.fabric,265636802.0
8342503000000,power.rails.memory.interface,280895605.0
8342504000000,power.rails.wifi.bt,726443293.0
