measurement_timestamp,measurment_value
2026-07-02T18:51:50.524000+02:00,700
2026-07-02T18:51:50.574000+02:00,790
2026-07-02T18:51:50.624000+02:00,710
2026-07-02T18:51:50.674000+02:00,780
2026-07-02T18:51:50.724000+02:00,840
2026-07-02T18:51:50.774000+02:00,750
2026-07-02T18:51:50.824000+02:00,730
2026-07-02T18:51:50.874000+02:00,1270
2026-07-02T18:51:50.924000+02:00,1130
2026-07-02T18:51:50.975000+02:00,1570
2026-07-02T18:51:51.025000+02:00,1320
2026-07-02T18:51:51.075000+02:00,1140
2026-07-02T18:51:51.125000+02:00,870
2026-07-02T18:51:51.175000+02:00,870
2026-07-02T18:51:51.225000+02:00,720
2026-07-02T18:51:51.275000+02:00,950
2026-07-02T18:51:51.325000+02:00,990
2026-07-02T18:51:51.375000+02:00,1030
2026-07-02T18:51:51.425000+02:00,810
2026-07-02T18:51:51.475000+02:00,820
2026-07-02T18:51:51.526000+02:00,760
2026-07-02T18:51:51.576000+02:00,840
2026-07-02T18:51:51.626000+02:00,850
2026-07-02T18:51:51.676000+02:00,780
2026-07-02T18:51:51.726000+02:00,780
2026-07-02T18:51:51.776000+02:00,840
2026-07-02T18:51:51.826000+02:00,810
2026-07-02T18:51:51.876000+02:00,840
2026-07-02T18:51:51.926000+02:00,750
2026-07-02T18:51:51.976000+02:00,790
2026-07-02T18:51:52.026000+02:00,770
2026-07-02T18:51:52.076000+02:00,820
2026-07-02T18:51:52.126000+02:00,1000
2026-07-02T18:51:52.176000+02:00,790
2026-07-02T18:51:52.226000+02:00,840
2026-07-02T18:51:52.277000+02:00,790
2026-07-02T18:51:52.327000+02:00,780
2026-07-02T18:51:52.377000+02:00,810
2026-07-02T18:51:52.427000+02:00,840
2026-07-02T18:51:52.477000+02:00,860
2026-07-02T18:51:52.527000+02:00,830
2026-07-02T18:51:52.577000+02:00,720
2026-07-02T18:51:52.627000+02:00,890
2026-07-02T18:51:52.677000+02:00,760
2026-07-02T18:51:52.727000+02:00,760
2026-07-02T18:51:52.777000+02:00,800
2026-07-02T18:51:52.828000+02:00,840
2026-07-02T18:51:52.878000+02:00,700
2026-07-02T18:51:52.928000+02:00,1200
2026-07-02T18:51:52.978000+02:00,3270
2026-07-02T18:51:53.028000+02:00,2290
2026-07-02T18:51:53.078000+02:00,4590
2026-07-02T18:51:53.128000+02:00,2260
2026-07-02T18:51:53.178000+02:00,1240
2026-07-02T18:51:53.232000+02:00,1170
2026-07-02T18:51:53.278000+02:00,1100
2026-07-02T18:51:53.331000+02:00,990
2026-07-02T18:51:53.378000+02:00,970
2026-07-02T18:51:53.432000+02:00,1850
2026-07-02T18:51:53.478000+02:00,1830
2026-07-02T18:51:53.532000+02:00,1660
2026-07-02T18:51:53.579000+02:00,1770
2026-07-02T18:51:53.632000+02:00,1830
2026-07-02T18:51:53.679000+02:00,2110
2026-07-02T18:51:53.732000+02:00,2530
2026-07-02T18:51:53.779000+02:00,1170
2026-07-02T18:51:53.832000+02:00,1470
2026-07-02T18:51:53.879000+02:00,3240
2026-07-02T18:51:53.932000+02:00,3750
2026-07-02T18:51:53.979000+02:00,2940
2026-07-02T18:51:54.032000+02:00,5350
2026-07-02T18:51:54.080000+02:00,5520
2026-07-02T18:51:54.132000+02:00,4550
2026-07-02T18:51:54.180000+02:00,2150
2026-07-02T18:51:54.232000+02:00,3420
2026-07-02T18:51:54.280000+02:00,1860
2026-07-02T18:51:54.332000+02:00,2270
2026-07-02T18:51:54.380000+02:00,2160
2026-07-02T18:51:54.432000+02:00,1840
2026-07-02T18:51:54.480000+02:00,3140
2026-07-02T18:51:54.532000+02:00,3080
2026-07-02T18:51:54.580000+02:00,4630
2026-07-02T18:51:54.632000+02:00,4030
2026-07-02T18:51:54.680000+02:00,4630
2026-07-02T18:51:54.732000+02:00,6470
2026-07-02T18:51:54.781000+02:00,5610
2026-07-02T18:51:54.832000+02:00,6200
2026-07-02T18:51:54.881000+02:00,5770
2026-07-02T18:51:54.931000+02:00,6640
2026-07-02T18:51:54.981000+02:00,3860
2026-07-02T18:51:55.032000+02:00,3190
2026-07-02T18:51:55.081000+02:00,2850
2026-07-02T18:51:55.131000+02:00,1280
2026-07-02T18:51:55.181000+02:00,1380
2026-07-02T18:51:55.231000+02:00,1100
2026-07-02T18:51:55.282000+02:00,1070
2026-07-02T18:51:55.332000+02:00,1240
2026-07-02T18:51:55.382000+02:00,1830
2026-07-02T18:51:55.432000+02:00,1120
2026-07-02T18:51:55.482000+02:00,1000
2026-07-02T18:51:55.532000+02:00,1560
2026-07-02T18:51:55.582000+02:00,1080
2026-07-02T18:51:55.632000+02:00,890
2026-07-02T18:51:55.682000+02:00,1010
2026-07-02T18:51:55.732000+02:00,910
2026-07-02T18:51:55.782000+02:00,960
