ts,rail,value
9466966000000,power.rails.tpu,122979313.0
9466966000000,power.rails.tpu,122979313.0
9466966000000,power.rails.modem,84891368.0
9466966000000,power.rails.modem,84891368.0
9466966000000,power.rails.radio.frontend,0.0
9466966000000,power.rails.radio.frontend,0.0
9466966000000,power.rails.cpu.big,467355762.0
9466966000000,power.rails.cpu.big,467355762.0
9466966000000,power.rails.cpu.mid,272652049.0
9466966000000,power.rails.cpu.mid,272652049.0
9466966000000,power.rails.cpu.little,541958521.0
9466966000000,power.rails.cpu.little,541958521.0
9466966000000,power.rails.system.fabric,301310501.0
9466966000000,power.rails.system.fabric,301310501.0
9466966000000,power.rails.memory.interface,325220859.0
9466966000000,power.rails.memory.interface,325220859.0
9466968000000,power.rails.wifi.bt,827459380.0
9466968000000,power.rails.wifi.bt,827459380.0
9466968000000,power.rails.aoc.memory,32141611.0
9466968000000,power.rails.aoc.memory,32141611.0
9466968000000,power.rails.aoc.logic,142700900.0
9466968000000,power.rails.aoc.logic,142700900.0
9466968000000,power.rails.ddr.a,90492650.0
9466968000000,power.rails.ddr.a,90492650.0
9466968000000,power.rails.ddr.b,168814221.0
9466968000000,power.rails.ddr.b,168814221.0
9466968000000,power.rails.ddr.c,264471179.0
9466968000000,power.rails.ddr.c,264471179.0
9466968000000,power.rails.gpu,53931063.0
9466968000000,power.rails.gpu,53931063.0
9466968000000,power.rails.display,3441790992.0
9466968000000,power.rails.display,3441790992.0
9467503000000,power.rails.tpu,122986259.0
9467503000000,power.rails.modem,84894590.0
9467503000000,power.rails.radio.frontend,0.0
9467503000000,power.rails.cpu.big,467359642.0
9467503000000,power.rails.cpu.mid,272657906.0
9467503000000,power.rails.cpu.little,541967746.0
9467503000000,power.rails.system.fabric,301326494.0
9467503000000,power.rails.memory.interface,325231575.0
9467505000000,power.rails.wifi.bt,827477385.0
9467505000000,power.rails.aoc.memory,32143403.0
9467505000000,power.rails.aoc.logic,142709330.0
9467505000000,power.rails.ddr.a,90497260.0
9467505000000,power.rails.ddr.b,168823773.0
9467505000000,power.rails.ddr.c,264480548.0
9467505000000,power.rails.gpu,53932072.0
9467505000000,power.rails.display,3441889730.0
9468005000000,power.rails.tpu,122992782.0
9468005000000,power.rails.modem,84896556.0
9468005000000,power.rails.radio.frontend,0.0
9468005000000,power.rails.cpu.big,467361928.0
9468005000000,power.rails.cpu.mid,272662587.0
9468005000000,power.rails.cpu.little,541974605.0
9468005000000,power.rails.system.fabric,301340742.0
9468005000000,power.rails.memory.interface,325238357.0
9468008000000,power.rails.wifi.bt,827477914.0
9468008000000,power.rails.aoc.memory,32145464.0
9468008000000,power.rails.aoc.logic,142718014.0
9468008000000,power.rails.ddr.a,90500490.0
9468008000000,power.rails.ddr.b,168832746.0
9468008000000,power.rails.ddr.c,264486734.0
9468008000000,power.rails.gpu,53933034.0
9468008000000,power.rails.display,3441981708.0
9468506000000,power.rails.tpu,122999337.0
9468506000000,power.rails.modem,84900118.0
9468506000000,power.rails.radio.frontend,0.0
9468506000000,power.rails.cpu.big,467364946.0
9468506000000,power.rails.cpu.mid,272666848.0
9468506000000,power.rails.cpu.little,541981308.0
9468506000000,power.rails.system.fabric,301354973.0
9468506000000,power.rails.memory.interface,325244867.0
9468508000000,power.rails.wifi.bt,827488215.0
9468508000000,power.rails.aoc.memory,32147016.0
9468508000000,power.rails.aoc.logic,142726059.0
9468508000000,power.rails.ddr.a,90503751.0
9468508000000,power.rails.ddr.b,168841650.0
9468508000000,power.rails.ddr.c,264493120.0
9468508000000,power.rails.gpu,53933993.0
9468508000000,power.rails.display,3442078939.0
9469002000000,power.rails.tpu,123005944.0
9469002000000,power.rails.modem,84903002.0
9469002000000,power.rails.radio.frontend,0.0
9469002000000,power.rails.cpu.big,467415613.0
9469002000000,power.rails.cpu.mid,272689682.0
9469002000000,power.rails.cpu.little,542042656.0
9469002000000,power.rails.system.fabric,301371388.0
