measurement_timestamp,measurment_value
2026-07-04T13:29:37.687000+02:00,2440
2026-07-04T13:29:37.737000+02:00,2130
2026-07-04T13:29:37.787000+02:00,2250
2026-07-04T13:29:37.837000+02:00,2280
2026-07-04T13:29:37.887000+02:00,2520
2026-07-04T13:29:37.937000+02:00,2620
2026-07-04T13:29:37.988000+02:00,3090
2026-07-04T13:29:38.038000+02:00,3540
2026-07-04T13:29:38.087000+02:00,2240
2026-07-04T13:29:38.138000+02:00,2390
2026-07-04T13:29:38.188000+02:00,2100
2026-07-04T13:29:38.238000+02:00,2280
2026-07-04T13:29:38.288000+02:00,2260
2026-07-04T13:29:38.338000+02:00,2360
2026-07-04T13:29:38.388000+02:00,2470
2026-07-04T13:29:38.438000+02:00,2350
2026-07-04T13:29:38.488000+02:00,1890
2026-07-04T13:29:38.538000+02:00,2390
2026-07-04T13:29:38.588000+02:00,1930
2026-07-04T13:29:38.638000+02:00,2540
2026-07-04T13:29:38.688000+02:00,1980
2026-07-04T13:29:38.738000+02:00,2000
2026-07-04T13:29:38.788000+02:00,2120
2026-07-04T13:29:38.839000+02:00,2640
2026-07-04T13:29:38.889000+02:00,2450
2026-07-04T13:29:38.939000+02:00,2120
2026-07-04T13:29:38.989000+02:00,1910
2026-07-04T13:29:39.039000+02:00,2550
2026-07-04T13:29:39.089000+02:00,2470
2026-07-04T13:29:39.139000+02:00,2370
2026-07-04T13:29:39.189000+02:00,2140
2026-07-04T13:29:39.239000+02:00,2410
2026-07-04T13:29:39.289000+02:00,2090
2026-07-04T13:29:39.339000+02:00,2330
2026-07-04T13:29:39.393000+02:00,2400
2026-07-04T13:29:39.440000+02:00,2330
2026-07-04T13:29:39.493000+02:00,2210
2026-07-04T13:29:39.539000+02:00,2360
2026-07-04T13:29:39.593000+02:00,2270
2026-07-04T13:29:39.640000+02:00,2470
2026-07-04T13:29:39.693000+02:00,2040
2026-07-04T13:29:39.740000+02:00,1970
2026-07-04T13:29:39.793000+02:00,2610
2026-07-04T13:29:39.840000+02:00,2540
2026-07-04T13:29:39.893000+02:00,2430
2026-07-04T13:29:39.940000+02:00,2320
2026-07-04T13:29:39.993000+02:00,3650
2026-07-04T13:29:40.040000+02:00,4320
2026-07-04T13:29:40.093000+02:00,3510
2026-07-04T13:29:40.140000+02:00,3070
2026-07-04T13:29:40.193000+02:00,2590
2026-07-04T13:29:40.241000+02:00,2390
2026-07-04T13:29:40.293000+02:00,2670
2026-07-04T13:29:40.341000+02:00,2540
2026-07-04T13:29:40.393000+02:00,3010
2026-07-04T13:29:40.441000+02:00,3510
2026-07-04T13:29:40.493000+02:00,6130
2026-07-04T13:29:40.541000+02:00,7930
2026-07-04T13:29:40.593000+02:00,2020
2026-07-04T13:29:40.641000+02:00,2240
2026-07-04T13:29:40.693000+02:00,2150
2026-07-04T13:29:40.741000+02:00,1990
2026-07-04T13:29:40.792000+02:00,1900
2026-07-04T13:29:40.841000+02:00,1970
2026-07-04T13:29:40.892000+02:00,1610
2026-07-04T13:29:40.942000+02:00,2850
2026-07-04T13:29:40.992000+02:00,2970
2026-07-04T13:29:41.042000+02:00,2820
2026-07-04T13:29:41.093000+02:00,10070
2026-07-04T13:29:41.142000+02:00,7950
2026-07-04T13:29:41.192000+02:00,2150
2026-07-04T13:29:41.242000+02:00,1530
2026-07-04T13:29:41.292000+02:00,2300
2026-07-04T13:29:41.342000+02:00,3270
2026-07-04T13:29:41.392000+02:00,5800
2026-07-04T13:29:41.442000+02:00,6070
2026-07-04T13:29:41.493000+02:00,5450
2026-07-04T13:29:41.543000+02:00,5500
2026-07-04T13:29:41.593000+02:00,5120
2026-07-04T13:29:41.643000+02:00,3640
2026-07-04T13:29:41.693000+02:00,2740
2026-07-04T13:29:41.743000+02:00,2830
2026-07-04T13:29:41.793000+02:00,4690
2026-07-04T13:29:41.843000+02:00,3740
2026-07-04T13:29:41.893000+02:00,4310
2026-07-04T13:29:41.943000+02:00,4010
2026-07-04T13:29:41.993000+02:00,3660
2026-07-04T13:29:42.043000+02:00,3110
2026-07-04T13:29:42.093000+02:00,3070
2026-07-04T13:29:42.143000+02:00,3260
2026-07-04T13:29:42.194000+02:00,2450
2026-07-04T13:29:42.244000+02:00,2570
2026-07-04T13:29:42.294000+02:00,4090
2026-07-04T13:29:42.344000+02:00,5250
2026-07-04T13:29:42.394000+02:00,2970
2026-07-04T13:29:42.444000+02:00,2990
2026-07-04T13:29:42.494000+02:00,3160
2026-07-04T13:29:42.544000+02:00,3910
2026-07-04T13:29:42.594000+02:00,3170
2026-07-04T13:29:42.644000+02:00,3810
2026-07-04T13:29:42.694000+02:00,5140
2026-07-04T13:29:42.744000+02:00,4870
2026-07-04T13:29:42.795000+02:00,5310
2026-07-04T13:29:42.845000+02:00,3510
2026-07-04T13:29:42.895000+02:00,4130
2026-07-04T13:29:42.945000+02:00,5140
2026-07-04T13:29:42.995000+02:00,6500
2026-07-04T13:29:43.045000+02:00,4190
2026-07-04T13:29:43.095000+02:00,6070
2026-07-04T13:29:43.145000+02:00,6460
2026-07-04T13:29:43.195000+02:00,5390
2026-07-04T13:29:43.245000+02:00,5130
2026-07-04T13:29:43.295000+02:00,4220
2026-07-04T13:29:43.346000+02:00,4160
2026-07-04T13:29:43.396000+02:00,3990
2026-07-04T13:29:43.446000+02:00,3680
2026-07-04T13:29:43.496000+02:00,4790
2026-07-04T13:29:43.547000+02:00,4990
2026-07-04T13:29:43.596000+02:00,4120
2026-07-04T13:29:43.646000+02:00,3530
2026-07-04T13:29:43.696000+02:00,3650
2026-07-04T13:29:43.746000+02:00,2650
2026-07-04T13:29:43.796000+02:00,2430
2026-07-04T13:29:43.847000+02:00,2310
2026-07-04T13:29:43.897000+02:00,2210
2026-07-04T13:29:43.951000+02:00,2120
2026-07-04T13:29:43.997000+02:00,2140
2026-07-04T13:29:44.050000+02:00,2160
2026-07-04T13:29:44.097000+02:00,1990
2026-07-04T13:29:44.150000+02:00,2120
2026-07-04T13:29:44.197000+02:00,2200
2026-07-04T13:29:44.250000+02:00,2340
2026-07-04T13:29:44.297000+02:00,4350
2026-07-04T13:29:44.350000+02:00,5310
2026-07-04T13:29:44.397000+02:00,4040
2026-07-04T13:29:44.450000+02:00,2490
2026-07-04T13:29:44.498000+02:00,2360
2026-07-04T13:29:44.550000+02:00,3120
2026-07-04T13:29:44.598000+02:00,2390
