ts,rail,value
809738000000,power.rails.tpu,10433419.0
809738000000,power.rails.modem,14491043.0
809738000000,power.rails.radio.frontend,0.0
809738000000,power.rails.cpu.big,81166994.0
809738000000,power.rails.cpu.mid,59555240.0
809738000000,power.rails.cpu.little,111870467.0
809738000000,power.rails.system.fabric,28037944.0
809738000000,power.rails.memory.interface,55681151.0
809740000000,power.rails.wifi.bt,60043045.0
809740000000,power.rails.aoc.memory,2758612.0
809740000000,power.rails.aoc.logic,13472274.0
809740000000,power.rails.ddr.a,11805965.0
809740000000,power.rails.ddr.b,14412644.0
809740000000,power.rails.ddr.c,47211275.0
809740000000,power.rails.gpu,13999528.0
809740000000,power.rails.display,209282641.0
810001000000,power.rails.tpu,10436890.0
810001000000,power.rails.modem,14495034.0
810001000000,power.rails.radio.frontend,0.0
810001000000,power.rails.cpu.big,81183558.0
810001000000,power.rails.cpu.mid,59567843.0
810001000000,power.rails.cpu.little,111934288.0
810001000000,power.rails.system.fabric,28050951.0
810001000000,power.rails.memory.interface,55712683.0
810003000000,power.rails.wifi.bt,60055889.0
810003000000,power.rails.aoc.memory,2759652.0
810003000000,power.rails.aoc.logic,13477361.0
810003000000,power.rails.ddr.a,11811262.0
810003000000,power.rails.ddr.b,14417446.0
810003000000,power.rails.ddr.c,47237840.0
810003000000,power.rails.gpu,14013017.0
810003000000,power.rails.display,209442614.0
810503000000,power.rails.tpu,10443479.0
810503000000,power.rails.modem,14502047.0
810503000000,power.rails.radio.frontend,0.0
810503000000,power.rails.cpu.big,81209957.0
810503000000,power.rails.cpu.mid,59589816.0
810503000000,power.rails.cpu.little,112026915.0
810503000000,power.rails.system.fabric,28074327.0
810503000000,power.rails.memory.interface,55761735.0
810504000000,power.rails.wifi.bt,60058209.0
810504000000,power.rails.aoc.memory,2761521.0
810504000000,power.rails.aoc.logic,13484922.0
810504000000,power.rails.ddr.a,11820409.0
810504000000,power.rails.ddr.b,14426408.0
810504000000,power.rails.ddr.c,47288547.0
810504000000,power.rails.gpu,14038402.0
810504000000,power.rails.display,209747220.0
811004000000,power.rails.tpu,10450051.0
811004000000,power.rails.modem,14508091.0
811004000000,power.rails.radio.frontend,0.0
811004000000,power.rails.cpu.big,81236427.0
811004000000,power.rails.cpu.mid,59612428.0
811004000000,power.rails.cpu.little,112125368.0
811004000000,power.rails.system.fabric,28097459.0
811004000000,power.rails.memory.interface,55810605.0
811006000000,power.rails.wifi.bt,60081047.0
811006000000,power.rails.aoc.memory,2763361.0
811006000000,power.rails.aoc.logic,13492283.0
811006000000,power.rails.ddr.a,11830187.0
811006000000,power.rails.ddr.b,14435416.0
811006000000,power.rails.ddr.c,47342407.0
811006000000,power.rails.gpu,14076907.0
811006000000,power.rails.display,210049412.0
811503000000,power.rails.tpu,10456634.0
811503000000,power.rails.modem,14514482.0
811503000000,power.rails.radio.frontend,0.0
811503000000,power.rails.cpu.big,81263721.0
811503000000,power.rails.cpu.mid,59634152.0
811503000000,power.rails.cpu.little,112235759.0
811503000000,power.rails.system.fabric,28121441.0
811503000000,power.rails.memory.interface,55860984.0
811505000000,power.rails.wifi.bt,60087539.0
811505000000,power.rails.aoc.memory,2765191.0
811505000000,power.rails.aoc.logic,13500075.0
811505000000,power.rails.ddr.a,11839736.0
811505000000,power.rails.ddr.b,14444407.0
811505000000,power.rails.ddr.c,47396179.0
811505000000,power.rails.gpu,14094769.0
811505000000,power.rails.display,210351031.0
812005000000,power.rails.tpu,10463389.0
812005000000,power.rails.modem,14521889.0
812005000000,power.rails.radio.frontend,0.0
812005000000,power.rails.cpu.big,81324999.0
812005000000,power.rails.cpu.mid,59679703.0
812005000000,power.rails.cpu.little,112399333.0
812005000000,power.rails.system.fabric,28145198.0
812005000000,power.rails.memory.interface,55931130.0
812006000000,power.rails.wifi.bt,60135956.0
812006000000,power.rails.aoc.memory,2767215.0
812006000000,power.rails.aoc.logic,13507706.0
812006000000,power.rails.ddr.a,11852210.0
812006000000,power.rails.ddr.b,14453335.0
812006000000,power.rails.ddr.c,47458089.0
812006000000,power.rails.gpu,14107968.0
812006000000,power.rails.display,210655047.0
812506000000,power.rails.tpu,10470115.0
812506000000,power.rails.modem,14527244.0
812506000000,power.rails.radio.frontend,0.0
812506000000,power.rails.cpu.big,81443072.0
812506000000,power.rails.cpu.mid,59734397.0
812506000000,power.rails.cpu.little,112554297.0
812506000000,power.rails.system.fabric,28167211.0
812506000000,power.rails.memory.interface,56008338.0
812507000000,power.rails.wifi.bt,60275929.0
812507000000,power.rails.aoc.memory,2769090.0
812507000000,power.rails.aoc.logic,13515474.0
812507000000,power.rails.ddr.a,11867379.0
812507000000,power.rails.ddr.b,14462485.0
812507000000,power.rails.ddr.c,47539813.0
812507000000,power.rails.gpu,14127350.0
812507000000,power.rails.display,210958927.0
813002000000,power.rails.tpu,10476890.0
813002000000,power.rails.modem,14533331.0
813002000000,power.rails.radio.frontend,0.0
813002000000,power.rails.cpu.big,81633108.0
813002000000,power.rails.cpu.mid,59806193.0
813002000000,power.rails.cpu.little,112671523.0
813002000000,power.rails.system.fabric,28187073.0
813002000000,power.rails.memory.interface,56069667.0
813005000000,power.rails.wifi.bt,60450327.0
813005000000,power.rails.aoc.memory,2771641.0
813005000000,power.rails.aoc.logic,13530485.0
813005000000,power.rails.ddr.a,11880003.0
813005000000,power.rails.ddr.b,14471492.0
813005000000,power.rails.ddr.c,47588456.0
813005000000,power.rails.gpu,14146744.0
813005000000,power.rails.display,211246170.0
813502000000,power.rails.tpu,10483908.0
813502000000,power.rails.modem,14541930.0
813502000000,power.rails.radio.frontend,0.0
813502000000,power.rails.cpu.big,81799956.0
813502000000,power.rails.cpu.mid,59951684.0
813502000000,power.rails.cpu.little,112890095.0
813502000000,power.rails.system.fabric,28209103.0
813502000000,power.rails.memory.interface,56178646.0
813504000000,power.rails.wifi.bt,60678514.0
813504000000,power.rails.aoc.memory,2773562.0
813504000000,power.rails.aoc.logic,13538690.0
813504000000,power.rails.ddr.a,11901870.0
813504000000,power.rails.ddr.b,14480677.0
813504000000,power.rails.ddr.c,47690217.0
813504000000,power.rails.gpu,14212154.0
813504000000,power.rails.display,211519570.0
814003000000,power.rails.tpu,10490831.0
814003000000,power.rails.modem,14546236.0
814003000000,power.rails.radio.frontend,0.0
814003000000,power.rails.cpu.big,81958798.0
814003000000,power.rails.cpu.mid,60053984.0
814003000000,power.rails.cpu.little,113048261.0
814003000000,power.rails.system.fabric,28229773.0
814003000000,power.rails.memory.interface,56251613.0
814004000000,power.rails.wifi.bt,60895613.0
814004000000,power.rails.aoc.memory,2775445.0
814004000000,power.rails.aoc.logic,13546890.0
814004000000,power.rails.ddr.a,11916546.0
814004000000,power.rails.ddr.b,14489650.0
814004000000,power.rails.ddr.c,47739858.0
814004000000,power.rails.gpu,14216390.0
814004000000,power.rails.display,211814565.0
814503000000,power.rails.tpu,10497779.0
814503000000,power.rails.modem,14552752.0
814503000000,power.rails.radio.frontend,0.0
814503000000,power.rails.cpu.big,82052561.0
814503000000,power.rails.cpu.mid,60202449.0
814503000000,power.rails.cpu.little,113273346.0
814503000000,power.rails.system.fabric,28251909.0
814503000000,power.rails.memory.interface,56348443.0
814507000000,power.rails.wifi.bt,61072441.0
814507000000,power.rails.aoc.memory,2777368.0
814507000000,power.rails.aoc.logic,13554747.0
814507000000,power.rails.ddr.a,11936627.0
814507000000,power.rails.ddr.b,14498596.0
814507000000,power.rails.ddr.c,47820802.0
814507000000,power.rails.gpu,14225924.0
814507000000,power.rails.display,212119418.0
815002000000,power.rails.tpu,10505019.0
815002000000,power.rails.modem,14558810.0
815002000000,power.rails.radio.frontend,0.0
815002000000,power.rails.cpu.big,82196650.0
815002000000,power.rails.cpu.mid,60450619.0
815002000000,power.rails.cpu.little,113558347.0
815002000000,power.rails.system.fabric,28277219.0
815002000000,power.rails.memory.interface,56499842.0
815003000000,power.rails.wifi.bt,61262667.0
815003000000,power.rails.aoc.memory,2779649.0
815003000000,power.rails.aoc.logic,13565864.0
815003000000,power.rails.ddr.a,11962148.0
815003000000,power.rails.ddr.b,14507594.0
815003000000,power.rails.ddr.c,47937506.0
815003000000,power.rails.gpu,14245465.0
815003000000,power.rails.display,212420111.0
815502000000,power.rails.tpu,10511978.0
815502000000,power.rails.modem,14565545.0
815502000000,power.rails.radio.frontend,0.0
815502000000,power.rails.cpu.big,82283685.0
815502000000,power.rails.cpu.mid,60566519.0
815502000000,power.rails.cpu.little,113773771.0
815502000000,power.rails.system.fabric,28299666.0
815502000000,power.rails.memory.interface,56579401.0
815503000000,power.rails.wifi.bt,61460232.0
815503000000,power.rails.aoc.memory,2781902.0
815503000000,power.rails.aoc.logic,13576905.0
815503000000,power.rails.ddr.a,11979790.0
815503000000,power.rails.ddr.b,14516689.0
815503000000,power.rails.ddr.c,48016859.0
815503000000,power.rails.gpu,14265132.0
815503000000,power.rails.display,212723511.0
816001000000,power.rails.tpu,10518511.0
816001000000,power.rails.modem,14571284.0
816001000000,power.rails.radio.frontend,0.0
816001000000,power.rails.cpu.big,82322252.0
816001000000,power.rails.cpu.mid,60595851.0
816001000000,power.rails.cpu.little,113860005.0
816001000000,power.rails.system.fabric,28320950.0
816001000000,power.rails.memory.interface,56620259.0
816002000000,power.rails.wifi.bt,61524033.0
816002000000,power.rails.aoc.memory,2783990.0
816002000000,power.rails.aoc.logic,13584922.0
816002000000,power.rails.ddr.a,11986287.0
816002000000,power.rails.ddr.b,14525624.0
816002000000,power.rails.ddr.c,48049811.0
816002000000,power.rails.gpu,14269828.0
816002000000,power.rails.display,213026516.0
816502000000,power.rails.tpu,10525287.0
816502000000,power.rails.modem,14579450.0
816502000000,power.rails.radio.frontend,0.0
816502000000,power.rails.cpu.big,82389105.0
816502000000,power.rails.cpu.mid,60664090.0
816502000000,power.rails.cpu.little,114041785.0
816502000000,power.rails.system.fabric,28343582.0
816502000000,power.rails.memory.interface,56696050.0
816503000000,power.rails.wifi.bt,61657956.0
816503000000,power.rails.aoc.memory,2786087.0
816503000000,power.rails.aoc.logic,13594637.0
816503000000,power.rails.ddr.a,11999974.0
816503000000,power.rails.ddr.b,14534632.0
816503000000,power.rails.ddr.c,48108724.0
816503000000,power.rails.gpu,14290501.0
816503000000,power.rails.display,213329632.0
817002000000,power.rails.tpu,10531948.0
817002000000,power.rails.modem,14586400.0
817002000000,power.rails.radio.frontend,0.0
817002000000,power.rails.cpu.big,82441515.0
817002000000,power.rails.cpu.mid,60711217.0
817002000000,power.rails.cpu.little,114187024.0
817002000000,power.rails.system.fabric,28364755.0
817002000000,power.rails.memory.interface,56749781.0
817003000000,power.rails.wifi.bt,61794207.0
817003000000,power.rails.aoc.memory,2788123.0
817003000000,power.rails.aoc.logic,13602831.0
817003000000,power.rails.ddr.a,12008197.0
817003000000,power.rails.ddr.b,14543581.0
817003000000,power.rails.ddr.c,48147817.0
817003000000,power.rails.gpu,14298707.0
817003000000,power.rails.display,213632881.0
817502000000,power.rails.tpu,10538676.0
817502000000,power.rails.modem,14589845.0
817502000000,power.rails.radio.frontend,0.0
817502000000,power.rails.cpu.big,82480782.0
817502000000,power.rails.cpu.mid,60762474.0
817502000000,power.rails.cpu.little,114360937.0
817502000000,power.rails.system.fabric,28385587.0
817502000000,power.rails.memory.interface,56812793.0
817504000000,power.rails.wifi.bt,61895656.0
817504000000,power.rails.aoc.memory,2789966.0
817504000000,power.rails.aoc.logic,13613666.0
817504000000,power.rails.ddr.a,12019691.0
817504000000,power.rails.ddr.b,14552711.0
817504000000,power.rails.ddr.c,48201212.0
817504000000,power.rails.gpu,14310934.0
817504000000,power.rails.display,213935459.0
818002000000,power.rails.tpu,10545272.0
818002000000,power.rails.modem,14594078.0
818002000000,power.rails.radio.frontend,0.0
818002000000,power.rails.cpu.big,82520593.0
818002000000,power.rails.cpu.mid,60790124.0
818002000000,power.rails.cpu.little,114453300.0
818002000000,power.rails.system.fabric,28407221.0
818002000000,power.rails.memory.interface,56858094.0
818004000000,power.rails.wifi.bt,62003771.0
818004000000,power.rails.aoc.memory,2791876.0
818004000000,power.rails.aoc.logic,13621433.0
818004000000,power.rails.ddr.a,12027299.0
818004000000,power.rails.ddr.b,14561517.0
818004000000,power.rails.ddr.c,48237619.0
818004000000,power.rails.gpu,14317740.0
818004000000,power.rails.display,214236872.0
818503000000,power.rails.tpu,10551844.0
818503000000,power.rails.modem,14599796.0
818503000000,power.rails.radio.frontend,0.0
818503000000,power.rails.cpu.big,82563706.0
818503000000,power.rails.cpu.mid,60822537.0
818503000000,power.rails.cpu.little,114537134.0
818503000000,power.rails.system.fabric,28429171.0
818503000000,power.rails.memory.interface,56902139.0
818505000000,power.rails.wifi.bt,62113938.0
818505000000,power.rails.aoc.memory,2794074.0
818505000000,power.rails.aoc.logic,13629322.0
818505000000,power.rails.ddr.a,12033915.0
818505000000,power.rails.ddr.b,14570432.0
818505000000,power.rails.ddr.c,48271890.0
818505000000,power.rails.gpu,14331406.0
818505000000,power.rails.display,214540354.0
819002000000,power.rails.tpu,10558742.0
819002000000,power.rails.modem,14603808.0
819002000000,power.rails.radio.frontend,0.0
819002000000,power.rails.cpu.big,82636751.0
819002000000,power.rails.cpu.mid,60929807.0
819002000000,power.rails.cpu.little,114765724.0
819002000000,power.rails.system.fabric,28461932.0
819002000000,power.rails.memory.interface,57006313.0
819003000000,power.rails.wifi.bt,62231828.0
819003000000,power.rails.aoc.memory,2795986.0
819003000000,power.rails.aoc.logic,13636973.0
819003000000,power.rails.ddr.a,12051984.0
819003000000,power.rails.ddr.b,14579497.0
819003000000,power.rails.ddr.c,48358304.0
819003000000,power.rails.gpu,14341744.0
819003000000,power.rails.display,214842476.0
819504000000,power.rails.tpu,10565517.0
819504000000,power.rails.modem,14606882.0
819504000000,power.rails.radio.frontend,0.0
819504000000,power.rails.cpu.big,82695438.0
819504000000,power.rails.cpu.mid,61016664.0
819504000000,power.rails.cpu.little,114977925.0
819504000000,power.rails.system.fabric,28498824.0
819504000000,power.rails.memory.interface,57090160.0
819505000000,power.rails.wifi.bt,62336405.0
819505000000,power.rails.aoc.memory,2798096.0
819505000000,power.rails.aoc.logic,13645049.0
819505000000,power.rails.ddr.a,12069182.0
819505000000,power.rails.ddr.b,14588651.0
819505000000,power.rails.ddr.c,48448375.0
819505000000,power.rails.gpu,14377921.0
819505000000,power.rails.display,215147051.0
820004000000,power.rails.tpu,10572226.0
820004000000,power.rails.modem,14613405.0
820004000000,power.rails.radio.frontend,0.0
820004000000,power.rails.cpu.big,82743862.0
820004000000,power.rails.cpu.mid,61055698.0
820004000000,power.rails.cpu.little,115130746.0
820004000000,power.rails.system.fabric,28522218.0
820004000000,power.rails.memory.interface,57152122.0
820005000000,power.rails.wifi.bt,62381863.0
820005000000,power.rails.aoc.memory,2799930.0
820005000000,power.rails.aoc.logic,13652417.0
820005000000,power.rails.ddr.a,12081242.0
820005000000,power.rails.ddr.b,14597708.0
820005000000,power.rails.ddr.c,48515795.0
820005000000,power.rails.gpu,14420984.0
820005000000,power.rails.display,215449247.0
820503000000,power.rails.tpu,10579008.0
820503000000,power.rails.modem,14617649.0
820503000000,power.rails.radio.frontend,0.0
820503000000,power.rails.cpu.big,82833594.0
820503000000,power.rails.cpu.mid,61106237.0
820503000000,power.rails.cpu.little,115299292.0
820503000000,power.rails.system.fabric,28545463.0
820503000000,power.rails.memory.interface,57243003.0
820505000000,power.rails.wifi.bt,62489486.0
820505000000,power.rails.aoc.memory,2801826.0
820505000000,power.rails.aoc.logic,13660182.0
820505000000,power.rails.ddr.a,12097106.0
820505000000,power.rails.ddr.b,14606684.0
820505000000,power.rails.ddr.c,48607593.0
820505000000,power.rails.gpu,14453214.0
820505000000,power.rails.display,215751016.0
821002000000,power.rails.tpu,10585740.0
821002000000,power.rails.modem,14625442.0
821002000000,power.rails.radio.frontend,0.0
821002000000,power.rails.cpu.big,82932283.0
821002000000,power.rails.cpu.mid,61169901.0
821002000000,power.rails.cpu.little,115457754.0
821002000000,power.rails.system.fabric,28565318.0
821002000000,power.rails.memory.interface,57304070.0
821004000000,power.rails.wifi.bt,62727781.0
821004000000,power.rails.aoc.memory,2804413.0
821004000000,power.rails.aoc.logic,13674974.0
821004000000,power.rails.ddr.a,12110170.0
821004000000,power.rails.ddr.b,14615750.0
821004000000,power.rails.ddr.c,48659902.0
821004000000,power.rails.gpu,14492801.0
821004000000,power.rails.display,216029347.0
821502000000,power.rails.tpu,10592885.0
821502000000,power.rails.modem,14631683.0
821502000000,power.rails.radio.frontend,0.0
821502000000,power.rails.cpu.big,83196567.0
821502000000,power.rails.cpu.mid,61273740.0
821502000000,power.rails.cpu.little,115652711.0
821502000000,power.rails.system.fabric,28587145.0
821502000000,power.rails.memory.interface,57419062.0
821503000000,power.rails.wifi.bt,62944236.0
821503000000,power.rails.aoc.memory,2806421.0
821503000000,power.rails.aoc.logic,13682585.0
821503000000,power.rails.ddr.a,12133351.0
821503000000,power.rails.ddr.b,14624768.0
821503000000,power.rails.ddr.c,48765184.0
821503000000,power.rails.gpu,14542082.0
821503000000,power.rails.display,216316869.0
822002000000,power.rails.tpu,10599765.0
822002000000,power.rails.modem,14639114.0
822002000000,power.rails.radio.frontend,0.0
822002000000,power.rails.cpu.big,83278382.0
822002000000,power.rails.cpu.mid,61357907.0
822002000000,power.rails.cpu.little,115784470.0
822002000000,power.rails.system.fabric,28608500.0
822002000000,power.rails.memory.interface,57476130.0
822003000000,power.rails.wifi.bt,63222918.0
822003000000,power.rails.aoc.memory,2808412.0
822003000000,power.rails.aoc.logic,13691698.0
822003000000,power.rails.ddr.a,12144359.0
822003000000,power.rails.ddr.b,14633732.0
822003000000,power.rails.ddr.c,48807763.0
822003000000,power.rails.gpu,14548755.0
822003000000,power.rails.display,216619290.0
822502000000,power.rails.tpu,10606774.0
822502000000,power.rails.modem,14645161.0
822502000000,power.rails.radio.frontend,0.0
822502000000,power.rails.cpu.big,83387706.0
822502000000,power.rails.cpu.mid,61484240.0
822502000000,power.rails.cpu.little,115993969.0
822502000000,power.rails.system.fabric,28631010.0
822502000000,power.rails.memory.interface,57572325.0
822505000000,power.rails.wifi.bt,63377411.0
822505000000,power.rails.aoc.memory,2810476.0
822505000000,power.rails.aoc.logic,13699602.0
822505000000,power.rails.ddr.a,12160716.0
822505000000,power.rails.ddr.b,14642861.0
822505000000,power.rails.ddr.c,48886724.0
822505000000,power.rails.gpu,14566277.0
822505000000,power.rails.display,216924289.0
823003000000,power.rails.tpu,10613840.0
823003000000,power.rails.modem,14652267.0
823003000000,power.rails.radio.frontend,0.0
823003000000,power.rails.cpu.big,83464320.0
823003000000,power.rails.cpu.mid,61633905.0
823003000000,power.rails.cpu.little,116220708.0
823003000000,power.rails.system.fabric,28654064.0
823003000000,power.rails.memory.interface,57680597.0
823004000000,power.rails.wifi.bt,63485733.0
823004000000,power.rails.aoc.memory,2813494.0
823004000000,power.rails.aoc.logic,13714262.0
823004000000,power.rails.ddr.a,12181290.0
823004000000,power.rails.ddr.b,14652039.0
823004000000,power.rails.ddr.c,48987705.0
823004000000,power.rails.gpu,14578354.0
823004000000,power.rails.display,217226108.0
823502000000,power.rails.tpu,10620960.0
823502000000,power.rails.modem,14658980.0
823502000000,power.rails.radio.frontend,0.0
823502000000,power.rails.cpu.big,83572551.0
823502000000,power.rails.cpu.mid,61773038.0
823502000000,power.rails.cpu.little,116485993.0
823502000000,power.rails.system.fabric,28678631.0
823502000000,power.rails.memory.interface,57785997.0
823504000000,power.rails.wifi.bt,63685904.0
823504000000,power.rails.aoc.memory,2815524.0
823504000000,power.rails.aoc.logic,13721616.0
823504000000,power.rails.ddr.a,12203391.0
823504000000,power.rails.ddr.b,14660892.0
823504000000,power.rails.ddr.c,49088303.0
823504000000,power.rails.gpu,14593227.0
823504000000,power.rails.display,217529349.0
824001000000,power.rails.tpu,10627643.0
824001000000,power.rails.modem,14664367.0
824001000000,power.rails.radio.frontend,0.0
824001000000,power.rails.cpu.big,83632344.0
824001000000,power.rails.cpu.mid,61831203.0
824001000000,power.rails.cpu.little,116656604.0
824001000000,power.rails.system.fabric,28699837.0
824001000000,power.rails.memory.interface,57853339.0
824002000000,power.rails.wifi.bt,63862299.0
824002000000,power.rails.aoc.memory,2817671.0
824002000000,power.rails.aoc.logic,13730156.0
824002000000,power.rails.ddr.a,12214726.0
824002000000,power.rails.ddr.b,14669674.0
824002000000,power.rails.ddr.c,49140703.0
824002000000,power.rails.gpu,14597565.0
824002000000,power.rails.display,217832379.0
