measurement_timestamp,measurment_value
2026-07-04T14:26:17.787000+02:00,1930
2026-07-04T14:26:17.837000+02:00,1860
2026-07-04T14:26:17.887000+02:00,1970
2026-07-04T14:26:17.937000+02:00,1810
2026-07-04T14:26:17.987000+02:00,2590
2026-07-04T14:26:18.037000+02:00,3210
2026-07-04T14:26:18.087000+02:00,2410
2026-07-04T14:26:18.138000+02:00,2110
2026-07-04T14:26:18.188000+02:00,2140
2026-07-04T14:26:18.237000+02:00,1960
2026-07-04T14:26:18.288000+02:00,2760
2026-07-04T14:26:18.338000+02:00,2180
2026-07-04T14:26:18.388000+02:00,1990
2026-07-04T14:26:18.438000+02:00,2040
2026-07-04T14:26:18.488000+02:00,2120
2026-07-04T14:26:18.538000+02:00,2080
2026-07-04T14:26:18.588000+02:00,1970
2026-07-04T14:26:18.638000+02:00,1910
2026-07-04T14:26:18.688000+02:00,1940
2026-07-04T14:26:18.739000+02:00,2000
2026-07-04T14:26:18.789000+02:00,2000
2026-07-04T14:26:18.839000+02:00,1910
2026-07-04T14:26:18.889000+02:00,1920
2026-07-04T14:26:18.939000+02:00,2009
2026-07-04T14:26:18.989000+02:00,1790
2026-07-04T14:26:19.039000+02:00,1850
2026-07-04T14:26:19.090000+02:00,1840
2026-07-04T14:26:19.140000+02:00,2430
2026-07-04T14:26:19.190000+02:00,2380
2026-07-04T14:26:19.240000+02:00,2150
2026-07-04T14:26:19.290000+02:00,2060
2026-07-04T14:26:19.340000+02:00,2090
2026-07-04T14:26:19.391000+02:00,2009
2026-07-04T14:26:19.441000+02:00,2090
2026-07-04T14:26:19.491000+02:00,2350
2026-07-04T14:26:19.541000+02:00,2460
2026-07-04T14:26:19.591000+02:00,2050
2026-07-04T14:26:19.645000+02:00,2190
2026-07-04T14:26:19.691000+02:00,2280
2026-07-04T14:26:19.745000+02:00,2090
2026-07-04T14:26:19.792000+02:00,2050
2026-07-04T14:26:19.845000+02:00,1950
2026-07-04T14:26:19.892000+02:00,2020
2026-07-04T14:26:19.945000+02:00,1890
2026-07-04T14:26:19.992000+02:00,2029
2026-07-04T14:26:20.045000+02:00,4059
2026-07-04T14:26:20.092000+02:00,3550
2026-07-04T14:26:20.145000+02:00,2800
2026-07-04T14:26:20.192000+02:00,2350
2026-07-04T14:26:20.245000+02:00,2160
2026-07-04T14:26:20.292000+02:00,1940
2026-07-04T14:26:20.345000+02:00,1980
2026-07-04T14:26:20.392000+02:00,2130
2026-07-04T14:26:20.445000+02:00,1760
2026-07-04T14:26:20.493000+02:00,1830
2026-07-04T14:26:20.545000+02:00,1690
2026-07-04T14:26:20.593000+02:00,1800
2026-07-04T14:26:20.645000+02:00,1750
2026-07-04T14:26:20.693000+02:00,1820
2026-07-04T14:26:20.745000+02:00,1750
2026-07-04T14:26:20.793000+02:00,1800
2026-07-04T14:26:20.845000+02:00,2360
2026-07-04T14:26:20.893000+02:00,4210
2026-07-04T14:26:20.945000+02:00,2710
2026-07-04T14:26:20.993000+02:00,1650
2026-07-04T14:26:21.045000+02:00,1890
2026-07-04T14:26:21.093000+02:00,1660
2026-07-04T14:26:21.145000+02:00,2080
2026-07-04T14:26:21.194000+02:00,1820
2026-07-04T14:26:21.245000+02:00,1650
2026-07-04T14:26:21.294000+02:00,2310
2026-07-04T14:26:21.345000+02:00,3030
2026-07-04T14:26:21.394000+02:00,2340
2026-07-04T14:26:21.445000+02:00,4740
2026-07-04T14:26:21.494000+02:00,4230
2026-07-04T14:26:21.545000+02:00,2029
2026-07-04T14:26:21.594000+02:00,3700
2026-07-04T14:26:21.645000+02:00,4470
2026-07-04T14:26:21.694000+02:00,2280
2026-07-04T14:26:21.745000+02:00,1790
2026-07-04T14:26:21.795000+02:00,3750
2026-07-04T14:26:21.845000+02:00,4840
2026-07-04T14:26:21.895000+02:00,2640
2026-07-04T14:26:21.945000+02:00,3160
2026-07-04T14:26:21.995000+02:00,3990
2026-07-04T14:26:22.045000+02:00,4360
2026-07-04T14:26:22.095000+02:00,2960
2026-07-04T14:26:22.145000+02:00,3130
2026-07-04T14:26:22.195000+02:00,3380
2026-07-04T14:26:22.245000+02:00,3180
2026-07-04T14:26:22.295000+02:00,3360
2026-07-04T14:26:22.345000+02:00,2390
2026-07-04T14:26:22.395000+02:00,1580
2026-07-04T14:26:22.446000+02:00,1540
2026-07-04T14:26:22.496000+02:00,1600
2026-07-04T14:26:22.546000+02:00,2630
2026-07-04T14:26:22.596000+02:00,3050
2026-07-04T14:26:22.646000+02:00,3340
2026-07-04T14:26:22.696000+02:00,3880
2026-07-04T14:26:22.746000+02:00,3420
2026-07-04T14:26:22.796000+02:00,3440
2026-07-04T14:26:22.846000+02:00,2120
2026-07-04T14:26:22.896000+02:00,1950
2026-07-04T14:26:22.946000+02:00,1690
2026-07-04T14:26:22.996000+02:00,2160
2026-07-04T14:26:23.046000+02:00,2050
2026-07-04T14:26:23.097000+02:00,2230
2026-07-04T14:26:23.147000+02:00,1960
2026-07-04T14:26:23.197000+02:00,2050
2026-07-04T14:26:23.247000+02:00,1910
2026-07-04T14:26:23.297000+02:00,2050
2026-07-04T14:26:23.347000+02:00,2120
2026-07-04T14:26:23.397000+02:00,2070
2026-07-04T14:26:23.447000+02:00,2140
2026-07-04T14:26:23.497000+02:00,2050
2026-07-04T14:26:23.547000+02:00,2270
2026-07-04T14:26:23.598000+02:00,2170
2026-07-04T14:26:23.647000+02:00,2200
2026-07-04T14:26:23.698000+02:00,2070
2026-07-04T14:26:23.748000+02:00,2130
2026-07-04T14:26:23.798000+02:00,1910
2026-07-04T14:26:23.848000+02:00,2020
2026-07-04T14:26:23.898000+02:00,1970
2026-07-04T14:26:23.948000+02:00,2100
2026-07-04T14:26:23.998000+02:00,2060
2026-07-04T14:26:24.048000+02:00,2470
2026-07-04T14:26:24.098000+02:00,2480
2026-07-04T14:26:24.148000+02:00,3000
2026-07-04T14:26:24.199000+02:00,2170
2026-07-04T14:26:24.249000+02:00,2020
2026-07-04T14:26:24.299000+02:00,1990
2026-07-04T14:26:24.349000+02:00,1930
2026-07-04T14:26:24.399000+02:00,2560
2026-07-04T14:26:24.449000+02:00,2090
2026-07-04T14:26:24.499000+02:00,2150
2026-07-04T14:26:24.549000+02:00,2810
2026-07-04T14:26:24.599000+02:00,2650
2026-07-04T14:26:24.649000+02:00,2280
2026-07-04T14:26:24.700000+02:00,2000
2026-07-04T14:26:24.750000+02:00,2060
2026-07-04T14:26:24.800000+02:00,2090
2026-07-04T14:26:24.850000+02:00,2290
2026-07-04T14:26:24.900000+02:00,2180
2026-07-04T14:26:24.950000+02:00,2350
2026-07-04T14:26:25+02:00,2220
2026-07-04T14:26:25.050000+02:00,2070
2026-07-04T14:26:25.100000+02:00,1990
2026-07-04T14:26:25.150000+02:00,2070
2026-07-04T14:26:25.201000+02:00,2090
2026-07-04T14:26:25.250000+02:00,2080
2026-07-04T14:26:25.304000+02:00,2080
2026-07-04T14:26:25.351000+02:00,2450
2026-07-04T14:26:25.405000+02:00,1970
2026-07-04T14:26:25.451000+02:00,2140
2026-07-04T14:26:25.505000+02:00,2210
2026-07-04T14:26:25.551000+02:00,2050
2026-07-04T14:26:25.605000+02:00,2000
2026-07-04T14:26:25.651000+02:00,2100
2026-07-04T14:26:25.705000+02:00,1850
2026-07-04T14:26:25.751000+02:00,2360
2026-07-04T14:26:25.805000+02:00,1900
2026-07-04T14:26:25.852000+02:00,2180
2026-07-04T14:26:25.905000+02:00,1990
2026-07-04T14:26:25.952000+02:00,2009
2026-07-04T14:26:26.005000+02:00,2150
2026-07-04T14:26:26.052000+02:00,2090
2026-07-04T14:26:26.104000+02:00,1940
2026-07-04T14:26:26.152000+02:00,2050
2026-07-04T14:26:26.205000+02:00,2120
2026-07-04T14:26:26.252000+02:00,2160
2026-07-04T14:26:26.304000+02:00,2040
2026-07-04T14:26:26.353000+02:00,1980
2026-07-04T14:26:26.404000+02:00,1850
2026-07-04T14:26:26.453000+02:00,2120
2026-07-04T14:26:26.504000+02:00,1930
2026-07-04T14:26:26.553000+02:00,2290
2026-07-04T14:26:26.604000+02:00,2210
2026-07-04T14:26:26.653000+02:00,2200
2026-07-04T14:26:26.704000+02:00,1810
2026-07-04T14:26:26.753000+02:00,1900
2026-07-04T14:26:26.804000+02:00,1790
2026-07-04T14:26:26.853000+02:00,2090
2026-07-04T14:26:26.905000+02:00,1820
2026-07-04T14:26:26.954000+02:00,1890
2026-07-04T14:26:27.005000+02:00,1830
2026-07-04T14:26:27.054000+02:00,1900
2026-07-04T14:26:27.105000+02:00,2190
2026-07-04T14:26:27.154000+02:00,2150
2026-07-04T14:26:27.205000+02:00,2190
2026-07-04T14:26:27.254000+02:00,2300
2026-07-04T14:26:27.305000+02:00,1940
2026-07-04T14:26:27.354000+02:00,2060
2026-07-04T14:26:27.405000+02:00,2100
2026-07-04T14:26:27.455000+02:00,2160
2026-07-04T14:26:27.505000+02:00,2310
2026-07-04T14:26:27.555000+02:00,2130
