ts,rail,value
4209815000000,power.rails.tpu,55590092.0
4209815000000,power.rails.modem,57854049.0
4209815000000,power.rails.radio.frontend,0.0
4209815000000,power.rails.cpu.big,346699283.0
4209815000000,power.rails.cpu.mid,264657462.0
4209815000000,power.rails.cpu.little,723804829.0
4209815000000,power.rails.system.fabric,174296010.0
4209815000000,power.rails.memory.interface,332534013.0
4209816000000,power.rails.wifi.bt,281071102.0
4209816000000,power.rails.aoc.memory,15995600.0
4209816000000,power.rails.aoc.logic,68596486.0
4209816000000,power.rails.ddr.a,65201429.0
4209816000000,power.rails.ddr.b,75459248.0
4209816000000,power.rails.ddr.c,298849614.0
4209816000000,power.rails.gpu,70347562.0
4209816000000,power.rails.display,2266723565.0
4210002000000,power.rails.tpu,55592575.0
4210002000000,power.rails.modem,57855412.0
4210002000000,power.rails.radio.frontend,0.0
4210002000000,power.rails.cpu.big,346710297.0
4210002000000,power.rails.cpu.mid,264668409.0
4210002000000,power.rails.cpu.little,723831360.0
4210002000000,power.rails.system.fabric,174303592.0
4210002000000,power.rails.memory.interface,332552250.0
4210003000000,power.rails.wifi.bt,281098553.0
4210003000000,power.rails.aoc.memory,15996251.0
4210003000000,power.rails.aoc.logic,68598870.0
4210003000000,power.rails.ddr.a,65204112.0
4210003000000,power.rails.ddr.b,75462681.0
4210003000000,power.rails.ddr.c,298861319.0
4210003000000,power.rails.gpu,70349306.0
4210003000000,power.rails.display,2266829211.0
4210503000000,power.rails.tpu,55599185.0
4210503000000,power.rails.modem,57861880.0
4210503000000,power.rails.radio.frontend,0.0
4210503000000,power.rails.cpu.big,346749082.0
4210503000000,power.rails.cpu.mid,264688589.0
4210503000000,power.rails.cpu.little,723922840.0
4210503000000,power.rails.system.fabric,174324741.0
4210503000000,power.rails.memory.interface,332594297.0
4210504000000,power.rails.wifi.bt,281107925.0
4210504000000,power.rails.aoc.memory,15998169.0
4210504000000,power.rails.aoc.logic,68607303.0
4210504000000,power.rails.ddr.a,65211631.0
4210504000000,power.rails.ddr.b,75471612.0
4210504000000,power.rails.ddr.c,298895071.0
4210504000000,power.rails.gpu,70356205.0
4210504000000,power.rails.display,2267112533.0
4211003000000,power.rails.tpu,55605680.0
4211003000000,power.rails.modem,57870584.0
4211003000000,power.rails.radio.frontend,0.0
4211003000000,power.rails.cpu.big,346782611.0
4211003000000,power.rails.cpu.mid,264720744.0
4211003000000,power.rails.cpu.little,724005953.0
4211003000000,power.rails.system.fabric,174345728.0
4211003000000,power.rails.memory.interface,332634366.0
4211005000000,power.rails.wifi.bt,281132780.0
4211005000000,power.rails.aoc.memory,16000389.0
4211005000000,power.rails.aoc.logic,68616368.0
4211005000000,power.rails.ddr.a,65217801.0
4211005000000,power.rails.ddr.b,75480551.0
4211005000000,power.rails.ddr.c,298925500.0
4211005000000,power.rails.gpu,70364631.0
4211005000000,power.rails.display,2267396141.0
4211502000000,power.rails.tpu,55612243.0
4211502000000,power.rails.modem,57877780.0
4211502000000,power.rails.radio.frontend,0.0
4211502000000,power.rails.cpu.big,346822269.0
4211502000000,power.rails.cpu.mid,264749248.0
4211502000000,power.rails.cpu.little,724117650.0
4211502000000,power.rails.system.fabric,174366950.0
4211502000000,power.rails.memory.interface,332680163.0
4211505000000,power.rails.wifi.bt,281195304.0
4211505000000,power.rails.aoc.memory,16002436.0
4211505000000,power.rails.aoc.logic,68624682.0
4211505000000,power.rails.ddr.a,65224587.0
4211505000000,power.rails.ddr.b,75489561.0
4211505000000,power.rails.ddr.c,298961389.0
4211505000000,power.rails.gpu,70383718.0
4211505000000,power.rails.display,2267680499.0
4212002000000,power.rails.tpu,55618836.0
4212002000000,power.rails.modem,57883703.0
4212002000000,power.rails.radio.frontend,0.0
4212002000000,power.rails.cpu.big,346869992.0
4212002000000,power.rails.cpu.mid,264783479.0
4212002000000,power.rails.cpu.little,724229473.0
4212002000000,power.rails.system.fabric,174388568.0
4212002000000,power.rails.memory.interface,332726667.0
4212004000000,power.rails.wifi.bt,281256601.0
4212004000000,power.rails.aoc.memory,16004395.0
4212004000000,power.rails.aoc.logic,68633118.0
4212004000000,power.rails.ddr.a,65233267.0
4212004000000,power.rails.ddr.b,75498761.0
4212004000000,power.rails.ddr.c,299003094.0
4212004000000,power.rails.gpu,70397475.0
4212004000000,power.rails.display,2267961435.0
4212502000000,power.rails.tpu,55625344.0
4212502000000,power.rails.modem,57889572.0
4212502000000,power.rails.radio.frontend,0.0
4212502000000,power.rails.cpu.big,346888193.0
4212502000000,power.rails.cpu.mid,264800972.0
4212502000000,power.rails.cpu.little,724282100.0
4212502000000,power.rails.system.fabric,174409413.0
4212502000000,power.rails.memory.interface,332760687.0
4212503000000,power.rails.wifi.bt,281282822.0
4212503000000,power.rails.aoc.memory,16006210.0
4212503000000,power.rails.aoc.logic,68641673.0
4212503000000,power.rails.ddr.a,65239419.0
4212503000000,power.rails.ddr.b,75507615.0
4212503000000,power.rails.ddr.c,299033108.0
4212503000000,power.rails.gpu,70403292.0
4212503000000,power.rails.display,2268244246.0
4213006000000,power.rails.tpu,55631943.0
4213006000000,power.rails.modem,57894640.0
4213006000000,power.rails.radio.frontend,0.0
4213006000000,power.rails.cpu.big,346914846.0
4213006000000,power.rails.cpu.mid,264821141.0
4213006000000,power.rails.cpu.little,724344874.0
4213006000000,power.rails.system.fabric,174428690.0
4213006000000,power.rails.memory.interface,332795564.0
4213007000000,power.rails.wifi.bt,281380394.0
4213007000000,power.rails.aoc.memory,16008367.0
4213007000000,power.rails.aoc.logic,68650329.0
4213007000000,power.rails.ddr.a,65247463.0
4213007000000,power.rails.ddr.b,75516653.0
4213007000000,power.rails.ddr.c,299060231.0
4213007000000,power.rails.gpu,70407204.0
4213007000000,power.rails.display,2268528773.0
4213504000000,power.rails.tpu,55638728.0
4213504000000,power.rails.modem,57900539.0
4213504000000,power.rails.radio.frontend,0.0
