ts,rail,value
12787252000000,power.rails.tpu,116833257.0
12787252000000,power.rails.modem,98396184.0
12787252000000,power.rails.radio.frontend,207.0
12787252000000,power.rails.cpu.big,436842182.0
12787252000000,power.rails.cpu.mid,320524243.0
12787252000000,power.rails.cpu.little,607088603.0
12787252000000,power.rails.system.fabric,378736331.0
12787252000000,power.rails.memory.interface,358627599.0
12787253000000,power.rails.wifi.bt,737002039.0
12787253000000,power.rails.aoc.memory,40389319.0
12787253000000,power.rails.aoc.logic,157705803.0
12787253000000,power.rails.ddr.a,89030411.0
12787253000000,power.rails.ddr.b,208597799.0
12787253000000,power.rails.ddr.c,305188804.0
12787253000000,power.rails.gpu,67183186.0
12787253000000,power.rails.display,4206575630.0
12787505000000,power.rails.tpu,116835514.0
12787505000000,power.rails.modem,98397391.0
12787505000000,power.rails.radio.frontend,207.0
12787505000000,power.rails.cpu.big,436843569.0
12787505000000,power.rails.cpu.mid,320526514.0
12787505000000,power.rails.cpu.little,607091986.0
12787505000000,power.rails.system.fabric,378743265.0
12787505000000,power.rails.memory.interface,358631782.0
12787506000000,power.rails.wifi.bt,737005374.0
12787506000000,power.rails.aoc.memory,40390066.0
12787506000000,power.rails.aoc.logic,157708390.0
12787506000000,power.rails.ddr.a,89031588.0
12787506000000,power.rails.ddr.b,208601890.0
12787506000000,power.rails.ddr.c,305192012.0
12787506000000,power.rails.gpu,67183630.0
12787506000000,power.rails.display,4206635412.0
12788006000000,power.rails.tpu,116839959.0
12788006000000,power.rails.modem,98402522.0
12788006000000,power.rails.radio.frontend,207.0
12788006000000,power.rails.cpu.big,436847299.0
12788006000000,power.rails.cpu.mid,320532345.0
12788006000000,power.rails.cpu.little,607103988.0
12788006000000,power.rails.system.fabric,378757678.0
12788006000000,power.rails.memory.interface,358640016.0
12788007000000,power.rails.wifi.bt,737006941.0
12788007000000,power.rails.aoc.memory,40391514.0
12788007000000,power.rails.aoc.logic,157715218.0
12788007000000,power.rails.ddr.a,89035179.0
12788007000000,power.rails.ddr.b,208610065.0
12788007000000,power.rails.ddr.c,305201913.0
12788007000000,power.rails.gpu,67184522.0
12788007000000,power.rails.display,4206755414.0
12788509000000,power.rails.tpu,116844432.0
12788509000000,power.rails.modem,98405593.0
12788509000000,power.rails.radio.frontend,207.0
12788509000000,power.rails.cpu.big,436850149.0
12788509000000,power.rails.cpu.mid,320538928.0
12788509000000,power.rails.cpu.little,607112867.0
12788509000000,power.rails.system.fabric,378772638.0
12788509000000,power.rails.memory.interface,358649231.0
12788511000000,power.rails.wifi.bt,737030628.0
12788511000000,power.rails.aoc.memory,40393118.0
12788511000000,power.rails.aoc.logic,157722624.0
12788511000000,power.rails.ddr.a,89038010.0
12788511000000,power.rails.ddr.b,208618275.0
12788511000000,power.rails.ddr.c,305211366.0
12788511000000,power.rails.gpu,67185381.0
12788511000000,power.rails.display,4206893446.0
12789006000000,power.rails.tpu,116848809.0
12789006000000,power.rails.modem,98407055.0
12789006000000,power.rails.radio.frontend,207.0
12789006000000,power.rails.cpu.big,436852945.0
12789006000000,power.rails.cpu.mid,320544377.0
12789006000000,power.rails.cpu.little,607122089.0
12789006000000,power.rails.system.fabric,378786818.0
12789006000000,power.rails.memory.interface,358658045.0
12789008000000,power.rails.wifi.bt,737031250.0
12789008000000,power.rails.aoc.memory,40394567.0
12789008000000,power.rails.aoc.logic,157728038.0
12789008000000,power.rails.ddr.a,89040398.0
12789008000000,power.rails.ddr.b,208626378.0
12789008000000,power.rails.ddr.c,305219364.0
12789008000000,power.rails.gpu,67186266.0
12789008000000,power.rails.display,4207029297.0
12789505000000,power.rails.tpu,116853550.0
12789505000000,power.rails.modem,98412726.0
12789505000000,power.rails.radio.frontend,207.0
12789505000000,power.rails.cpu.big,436895223.0
12789505000000,power.rails.cpu.mid,320578838.0
12789505000000,power.rails.cpu.little,607221515.0
12789505000000,power.rails.system.fabric,378805294.0
12789505000000,power.rails.memory.interface,358697893.0
12789507000000,power.rails.wifi.bt,737122052.0
12789507000000,power.rails.aoc.memory,40396200.0
12789507000000,power.rails.aoc.logic,157734790.0
