ts,rail,value
7138785000000,power.rails.tpu,66045389.0
7138785000000,power.rails.modem,61529174.0
7138785000000,power.rails.radio.frontend,207.0
7138785000000,power.rails.cpu.big,381145256.0
7138785000000,power.rails.cpu.mid,248884732.0
7138785000000,power.rails.cpu.little,469390536.0
7138785000000,power.rails.system.fabric,219350040.0
7138785000000,power.rails.memory.interface,257100113.0
7138786000000,power.rails.wifi.bt,551632060.0
7138786000000,power.rails.aoc.memory,23294135.0
7138786000000,power.rails.aoc.logic,89647758.0
7138786000000,power.rails.ddr.a,58301399.0
7138786000000,power.rails.ddr.b,116503867.0
7138786000000,power.rails.ddr.c,213883922.0
7138786000000,power.rails.gpu,50687793.0
7138786000000,power.rails.display,2642291932.0
7139003000000,power.rails.tpu,66047408.0
7139003000000,power.rails.modem,61530613.0
7139003000000,power.rails.radio.frontend,207.0
7139003000000,power.rails.cpu.big,381146226.0
7139003000000,power.rails.cpu.mid,248886989.0
7139003000000,power.rails.cpu.little,469394704.0
7139003000000,power.rails.system.fabric,219356365.0
7139003000000,power.rails.memory.interface,257103701.0
7139005000000,power.rails.wifi.bt,551640460.0
7139005000000,power.rails.aoc.memory,23294825.0
7139005000000,power.rails.aoc.logic,89649805.0
7139005000000,power.rails.ddr.a,58303327.0
7139005000000,power.rails.ddr.b,116507442.0
7139005000000,power.rails.ddr.c,213887146.0
7139005000000,power.rails.gpu,50688191.0
7139005000000,power.rails.display,2642426762.0
7139506000000,power.rails.tpu,66052097.0
7139506000000,power.rails.modem,61534786.0
7139506000000,power.rails.radio.frontend,207.0
7139506000000,power.rails.cpu.big,381150648.0
7139506000000,power.rails.cpu.mid,248897586.0
7139506000000,power.rails.cpu.little,469409122.0
7139506000000,power.rails.system.fabric,219371540.0
7139506000000,power.rails.memory.interface,257114782.0
7139510000000,power.rails.wifi.bt,551645573.0
7139510000000,power.rails.aoc.memory,23296468.0
7139510000000,power.rails.aoc.logic,89656515.0
7139510000000,power.rails.ddr.a,58306342.0
7139510000000,power.rails.ddr.b,116515662.0
7139510000000,power.rails.ddr.c,213896404.0
7139510000000,power.rails.gpu,50689473.0
7139510000000,power.rails.display,2642751151.0
7140008000000,power.rails.tpu,66056653.0
7140008000000,power.rails.modem,61539006.0
7140008000000,power.rails.radio.frontend,207.0
7140008000000,power.rails.cpu.big,381153037.0
7140008000000,power.rails.cpu.mid,248902301.0
7140008000000,power.rails.cpu.little,469417264.0
7140008000000,power.rails.system.fabric,219385272.0
7140008000000,power.rails.memory.interface,257124163.0
7140010000000,power.rails.wifi.bt,551663659.0
7140010000000,power.rails.aoc.memory,23298125.0
7140010000000,power.rails.aoc.logic,89663126.0
7140010000000,power.rails.ddr.a,58310471.0
7140010000000,power.rails.ddr.b,116523837.0
7140010000000,power.rails.ddr.c,213905216.0
7140010000000,power.rails.gpu,50690406.0
7140010000000,power.rails.display,2643084292.0
7140505000000,power.rails.tpu,66061307.0
7140505000000,power.rails.modem,61542670.0
7140505000000,power.rails.radio.frontend,207.0
7140505000000,power.rails.cpu.big,381156308.0
7140505000000,power.rails.cpu.mid,248908214.0
7140505000000,power.rails.cpu.little,469427545.0
7140505000000,power.rails.system.fabric,219399949.0
7140505000000,power.rails.memory.interface,257132644.0
7140507000000,power.rails.wifi.bt,551670206.0
7140507000000,power.rails.aoc.memory,23299767.0
7140507000000,power.rails.aoc.logic,89668864.0
7140507000000,power.rails.ddr.a,58312959.0
7140507000000,power.rails.ddr.b,116531943.0
7140507000000,power.rails.ddr.c,213913583.0
7140507000000,power.rails.gpu,50691252.0
7140507000000,power.rails.display,2643415085.0
7141003000000,power.rails.tpu,66066197.0
7141003000000,power.rails.modem,61546908.0
7141003000000,power.rails.radio.frontend,207.0
7141003000000,power.rails.cpu.big,381185989.0
7141003000000,power.rails.cpu.mid,248941040.0
7141003000000,power.rails.cpu.little,469504696.0
7141003000000,power.rails.system.fabric,219417517.0
7141003000000,power.rails.memory.interface,257174705.0
7141005000000,power.rails.wifi.bt,551779683.0
7141005000000,power.rails.aoc.memory,23301356.0
7141005000000,power.rails.aoc.logic,89675645.0
7141005000000,power.rails.ddr.a,58322788.0
7141005000000,power.rails.ddr.b,116540099.0
7141005000000,power.rails.ddr.c,213952102.0
7141005000000,power.rails.gpu,50711404.0
7141005000000,power.rails.display,2643747683.0
7141508000000,power.rails.tpu,66070939.0
7141508000000,power.rails.modem,61548793.0
7141508000000,power.rails.radio.frontend,207.0
7141508000000,power.rails.cpu.big,381191704.0
7141508000000,power.rails.cpu.mid,248946960.0
7141508000000,power.rails.cpu.little,469523710.0
7141508000000,power.rails.system.fabric,219433534.0
7141508000000,power.rails.memory.interface,257187240.0
7141511000000,power.rails.wifi.bt,551780579.0
7141511000000,power.rails.aoc.memory,23302962.0
7141511000000,power.rails.aoc.logic,89682299.0
7141511000000,power.rails.ddr.a,58325482.0
7141511000000,power.rails.ddr.b,116548295.0
7141511000000,power.rails.ddr.c,213962932.0
7141511000000,power.rails.gpu,50713762.0
7141511000000,power.rails.display,2644083733.0
7142008000000,power.rails.tpu,66075467.0
7142008000000,power.rails.modem,61553098.0
7142008000000,power.rails.radio.frontend,207.0
7142008000000,power.rails.cpu.big,381195120.0
7142008000000,power.rails.cpu.mid,248952127.0
7142008000000,power.rails.cpu.little,469533376.0
7142008000000,power.rails.system.fabric,219447315.0
7142008000000,power.rails.memory.interface,257196353.0
7142011000000,power.rails.wifi.bt,551795213.0
7142011000000,power.rails.aoc.memory,23304627.0
7142011000000,power.rails.aoc.logic,89689076.0
7142011000000,power.rails.ddr.a,58329870.0
7142011000000,power.rails.ddr.b,116556467.0
7142011000000,power.rails.ddr.c,213971010.0
7142011000000,power.rails.gpu,50714666.0
7142011000000,power.rails.display,2644414622.0
7142506000000,power.rails.tpu,66079970.0
7142506000000,power.rails.modem,61555715.0
7142506000000,power.rails.radio.frontend,207.0
7142506000000,power.rails.cpu.big,381197331.0
7142506000000,power.rails.cpu.mid,248956384.0
7142506000000,power.rails.cpu.little,469539562.0
7142506000000,power.rails.system.fabric,219461237.0
7142506000000,power.rails.memory.interface,257202965.0
7142508000000,power.rails.wifi.bt,551829743.0
7142508000000,power.rails.aoc.memory,23306681.0
7142508000000,power.rails.aoc.logic,89696417.0
7142508000000,power.rails.ddr.a,58332239.0
7142508000000,power.rails.ddr.b,116564580.0
7142508000000,power.rails.ddr.c,213976923.0
7142508000000,power.rails.gpu,50715486.0
7142508000000,power.rails.display,2644745776.0
7143009000000,power.rails.tpu,66084620.0
7143009000000,power.rails.modem,61560261.0
7143009000000,power.rails.radio.frontend,207.0
7143009000000,power.rails.cpu.big,381199782.0
7143009000000,power.rails.cpu.mid,248964101.0
7143009000000,power.rails.cpu.little,469560143.0
7143009000000,power.rails.system.fabric,219476180.0
7143009000000,power.rails.memory.interface,257213393.0
7143011000000,power.rails.wifi.bt,551835117.0
7143011000000,power.rails.aoc.memory,23308229.0
7143011000000,power.rails.aoc.logic,89701649.0
7143011000000,power.rails.ddr.a,58334928.0
7143011000000,power.rails.ddr.b,116572684.0
7143011000000,power.rails.ddr.c,213986385.0
7143011000000,power.rails.gpu,50716368.0
7143011000000,power.rails.display,2645068671.0
7143507000000,power.rails.tpu,66089224.0
7143507000000,power.rails.modem,61564187.0
7143507000000,power.rails.radio.frontend,207.0
7143507000000,power.rails.cpu.big,381202685.0
7143507000000,power.rails.cpu.mid,248968222.0
7143507000000,power.rails.cpu.little,469566345.0
7143507000000,power.rails.system.fabric,219490349.0
7143507000000,power.rails.memory.interface,257220163.0
7143509000000,power.rails.wifi.bt,551855685.0
7143509000000,power.rails.aoc.memory,23309874.0
7143509000000,power.rails.aoc.logic,89707589.0
7143509000000,power.rails.ddr.a,58337277.0
