measurement_timestamp,measurment_value
2026-07-03T16:42:59.169000+02:00,1120
2026-07-03T16:42:59.220000+02:00,1280
2026-07-03T16:42:59.269000+02:00,1550
2026-07-03T16:42:59.319000+02:00,960
2026-07-03T16:42:59.369000+02:00,980
2026-07-03T16:42:59.419000+02:00,940
2026-07-03T16:42:59.469000+02:00,1770
2026-07-03T16:42:59.520000+02:00,2120
2026-07-03T16:42:59.569000+02:00,1190
2026-07-03T16:42:59.619000+02:00,940
2026-07-03T16:42:59.669000+02:00,1220
2026-07-03T16:42:59.720000+02:00,960
2026-07-03T16:42:59.769000+02:00,970
2026-07-03T16:42:59.820000+02:00,960
2026-07-03T16:42:59.870000+02:00,1020
2026-07-03T16:42:59.920000+02:00,840
2026-07-03T16:42:59.970000+02:00,910
2026-07-03T16:43:00.020000+02:00,1050
2026-07-03T16:43:00.070000+02:00,910
2026-07-03T16:43:00.120000+02:00,940
2026-07-03T16:43:00.170000+02:00,950
2026-07-03T16:43:00.220000+02:00,920
2026-07-03T16:43:00.270000+02:00,1750
2026-07-03T16:43:00.320000+02:00,860
2026-07-03T16:43:00.370000+02:00,1090
2026-07-03T16:43:00.421000+02:00,850
2026-07-03T16:43:00.471000+02:00,860
2026-07-03T16:43:00.521000+02:00,920
2026-07-03T16:43:00.571000+02:00,920
2026-07-03T16:43:00.621000+02:00,1010
2026-07-03T16:43:00.671000+02:00,1050
2026-07-03T16:43:00.721000+02:00,1310
2026-07-03T16:43:00.771000+02:00,970
2026-07-03T16:43:00.821000+02:00,1030
2026-07-03T16:43:00.871000+02:00,840
2026-07-03T16:43:00.921000+02:00,1130
2026-07-03T16:43:00.971000+02:00,1470
2026-07-03T16:43:01.021000+02:00,900
2026-07-03T16:43:01.071000+02:00,1200
2026-07-03T16:43:01.121000+02:00,1070
2026-07-03T16:43:01.171000+02:00,850
2026-07-03T16:43:01.222000+02:00,830
2026-07-03T16:43:01.272000+02:00,930
2026-07-03T16:43:01.322000+02:00,850
2026-07-03T16:43:01.372000+02:00,1000
2026-07-03T16:43:01.422000+02:00,1150
2026-07-03T16:43:01.472000+02:00,920
2026-07-03T16:43:01.522000+02:00,1860
2026-07-03T16:43:01.572000+02:00,3830
2026-07-03T16:43:01.622000+02:00,1740
2026-07-03T16:43:01.672000+02:00,4770
2026-07-03T16:43:01.722000+02:00,7190
2026-07-03T16:43:01.772000+02:00,4450
2026-07-03T16:43:01.822000+02:00,3290
2026-07-03T16:43:01.873000+02:00,1190
2026-07-03T16:43:01.923000+02:00,1430
2026-07-03T16:43:01.973000+02:00,1340
2026-07-03T16:43:02.023000+02:00,1200
2026-07-03T16:43:02.073000+02:00,2380
2026-07-03T16:43:02.123000+02:00,1570
2026-07-03T16:43:02.173000+02:00,2110
2026-07-03T16:43:02.223000+02:00,1110
2026-07-03T16:43:02.273000+02:00,2190
2026-07-03T16:43:02.323000+02:00,1520
2026-07-03T16:43:02.373000+02:00,2080
2026-07-03T16:43:02.424000+02:00,1640
2026-07-03T16:43:02.474000+02:00,2430
2026-07-03T16:43:02.524000+02:00,2220
2026-07-03T16:43:02.574000+02:00,1520
2026-07-03T16:43:02.624000+02:00,2020
2026-07-03T16:43:02.674000+02:00,1170
2026-07-03T16:43:02.724000+02:00,1950
2026-07-03T16:43:02.774000+02:00,1070
2026-07-03T16:43:02.824000+02:00,1760
2026-07-03T16:43:02.874000+02:00,1120
2026-07-03T16:43:02.924000+02:00,1810
2026-07-03T16:43:02.974000+02:00,1500
2026-07-03T16:43:03.025000+02:00,1070
2026-07-03T16:43:03.075000+02:00,1830
2026-07-03T16:43:03.125000+02:00,1120
2026-07-03T16:43:03.175000+02:00,2150
2026-07-03T16:43:03.225000+02:00,1410
2026-07-03T16:43:03.275000+02:00,2080
2026-07-03T16:43:03.325000+02:00,1960
2026-07-03T16:43:03.375000+02:00,1130
2026-07-03T16:43:03.425000+02:00,2130
2026-07-03T16:43:03.475000+02:00,1150
2026-07-03T16:43:03.525000+02:00,1280
2026-07-03T16:43:03.575000+02:00,1760
2026-07-03T16:43:03.625000+02:00,940
2026-07-03T16:43:03.676000+02:00,1720
2026-07-03T16:43:03.726000+02:00,970
2026-07-03T16:43:03.780000+02:00,1410
2026-07-03T16:43:03.826000+02:00,1190
2026-07-03T16:43:03.880000+02:00,1730
2026-07-03T16:43:03.926000+02:00,1680
2026-07-03T16:43:03.980000+02:00,2020
2026-07-03T16:43:04.026000+02:00,1210
2026-07-03T16:43:04.080000+02:00,1010
2026-07-03T16:43:04.126000+02:00,930
2026-07-03T16:43:04.180000+02:00,1990
2026-07-03T16:43:04.227000+02:00,1540
2026-07-03T16:43:04.280000+02:00,2370
2026-07-03T16:43:04.327000+02:00,2300
2026-07-03T16:43:04.380000+02:00,2650
2026-07-03T16:43:04.427000+02:00,4290
2026-07-03T16:43:04.480000+02:00,5250
2026-07-03T16:43:04.527000+02:00,5330
2026-07-03T16:43:04.580000+02:00,4180
2026-07-03T16:43:04.628000+02:00,2380
2026-07-03T16:43:04.680000+02:00,1610
2026-07-03T16:43:04.727000+02:00,1710
2026-07-03T16:43:04.780000+02:00,3240
