ts,bytes,event_id
1,6046552.0,1
2,2879671.0,1
3,2981536.0,1
4,2942339.0,1
5,2903894.0,1
6,2948914.0,1
7,2937507.0,1
8,2947035.0,1
9,2911648.0,1
10,2921597.0,1
11,2983338.0,1
12,2912287.0,1
13,2942123.0,1
14,2904751.0,1
15,2956188.0,1
16,2937388.0,1
17,2876267.0,1
18,5965819.0,1
19,2898868.0,1
20,2947008.0,1
21,2938766.0,1
22,2952021.0,1
23,2929944.0,1
24,2917975.0,1
25,2903952.0,1
26,2968237.0,1
27,2920310.0,1
28,2950582.0,1
29,2929769.0,1
30,2889159.0,1
31,2950444.0,1
32,2990626.0,1
33,2887710.0,1
34,2974881.0,1
35,2910905.0,1
36,2895681.0,1
37,2941075.0,1
38,2943431.0,1
39,2926313.0,1
40,5806738.0,1
41,8691299.0,1
42,2933866.0,1
43,8779289.0,1
44,2950337.0,1
45,2903120.0,1
46,2922081.0,1
47,2973405.0,1
48,2858895.0,1
49,5923522.0,1
50,2886250.0,1
51,2920524.0,1
52,2926749.0,1
53,2915122.0,1
54,2975178.0,1
55,8744357.0,1
56,2883201.0,1
57,2952888.0,1
58,2960241.0,1
59,2884336.0,1
60,11085596.0,1
61,2954077.0,1
62,2945692.0,1
63,2947500.0,1
64,2918578.0,1
65,2867794.0,1
66,3011987.0,1
67,2906641.0,1
68,7818142.0,1
69,2896377.0,1
70,2951778.0,1
71,2949055.0,1
72,2949456.0,1
73,5863652.0,1
74,2914114.0,1
75,2295448.0,1
76,9606619.0,1
77,5439059.0,1
78,3308.0,1
79,3991.0,1
80,786.0,1
81,2942.0,1
83,2941.0,1
85,2946.0,1
87,2941.0,1
89,2943.0,1
91,2942.0,1
92,2940.0,1
94,2944.0,1
96,2944.0,1
98,2943.0,1
100,2945.0,1
