ts,rail,value
4400290000000,power.rails.tpu,59118559.0
4400290000000,power.rails.modem,54048384.0
4400290000000,power.rails.radio.frontend,0.0
4400290000000,power.rails.cpu.big,1104441123.0
4400290000000,power.rails.cpu.mid,273678283.0
4400290000000,power.rails.cpu.little,640129141.0
4400290000000,power.rails.system.fabric,180088724.0
4400290000000,power.rails.memory.interface,433256182.0
4400291000000,power.rails.wifi.bt,616259522.0
4400291000000,power.rails.aoc.memory,19505318.0
4400291000000,power.rails.aoc.logic,77352307.0
4400291000000,power.rails.ddr.a,79988982.0
4400291000000,power.rails.ddr.b,78939744.0
4400291000000,power.rails.ddr.c,307987191.0
4400291000000,power.rails.gpu,101316202.0
4400291000000,power.rails.display,940616066.0
4400503000000,power.rails.tpu,59121317.0
4400503000000,power.rails.modem,54051154.0
4400503000000,power.rails.radio.frontend,0.0
4400503000000,power.rails.cpu.big,1104442138.0
4400503000000,power.rails.cpu.mid,273683750.0
4400503000000,power.rails.cpu.little,640137015.0
4400503000000,power.rails.system.fabric,180099243.0
4400503000000,power.rails.memory.interface,433264474.0
4400504000000,power.rails.wifi.bt,616271921.0
4400504000000,power.rails.aoc.memory,19506181.0
4400504000000,power.rails.aoc.logic,77356100.0
4400504000000,power.rails.ddr.a,79990890.0
4400504000000,power.rails.ddr.b,78943535.0
4400504000000,power.rails.ddr.c,307991232.0
4400504000000,power.rails.gpu,101316656.0
4400504000000,power.rails.display,940662767.0
4401006000000,power.rails.tpu,59127949.0
4401006000000,power.rails.modem,54056061.0
4401006000000,power.rails.radio.frontend,0.0
4401006000000,power.rails.cpu.big,1104444693.0
4401006000000,power.rails.cpu.mid,273688996.0
4401006000000,power.rails.cpu.little,640152661.0
4401006000000,power.rails.system.fabric,180116993.0
4401006000000,power.rails.memory.interface,433276448.0
4401009000000,power.rails.wifi.bt,616275451.0
4401009000000,power.rails.aoc.memory,19507913.0
4401009000000,power.rails.aoc.logic,77364379.0
4401009000000,power.rails.ddr.a,79994351.0
4401009000000,power.rails.ddr.b,78952591.0
4401009000000,power.rails.ddr.c,308000959.0
4401009000000,power.rails.gpu,101320118.0
4401009000000,power.rails.display,940771178.0
4401505000000,power.rails.tpu,59134465.0
4401505000000,power.rails.modem,54057776.0
4401505000000,power.rails.radio.frontend,0.0
4401505000000,power.rails.cpu.big,1104454276.0
4401505000000,power.rails.cpu.mid,273697561.0
4401505000000,power.rails.cpu.little,640166019.0
4401505000000,power.rails.system.fabric,180132222.0
4401505000000,power.rails.memory.interface,433287531.0
4401506000000,power.rails.wifi.bt,616291464.0
4401506000000,power.rails.aoc.memory,19509612.0
4401506000000,power.rails.aoc.logic,77373275.0
4401506000000,power.rails.ddr.a,79999550.0
4401506000000,power.rails.ddr.b,78961435.0
4401506000000,power.rails.ddr.c,308010945.0
4401506000000,power.rails.gpu,101321058.0
4401506000000,power.rails.display,940879912.0
4402008000000,power.rails.tpu,59141068.0
4402008000000,power.rails.modem,54063153.0
4402008000000,power.rails.radio.frontend,0.0
4402008000000,power.rails.cpu.big,1104457412.0
4402008000000,power.rails.cpu.mid,273705580.0
4402008000000,power.rails.cpu.little,640178108.0
4402008000000,power.rails.system.fabric,180147820.0
4402008000000,power.rails.memory.interface,433297766.0
4402010000000,power.rails.wifi.bt,616309098.0
4402010000000,power.rails.aoc.memory,19511498.0
4402010000000,power.rails.aoc.logic,77381267.0
4402010000000,power.rails.ddr.a,80003063.0
4402010000000,power.rails.ddr.b,78970412.0
4402010000000,power.rails.ddr.c,308021028.0
4402010000000,power.rails.gpu,101322022.0
4402010000000,power.rails.display,940988520.0
4402501000000,power.rails.tpu,59147785.0
4402501000000,power.rails.modem,54066497.0
4402501000000,power.rails.radio.frontend,0.0
4402501000000,power.rails.cpu.big,1104545365.0
4402501000000,power.rails.cpu.mid,273792517.0
4402501000000,power.rails.cpu.little,640304157.0
4402501000000,power.rails.system.fabric,180166952.0
4402501000000,power.rails.memory.interface,433348462.0
4402503000000,power.rails.wifi.bt,616383978.0
4402503000000,power.rails.aoc.memory,19513310.0
4402503000000,power.rails.aoc.logic,77392042.0
4402503000000,power.rails.ddr.a,80014148.0
4402503000000,power.rails.ddr.b,78979238.0
4402503000000,power.rails.ddr.c,308066185.0
4402503000000,power.rails.gpu,101327083.0
4402503000000,power.rails.display,941097496.0
4403003000000,power.rails.tpu,59154324.0
4403003000000,power.rails.modem,54070429.0
4403003000000,power.rails.radio.frontend,0.0
4403003000000,power.rails.cpu.big,1104575810.0
4403003000000,power.rails.cpu.mid,273817994.0
4403003000000,power.rails.cpu.little,640350834.0
4403003000000,power.rails.system.fabric,180185402.0
4403003000000,power.rails.memory.interface,433374900.0
4403007000000,power.rails.wifi.bt,616649098.0
4403007000000,power.rails.aoc.memory,19515259.0
4403007000000,power.rails.aoc.logic,77402264.0
4403007000000,power.rails.ddr.a,80020563.0
4403007000000,power.rails.ddr.b,78988238.0
4403007000000,power.rails.ddr.c,308085619.0
4403007000000,power.rails.gpu,101328112.0
4403007000000,power.rails.display,941208332.0
4403476000000,power.rails.tpu,59160493.0
4403476000000,power.rails.modem,54076779.0
4403476000000,power.rails.radio.frontend,0.0
4403476000000,power.rails.cpu.big,1104592027.0
4403476000000,power.rails.cpu.mid,273834627.0
4403476000000,power.rails.cpu.little,640382860.0
4403476000000,power.rails.system.fabric,180203364.0
4403476000000,power.rails.memory.interface,433396231.0
4403478000000,power.rails.wifi.bt,616850925.0
4403478000000,power.rails.aoc.memory,19517012.0
4403478000000,power.rails.aoc.logic,77412360.0
4403478000000,power.rails.ddr.a,80024777.0
4403478000000,power.rails.ddr.b,78996641.0
4403478000000,power.rails.ddr.c,308100166.0
4403478000000,power.rails.gpu,101329021.0
4403478000000,power.rails.display,941311023.0
4404002000000,power.rails.tpu,59167365.0
4404002000000,power.rails.modem,54082743.0
4404002000000,power.rails.radio.frontend,0.0
4404002000000,power.rails.cpu.big,1104613033.0
4404002000000,power.rails.cpu.mid,273850368.0
4404002000000,power.rails.cpu.little,640411609.0
4404002000000,power.rails.system.fabric,180222713.0
4404002000000,power.rails.memory.interface,433419330.0
4404003000000,power.rails.wifi.bt,617026327.0
4404003000000,power.rails.aoc.memory,19518941.0
4404003000000,power.rails.aoc.logic,77420296.0
4404003000000,power.rails.ddr.a,80030473.0
4404003000000,power.rails.ddr.b,79006085.0
4404003000000,power.rails.ddr.c,308119105.0
4404003000000,power.rails.gpu,101330439.0
4404003000000,power.rails.display,941427010.0
4404503000000,power.rails.tpu,59173954.0
4404503000000,power.rails.modem,54088534.0
4404503000000,power.rails.radio.frontend,0.0
4404503000000,power.rails.cpu.big,1104631718.0
4404503000000,power.rails.cpu.mid,273867419.0
4404503000000,power.rails.cpu.little,640442228.0
4404503000000,power.rails.system.fabric,180241150.0
4404503000000,power.rails.memory.interface,433441778.0
4404505000000,power.rails.wifi.bt,617207503.0
4404505000000,power.rails.aoc.memory,19520756.0
4404505000000,power.rails.aoc.logic,77429349.0
4404505000000,power.rails.ddr.a,80035397.0
4404505000000,power.rails.ddr.b,79015045.0
4404505000000,power.rails.ddr.c,308134738.0
4404505000000,power.rails.gpu,101331869.0
4404505000000,power.rails.display,941520324.0
4404926000000,power.rails.tpu,59179451.0
4404926000000,power.rails.modem,54093475.0
4404926000000,power.rails.radio.frontend,0.0
4404926000000,power.rails.cpu.big,1104641973.0
4404926000000,power.rails.cpu.mid,273875859.0
4404926000000,power.rails.cpu.little,640458115.0
4404926000000,power.rails.system.fabric,180255917.0
4404926000000,power.rails.memory.interface,433456316.0
4404927000000,power.rails.wifi.bt,617310303.0
4404927000000,power.rails.aoc.memory,19522226.0
4404927000000,power.rails.aoc.logic,77436769.0
4404927000000,power.rails.ddr.a,80038500.0
4404927000000,power.rails.ddr.b,79022643.0
4404927000000,power.rails.ddr.c,308144909.0
4404927000000,power.rails.gpu,101332756.0
4404927000000,power.rails.display,941597034.0
4405504000000,power.rails.tpu,59187360.0
4405504000000,power.rails.modem,54099532.0
4405504000000,power.rails.radio.frontend,0.0
4405504000000,power.rails.cpu.big,1104957387.0
4405504000000,power.rails.cpu.mid,273918734.0
4405504000000,power.rails.cpu.little,640594598.0
4405504000000,power.rails.system.fabric,180278949.0
4405504000000,power.rails.memory.interface,433548407.0
4405505000000,power.rails.wifi.bt,617536995.0
4405505000000,power.rails.aoc.memory,19525253.0
4405505000000,power.rails.aoc.logic,77454575.0
4405505000000,power.rails.ddr.a,80055748.0
4405505000000,power.rails.ddr.b,79033072.0
4405505000000,power.rails.ddr.c,308203999.0
4405505000000,power.rails.gpu,101364391.0
4405505000000,power.rails.display,941699132.0
4406001000000,power.rails.tpu,59194502.0
4406001000000,power.rails.modem,54105846.0
4406001000000,power.rails.radio.frontend,0.0
4406001000000,power.rails.cpu.big,1105427456.0
4406001000000,power.rails.cpu.mid,273991424.0
4406001000000,power.rails.cpu.little,640788751.0
4406001000000,power.rails.system.fabric,180299893.0
4406001000000,power.rails.memory.interface,433659895.0
4406002000000,power.rails.wifi.bt,617857075.0
4406002000000,power.rails.aoc.memory,19527136.0
4406002000000,power.rails.aoc.logic,77462624.0
4406002000000,power.rails.ddr.a,80075491.0
4406002000000,power.rails.ddr.b,79042010.0
4406002000000,power.rails.ddr.c,308286002.0
4406002000000,power.rails.gpu,101368872.0
4406002000000,power.rails.display,941792655.0
4406503000000,power.rails.tpu,59201422.0
4406503000000,power.rails.modem,54109945.0
4406503000000,power.rails.radio.frontend,0.0
4406503000000,power.rails.cpu.big,1105570777.0
4406503000000,power.rails.cpu.mid,274062091.0
4406503000000,power.rails.cpu.little,640911277.0
4406503000000,power.rails.system.fabric,180319538.0
4406503000000,power.rails.memory.interface,433714316.0
4406506000000,power.rails.wifi.bt,618047790.0
4406506000000,power.rails.aoc.memory,19529067.0
4406506000000,power.rails.aoc.logic,77470702.0
4406506000000,power.rails.ddr.a,80087935.0
4406506000000,power.rails.ddr.b,79051155.0
4406506000000,power.rails.ddr.c,308329062.0
4406506000000,power.rails.gpu,101373508.0
4406506000000,power.rails.display,941890384.0
4407002000000,power.rails.tpu,59208847.0
4407002000000,power.rails.modem,54113752.0
4407002000000,power.rails.radio.frontend,0.0
4407002000000,power.rails.cpu.big,1106400014.0
4407002000000,power.rails.cpu.mid,274173463.0
4407002000000,power.rails.cpu.little,641141734.0
4407002000000,power.rails.system.fabric,180341179.0
4407002000000,power.rails.memory.interface,433867890.0
4407003000000,power.rails.wifi.bt,618264529.0
4407003000000,power.rails.aoc.memory,19531062.0
4407003000000,power.rails.aoc.logic,77480056.0
4407003000000,power.rails.ddr.a,80113257.0
4407003000000,power.rails.ddr.b,79060142.0
4407003000000,power.rails.ddr.c,308421950.0
4407003000000,power.rails.gpu,101375700.0
4407003000000,power.rails.display,941976202.0
4407504000000,power.rails.tpu,59216230.0
4407504000000,power.rails.modem,54120508.0
4407504000000,power.rails.radio.frontend,0.0
4407504000000,power.rails.cpu.big,1107065316.0
4407504000000,power.rails.cpu.mid,274216451.0
4407504000000,power.rails.cpu.little,641322226.0
4407504000000,power.rails.system.fabric,180362657.0
4407504000000,power.rails.memory.interface,433991154.0
4407506000000,power.rails.wifi.bt,618375776.0
4407506000000,power.rails.aoc.memory,19533157.0
4407506000000,power.rails.aoc.logic,77489001.0
4407506000000,power.rails.ddr.a,80134502.0
4407506000000,power.rails.ddr.b,79069215.0
4407506000000,power.rails.ddr.c,308514226.0
4407506000000,power.rails.gpu,101400742.0
4407506000000,power.rails.display,942084082.0
4408002000000,power.rails.tpu,59223261.0
4408002000000,power.rails.modem,54125049.0
4408002000000,power.rails.radio.frontend,0.0
4408002000000,power.rails.cpu.big,1107553726.0
4408002000000,power.rails.cpu.mid,274231285.0
4408002000000,power.rails.cpu.little,641458185.0
4408002000000,power.rails.system.fabric,180382718.0
4408002000000,power.rails.memory.interface,434088293.0
4408004000000,power.rails.wifi.bt,618520395.0
4408004000000,power.rails.aoc.memory,19535284.0
4408004000000,power.rails.aoc.logic,77496693.0
4408004000000,power.rails.ddr.a,80151355.0
4408004000000,power.rails.ddr.b,79078211.0
4408004000000,power.rails.ddr.c,308567364.0
4408004000000,power.rails.gpu,101407790.0
4408004000000,power.rails.display,942191172.0
4408501000000,power.rails.tpu,59230737.0
4408501000000,power.rails.modem,54129710.0
4408501000000,power.rails.radio.frontend,0.0
4408501000000,power.rails.cpu.big,1108398294.0
4408501000000,power.rails.cpu.mid,274300607.0
4408501000000,power.rails.cpu.little,641679327.0
4408501000000,power.rails.system.fabric,180404782.0
4408501000000,power.rails.memory.interface,434234843.0
4408502000000,power.rails.wifi.bt,618686367.0
4408502000000,power.rails.aoc.memory,19537347.0
4408502000000,power.rails.aoc.logic,77505272.0
4408502000000,power.rails.ddr.a,80175766.0
4408502000000,power.rails.ddr.b,79087249.0
4408502000000,power.rails.ddr.c,308655770.0
4408502000000,power.rails.gpu,101428710.0
4408502000000,power.rails.display,942297192.0
4409002000000,power.rails.tpu,59237784.0
4409002000000,power.rails.modem,54133649.0
4409002000000,power.rails.radio.frontend,0.0
4409002000000,power.rails.cpu.big,1108705313.0
4409002000000,power.rails.cpu.mid,274376704.0
4409002000000,power.rails.cpu.little,641856606.0
4409002000000,power.rails.system.fabric,180429573.0
4409002000000,power.rails.memory.interface,434332273.0
4409003000000,power.rails.wifi.bt,618807695.0
4409003000000,power.rails.aoc.memory,19539463.0
4409003000000,power.rails.aoc.logic,77512505.0
4409003000000,power.rails.ddr.a,80193942.0
4409003000000,power.rails.ddr.b,79096418.0
4409003000000,power.rails.ddr.c,308739384.0
4409003000000,power.rails.gpu,101463898.0
4409003000000,power.rails.display,942406603.0
4409502000000,power.rails.tpu,59245060.0
4409502000000,power.rails.modem,54140063.0
4409502000000,power.rails.radio.frontend,0.0
4409502000000,power.rails.cpu.big,1109053753.0
4409502000000,power.rails.cpu.mid,274470360.0
4409502000000,power.rails.cpu.little,642063831.0
4409502000000,power.rails.system.fabric,180465685.0
4409502000000,power.rails.memory.interface,434447318.0
4409504000000,power.rails.wifi.bt,619056631.0
4409504000000,power.rails.aoc.memory,19541650.0
4409504000000,power.rails.aoc.logic,77519991.0
4409504000000,power.rails.ddr.a,80214725.0
4409504000000,power.rails.ddr.b,79105493.0
4409504000000,power.rails.ddr.c,308820624.0
4409504000000,power.rails.gpu,101496547.0
4409504000000,power.rails.display,942514687.0
4410002000000,power.rails.tpu,59252129.0
4410002000000,power.rails.modem,54145708.0
4410002000000,power.rails.radio.frontend,0.0
