measurement_timestamp,measurment_value
2026-07-03T17:49:04.972000+02:00,1350
2026-07-03T17:49:05.023000+02:00,1110
2026-07-03T17:49:05.073000+02:00,1290
2026-07-03T17:49:05.123000+02:00,1200
2026-07-03T17:49:05.173000+02:00,1630
2026-07-03T17:49:05.223000+02:00,3270
2026-07-03T17:49:05.273000+02:00,2200
2026-07-03T17:49:05.323000+02:00,1540
2026-07-03T17:49:05.373000+02:00,1320
2026-07-03T17:49:05.423000+02:00,1340
2026-07-03T17:49:05.474000+02:00,1370
2026-07-03T17:49:05.524000+02:00,1320
2026-07-03T17:49:05.574000+02:00,1550
2026-07-03T17:49:05.624000+02:00,1480
2026-07-03T17:49:05.674000+02:00,1200
2026-07-03T17:49:05.724000+02:00,1360
2026-07-03T17:49:05.774000+02:00,1570
2026-07-03T17:49:05.824000+02:00,1420
2026-07-03T17:49:05.874000+02:00,1270
2026-07-03T17:49:05.928000+02:00,1350
2026-07-03T17:49:05.974000+02:00,1450
2026-07-03T17:49:06.028000+02:00,1310
2026-07-03T17:49:06.074000+02:00,1260
2026-07-03T17:49:06.128000+02:00,1330
2026-07-03T17:49:06.175000+02:00,1190
2026-07-03T17:49:06.228000+02:00,1240
2026-07-03T17:49:06.275000+02:00,1200
2026-07-03T17:49:06.328000+02:00,1250
2026-07-03T17:49:06.375000+02:00,1260
2026-07-03T17:49:06.428000+02:00,1420
2026-07-03T17:49:06.475000+02:00,1250
2026-07-03T17:49:06.528000+02:00,1390
2026-07-03T17:49:06.575000+02:00,1330
2026-07-03T17:49:06.628000+02:00,1270
2026-07-03T17:49:06.675000+02:00,1380
2026-07-03T17:49:06.728000+02:00,1280
2026-07-03T17:49:06.776000+02:00,1190
2026-07-03T17:49:06.828000+02:00,1160
2026-07-03T17:49:06.876000+02:00,1200
2026-07-03T17:49:06.928000+02:00,1410
2026-07-03T17:49:06.976000+02:00,1260
2026-07-03T17:49:07.028000+02:00,1340
2026-07-03T17:49:07.076000+02:00,1170
2026-07-03T17:49:07.128000+02:00,1070
2026-07-03T17:49:07.176000+02:00,1180
2026-07-03T17:49:07.227000+02:00,1430
2026-07-03T17:49:07.276000+02:00,1220
2026-07-03T17:49:07.327000+02:00,2560
2026-07-03T17:49:07.377000+02:00,4400
2026-07-03T17:49:07.427000+02:00,3030
2026-07-03T17:49:07.477000+02:00,3800
2026-07-03T17:49:07.527000+02:00,8460
2026-07-03T17:49:07.577000+02:00,6190
2026-07-03T17:49:07.627000+02:00,2500
2026-07-03T17:49:07.677000+02:00,2670
2026-07-03T17:49:07.727000+02:00,1430
2026-07-03T17:49:07.777000+02:00,1540
2026-07-03T17:49:07.829000+02:00,1390
2026-07-03T17:49:07.878000+02:00,1230
2026-07-03T17:49:07.929000+02:00,1220
2026-07-03T17:49:07.979000+02:00,1170
2026-07-03T17:49:08.029000+02:00,1210
2026-07-03T17:49:08.079000+02:00,1090
2026-07-03T17:49:08.129000+02:00,1630
2026-07-03T17:49:08.179000+02:00,1280
