ts,rail,value
8366003000000,power.rails.tpu,114460910.0
8366003000000,power.rails.modem,100131896.0
8366003000000,power.rails.radio.frontend,0.0
8366003000000,power.rails.cpu.big,2516759932.0
8366003000000,power.rails.cpu.mid,569271932.0
8366003000000,power.rails.cpu.little,1386531642.0
8366003000000,power.rails.system.fabric,360300948.0
8366003000000,power.rails.memory.interface,942300833.0
8366006000000,power.rails.wifi.bt,1319231064.0
8366006000000,power.rails.aoc.memory,40548131.0
8366006000000,power.rails.aoc.logic,155663186.0
8366006000000,power.rails.ddr.a,167508889.0
8366006000000,power.rails.ddr.b,150501047.0
8366006000000,power.rails.ddr.c,667867081.0
8366006000000,power.rails.gpu,225860040.0
8366006000000,power.rails.display,1814965847.0
8366503000000,power.rails.tpu,114467656.0
8366503000000,power.rails.modem,100133959.0
8366503000000,power.rails.radio.frontend,0.0
8366503000000,power.rails.cpu.big,2516782047.0
8366503000000,power.rails.cpu.mid,569302787.0
8366503000000,power.rails.cpu.little,1386593245.0
8366503000000,power.rails.system.fabric,360320464.0
8366503000000,power.rails.memory.interface,942340809.0
8366505000000,power.rails.wifi.bt,1319269093.0
8366505000000,power.rails.aoc.memory,40550035.0
8366505000000,power.rails.aoc.logic,155669307.0
8366505000000,power.rails.ddr.a,167516140.0
8366505000000,power.rails.ddr.b,150509978.0
8366505000000,power.rails.ddr.c,667894921.0
8366505000000,power.rails.gpu,225885372.0
8366505000000,power.rails.display,1815075230.0
8366943000000,power.rails.tpu,114473492.0
8366943000000,power.rails.modem,100136661.0
8366943000000,power.rails.radio.frontend,0.0
8366943000000,power.rails.cpu.big,2516789795.0
8366943000000,power.rails.cpu.mid,569321840.0
8366943000000,power.rails.cpu.little,1386627351.0
8366943000000,power.rails.system.fabric,360337162.0
8366943000000,power.rails.memory.interface,942371457.0
8366947000000,power.rails.wifi.bt,1319279058.0
8366947000000,power.rails.aoc.memory,40551685.0
8366947000000,power.rails.aoc.logic,155675568.0
8366947000000,power.rails.ddr.a,167520918.0
8366947000000,power.rails.ddr.b,150517803.0
8366947000000,power.rails.ddr.c,667913538.0
8366947000000,power.rails.gpu,225890986.0
8366947000000,power.rails.display,1815176139.0
