measurement_timestamp,measurment_value
2026-07-03T16:27:37.873000+02:00,7080
2026-07-03T16:27:37.923000+02:00,5810
2026-07-03T16:27:37.973000+02:00,6630
2026-07-03T16:27:38.023000+02:00,8600
2026-07-03T16:27:38.074000+02:00,4490
2026-07-03T16:27:38.124000+02:00,5350
2026-07-03T16:27:38.174000+02:00,3520
2026-07-03T16:27:38.224000+02:00,3530
2026-07-03T16:27:38.274000+02:00,3470
2026-07-03T16:27:38.324000+02:00,2940
2026-07-03T16:27:38.374000+02:00,2810
2026-07-03T16:27:38.424000+02:00,3790
2026-07-03T16:27:38.474000+02:00,3070
2026-07-03T16:27:38.524000+02:00,2950
2026-07-03T16:27:38.574000+02:00,2230
2026-07-03T16:27:38.624000+02:00,2830
2026-07-03T16:27:38.674000+02:00,2900
2026-07-03T16:27:38.725000+02:00,4300
2026-07-03T16:27:38.775000+02:00,6400
2026-07-03T16:27:38.825000+02:00,4000
2026-07-03T16:27:38.875000+02:00,2920
2026-07-03T16:27:38.925000+02:00,2620
2026-07-03T16:27:38.975000+02:00,2550
2026-07-03T16:27:39.025000+02:00,2480
2026-07-03T16:27:39.075000+02:00,1770
2026-07-03T16:27:39.125000+02:00,2440
2026-07-03T16:27:39.175000+02:00,2580
2026-07-03T16:27:39.225000+02:00,3720
2026-07-03T16:27:39.276000+02:00,6430
2026-07-03T16:27:39.326000+02:00,5950
2026-07-03T16:27:39.376000+02:00,5390
2026-07-03T16:27:39.426000+02:00,3780
2026-07-03T16:27:39.476000+02:00,4770
2026-07-03T16:27:39.526000+02:00,2650
2026-07-03T16:27:39.576000+02:00,2009
2026-07-03T16:27:39.626000+02:00,1950
2026-07-03T16:27:39.676000+02:00,2650
2026-07-03T16:27:39.726000+02:00,3320
2026-07-03T16:27:39.776000+02:00,3820
2026-07-03T16:27:39.826000+02:00,2440
2026-07-03T16:27:39.876000+02:00,2120
2026-07-03T16:27:39.926000+02:00,1800
2026-07-03T16:27:39.977000+02:00,1770
2026-07-03T16:27:40.027000+02:00,2120
2026-07-03T16:27:40.077000+02:00,6100
2026-07-03T16:27:40.131000+02:00,2720
2026-07-03T16:27:40.177000+02:00,2490
2026-07-03T16:27:40.231000+02:00,2430
2026-07-03T16:27:40.277000+02:00,2120
2026-07-03T16:27:40.331000+02:00,1710
2026-07-03T16:27:40.377000+02:00,1560
2026-07-03T16:27:40.431000+02:00,1610
2026-07-03T16:27:40.477000+02:00,2140
2026-07-03T16:27:40.531000+02:00,1620
2026-07-03T16:27:40.578000+02:00,1700
2026-07-03T16:27:40.631000+02:00,1760
2026-07-03T16:27:40.678000+02:00,2080
2026-07-03T16:27:40.731000+02:00,2009
2026-07-03T16:27:40.778000+02:00,1930
2026-07-03T16:27:40.831000+02:00,2240
2026-07-03T16:27:40.878000+02:00,2090
2026-07-03T16:27:40.931000+02:00,1500
2026-07-03T16:27:40.978000+02:00,1700
2026-07-03T16:27:41.031000+02:00,2300
2026-07-03T16:27:41.078000+02:00,1770
