ts,rail,value
3478807000000,power.rails.tpu,46727611.0
3478807000000,power.rails.modem,45394545.0
3478807000000,power.rails.radio.frontend,0.0
3478807000000,power.rails.cpu.big,874060439.0
3478807000000,power.rails.cpu.mid,224936400.0
3478807000000,power.rails.cpu.little,508891076.0
3478807000000,power.rails.system.fabric,141756896.0
3478807000000,power.rails.memory.interface,349518611.0
3478808000000,power.rails.wifi.bt,464265074.0
3478808000000,power.rails.aoc.memory,15786721.0
3478808000000,power.rails.aoc.logic,62216293.0
3478808000000,power.rails.ddr.a,63281361.0
3478808000000,power.rails.ddr.b,62428949.0
3478808000000,power.rails.ddr.c,249953604.0
3478808000000,power.rails.gpu,92619827.0
3478808000000,power.rails.display,758989262.0
3479003000000,power.rails.tpu,46730370.0
3479003000000,power.rails.modem,45397709.0
3479003000000,power.rails.radio.frontend,0.0
3479003000000,power.rails.cpu.big,874183675.0
3479003000000,power.rails.cpu.mid,224954874.0
3479003000000,power.rails.cpu.little,508959132.0
3479003000000,power.rails.system.fabric,141770810.0
3479003000000,power.rails.memory.interface,349574657.0
3479004000000,power.rails.wifi.bt,464290739.0
3479004000000,power.rails.aoc.memory,15788179.0
3479004000000,power.rails.aoc.logic,62222969.0
3479004000000,power.rails.ddr.a,63291093.0
3479004000000,power.rails.ddr.b,62432568.0
3479004000000,power.rails.ddr.c,249991381.0
3479004000000,power.rails.gpu,92626412.0
3479004000000,power.rails.display,759031734.0
3479448000000,power.rails.tpu,46736602.0
3479448000000,power.rails.modem,45405262.0
3479448000000,power.rails.radio.frontend,0.0
3479448000000,power.rails.cpu.big,874337476.0
3479448000000,power.rails.cpu.mid,225007274.0
3479448000000,power.rails.cpu.little,509080223.0
3479448000000,power.rails.system.fabric,141800930.0
3479448000000,power.rails.memory.interface,349640917.0
3479449000000,power.rails.wifi.bt,464342251.0
3479449000000,power.rails.aoc.memory,15791356.0
3479449000000,power.rails.aoc.logic,62238721.0
3479449000000,power.rails.ddr.a,63301301.0
3479449000000,power.rails.ddr.b,62440872.0
3479449000000,power.rails.ddr.c,250042266.0
3479449000000,power.rails.gpu,92641199.0
3479449000000,power.rails.display,759140704.0
3480002000000,power.rails.tpu,46744364.0
3480002000000,power.rails.modem,45411399.0
3480002000000,power.rails.radio.frontend,0.0
3480002000000,power.rails.cpu.big,874662722.0
3480002000000,power.rails.cpu.mid,225052279.0
3480002000000,power.rails.cpu.little,509232028.0
3480002000000,power.rails.system.fabric,141835920.0
3480002000000,power.rails.memory.interface,349747635.0
3480003000000,power.rails.wifi.bt,464442409.0
3480003000000,power.rails.aoc.memory,15795276.0
3480003000000,power.rails.aoc.logic,62258187.0
3480003000000,power.rails.ddr.a,63319993.0
3480003000000,power.rails.ddr.b,62450999.0
3480003000000,power.rails.ddr.c,250114827.0
3480003000000,power.rails.gpu,92664591.0
3480003000000,power.rails.display,759286737.0
3480502000000,power.rails.tpu,46751501.0
3480502000000,power.rails.modem,45415964.0
3480502000000,power.rails.radio.frontend,0.0
3480502000000,power.rails.cpu.big,875066398.0
3480502000000,power.rails.cpu.mid,225092947.0
3480502000000,power.rails.cpu.little,509415296.0
3480502000000,power.rails.system.fabric,141867887.0
3480502000000,power.rails.memory.interface,349865501.0
3480505000000,power.rails.wifi.bt,464502224.0
3480505000000,power.rails.aoc.memory,15798828.0
3480505000000,power.rails.aoc.logic,62275826.0
3480505000000,power.rails.ddr.a,63340489.0
3480505000000,power.rails.ddr.b,62460288.0
3480505000000,power.rails.ddr.c,250198717.0
3480505000000,power.rails.gpu,92700752.0
3480505000000,power.rails.display,759418368.0
3481003000000,power.rails.tpu,46758244.0
3481003000000,power.rails.modem,45420948.0
3481003000000,power.rails.radio.frontend,0.0
3481003000000,power.rails.cpu.big,875178025.0
3481003000000,power.rails.cpu.mid,225142451.0
3481003000000,power.rails.cpu.little,509562534.0
3481003000000,power.rails.system.fabric,141900473.0
3481003000000,power.rails.memory.interface,349942480.0
3481005000000,power.rails.wifi.bt,464552696.0
3481005000000,power.rails.aoc.memory,15802263.0
3481005000000,power.rails.aoc.logic,62293280.0
