measurement_timestamp,measurment_value
2026-07-02T17:32:28.232000+02:00,1590
2026-07-02T17:32:28.282000+02:00,1680
2026-07-02T17:32:28.332000+02:00,1620
2026-07-02T17:32:28.382000+02:00,2020
2026-07-02T17:32:28.432000+02:00,5220
2026-07-02T17:32:28.482000+02:00,3220
2026-07-02T17:32:28.532000+02:00,2590
2026-07-02T17:32:28.582000+02:00,1490
2026-07-02T17:32:28.632000+02:00,1420
2026-07-02T17:32:28.682000+02:00,1390
2026-07-02T17:32:28.732000+02:00,1380
2026-07-02T17:32:28.782000+02:00,1270
2026-07-02T17:32:28.832000+02:00,1170
2026-07-02T17:32:28.883000+02:00,1170
2026-07-02T17:32:28.933000+02:00,1170
2026-07-02T17:32:28.983000+02:00,1140
2026-07-02T17:32:29.033000+02:00,1220
2026-07-02T17:32:29.083000+02:00,1090
2026-07-02T17:32:29.133000+02:00,1230
2026-07-02T17:32:29.183000+02:00,1100
2026-07-02T17:32:29.233000+02:00,1140
2026-07-02T17:32:29.283000+02:00,1130
2026-07-02T17:32:29.333000+02:00,1140
2026-07-02T17:32:29.384000+02:00,1150
2026-07-02T17:32:29.434000+02:00,1640
2026-07-02T17:32:29.485000+02:00,1300
2026-07-02T17:32:29.534000+02:00,1150
2026-07-02T17:32:29.584000+02:00,1180
2026-07-02T17:32:29.634000+02:00,1770
2026-07-02T17:32:29.685000+02:00,1370
2026-07-02T17:32:29.735000+02:00,1370
2026-07-02T17:32:29.785000+02:00,1420
2026-07-02T17:32:29.835000+02:00,1180
2026-07-02T17:32:29.885000+02:00,1140
2026-07-02T17:32:29.935000+02:00,1170
2026-07-02T17:32:29.985000+02:00,1370
2026-07-02T17:32:30.035000+02:00,1520
2026-07-02T17:32:30.085000+02:00,1130
2026-07-02T17:32:30.135000+02:00,1130
2026-07-02T17:32:30.189000+02:00,1350
2026-07-02T17:32:30.235000+02:00,1180
2026-07-02T17:32:30.289000+02:00,1190
2026-07-02T17:32:30.336000+02:00,1140
2026-07-02T17:32:30.389000+02:00,1260
2026-07-02T17:32:30.436000+02:00,1220
2026-07-02T17:32:30.489000+02:00,1220
2026-07-02T17:32:30.536000+02:00,1990
2026-07-02T17:32:30.589000+02:00,3750
2026-07-02T17:32:30.636000+02:00,2200
2026-07-02T17:32:30.689000+02:00,1870
2026-07-02T17:32:30.736000+02:00,1900
2026-07-02T17:32:30.789000+02:00,4760
2026-07-02T17:32:30.836000+02:00,2350
2026-07-02T17:32:30.889000+02:00,2500
2026-07-02T17:32:30.936000+02:00,2720
2026-07-02T17:32:30.989000+02:00,2290
2026-07-02T17:32:31.037000+02:00,2920
