ts,bytes,event_id
1,493925,1
2,493925,1
3,493925,1
4,493925,1
5,493925,1
6,493925,1
7,493925,1
8,494075,1
9,493925,1
10,493925,1
11,493925,1
12,493925,1
13,493925,1
14,493925,1
15,493925,1
16,493925,1
17,493925,1
18,493925,1
19,493925,1
20,493925,1
21,493925,1
22,493925,1
23,493925,1
24,493925,1
25,493925,1
26,493925,1
27,493925,1
28,493925,1
29,493925,1
30,493925,1
31,493925,1
32,493925,1
33,493925,1
34,493923,1
35,493924,1
36,493924,1
37,493924,1
38,493924,1
39,493924,1
40,493924,1
41,493924,1
42,493924,1
43,493924,1
44,493924,1
45,493924,1
46,493925,1
47,493925,1
48,493925,1
49,493925,1
50,493925,1
51,493925,1
52,493925,1
53,494081,1
54,493925,1
55,493925,1
56,493925,1
57,493925,1
58,493922,1
59,493923,1
60,493923,1
61,493923,1
62,493923,1
63,493923,1
64,493923,1
65,493923,1
66,493923,1
67,493923,1
68,502835,1
69,493917,1
70,493920,1
71,502824,1
72,493908,1
73,493912,1
74,493912,1
75,493912,1
76,494062,1
77,493912,1
78,493912,1
79,493912,1
80,493912,1
81,493914,1
82,493914,1
83,493914,1
84,493918,1
85,493918,1
86,493918,1
87,493918,1
88,493918,1
89,493918,1
90,493918,1
91,493918,1
92,493918,1
93,493918,1
94,493918,1
95,493918,1
96,493918,1
97,493918,1
98,493918,1
99,493918,1
100,493918,1
