measurement_timestamp,measurment_value
2026-07-01T13:33:30.224000+02:00,2060
2026-07-01T13:33:30.274000+02:00,1970
2026-07-01T13:33:30.323000+02:00,2100
2026-07-01T13:33:30.373000+02:00,2120
2026-07-01T13:33:30.423000+02:00,2340
2026-07-01T13:33:30.474000+02:00,2870
2026-07-01T13:33:30.524000+02:00,2000
2026-07-01T13:33:30.574000+02:00,4460
2026-07-01T13:33:30.624000+02:00,5280
2026-07-01T13:33:30.674000+02:00,5210
2026-07-01T13:33:30.724000+02:00,4610
2026-07-01T13:33:30.774000+02:00,2300
2026-07-01T13:33:30.824000+02:00,2140
2026-07-01T13:33:30.874000+02:00,2130
2026-07-01T13:33:30.924000+02:00,2320
2026-07-01T13:33:30.974000+02:00,1960
2026-07-01T13:33:31.025000+02:00,1740
2026-07-01T13:33:31.075000+02:00,2180
2026-07-01T13:33:31.125000+02:00,2190
2026-07-01T13:33:31.175000+02:00,2100
2026-07-01T13:33:31.225000+02:00,2280
2026-07-01T13:33:31.275000+02:00,2250
2026-07-01T13:33:31.325000+02:00,1970
2026-07-01T13:33:31.375000+02:00,1750
2026-07-01T13:33:31.425000+02:00,2029
2026-07-01T13:33:31.475000+02:00,1950
2026-07-01T13:33:31.525000+02:00,1900
2026-07-01T13:33:31.575000+02:00,5280
2026-07-01T13:33:31.625000+02:00,5760
2026-07-01T13:33:31.675000+02:00,3160
2026-07-01T13:33:31.726000+02:00,2900
2026-07-01T13:33:31.779000+02:00,2990
2026-07-01T13:33:31.827000+02:00,5550
2026-07-01T13:33:31.877000+02:00,5800
2026-07-01T13:33:31.927000+02:00,1810
2026-07-01T13:33:31.977000+02:00,1780
2026-07-01T13:33:32.027000+02:00,1300
2026-07-01T13:33:32.077000+02:00,1340
2026-07-01T13:33:32.127000+02:00,1960
2026-07-01T13:33:32.177000+02:00,1160
2026-07-01T13:33:32.227000+02:00,1070
2026-07-01T13:33:32.277000+02:00,1160
2026-07-01T13:33:32.327000+02:00,1150
2026-07-01T13:33:32.377000+02:00,1030
2026-07-01T13:33:32.427000+02:00,1170
2026-07-01T13:33:32.478000+02:00,1710
2026-07-01T13:33:32.532000+02:00,3450
2026-07-01T13:33:32.578000+02:00,1930
2026-07-01T13:33:32.632000+02:00,2280
2026-07-01T13:33:32.678000+02:00,2130
2026-07-01T13:33:32.732000+02:00,1680
2026-07-01T13:33:32.778000+02:00,5360
2026-07-01T13:33:32.832000+02:00,3190
2026-07-01T13:33:32.878000+02:00,1460
2026-07-01T13:33:32.932000+02:00,1980
2026-07-01T13:33:32.978000+02:00,1240
2026-07-01T13:33:33.032000+02:00,1330
2026-07-01T13:33:33.078000+02:00,1130
2026-07-01T13:33:33.132000+02:00,1620
2026-07-01T13:33:33.179000+02:00,2490
2026-07-01T13:33:33.232000+02:00,1860
2026-07-01T13:33:33.279000+02:00,1590
2026-07-01T13:33:33.332000+02:00,1710
2026-07-01T13:33:33.379000+02:00,1650
2026-07-01T13:33:33.432000+02:00,1630
2026-07-01T13:33:33.479000+02:00,1840
2026-07-01T13:33:33.532000+02:00,2050
2026-07-01T13:33:33.579000+02:00,1790
2026-07-01T13:33:33.632000+02:00,1610
2026-07-01T13:33:33.679000+02:00,1630
2026-07-01T13:33:33.732000+02:00,1660
2026-07-01T13:33:33.779000+02:00,1690
2026-07-01T13:33:33.832000+02:00,1650
2026-07-01T13:33:33.880000+02:00,1610
2026-07-01T13:33:33.933000+02:00,1690
2026-07-01T13:33:33.980000+02:00,1640
2026-07-01T13:33:34.033000+02:00,1770
2026-07-01T13:33:34.080000+02:00,1680
2026-07-01T13:33:34.133000+02:00,1770
2026-07-01T13:33:34.180000+02:00,1880
2026-07-01T13:33:34.233000+02:00,1880
2026-07-01T13:33:34.280000+02:00,1820
2026-07-01T13:33:34.333000+02:00,2290
2026-07-01T13:33:34.380000+02:00,1940
2026-07-01T13:33:34.434000+02:00,2029
2026-07-01T13:33:34.485000+02:00,2230
2026-07-01T13:33:34.533000+02:00,2000
2026-07-01T13:33:34.583000+02:00,1810
2026-07-01T13:33:34.633000+02:00,1680
2026-07-01T13:33:34.683000+02:00,1790
2026-07-01T13:33:34.733000+02:00,1710
2026-07-01T13:33:34.783000+02:00,1630
2026-07-01T13:33:34.834000+02:00,3580
2026-07-01T13:33:34.884000+02:00,5070
2026-07-01T13:33:34.934000+02:00,6030
2026-07-01T13:33:34.984000+02:00,5970
2026-07-01T13:33:35.034000+02:00,3420
2026-07-01T13:33:35.084000+02:00,2550
2026-07-01T13:33:35.134000+02:00,2470
2026-07-01T13:33:35.184000+02:00,2370
2026-07-01T13:33:35.234000+02:00,2420
2026-07-01T13:33:35.284000+02:00,2230
2026-07-01T13:33:35.334000+02:00,1930
2026-07-01T13:33:35.384000+02:00,1960
2026-07-01T13:33:35.434000+02:00,1820
2026-07-01T13:33:35.485000+02:00,1990
2026-07-01T13:33:35.535000+02:00,2020
2026-07-01T13:33:35.586000+02:00,2040
2026-07-01T13:33:35.635000+02:00,1910
2026-07-01T13:33:35.685000+02:00,1820
2026-07-01T13:33:35.735000+02:00,1850
2026-07-01T13:33:35.786000+02:00,2009
2026-07-01T13:33:35.836000+02:00,3650
2026-07-01T13:33:35.885000+02:00,4170
2026-07-01T13:33:35.935000+02:00,5420
2026-07-01T13:33:35.985000+02:00,5860
2026-07-01T13:33:36.036000+02:00,3450
2026-07-01T13:33:36.086000+02:00,2870
2026-07-01T13:33:36.136000+02:00,2350
2026-07-01T13:33:36.186000+02:00,2340
2026-07-01T13:33:36.236000+02:00,2190
2026-07-01T13:33:36.286000+02:00,1970
2026-07-01T13:33:36.336000+02:00,2820
2026-07-01T13:33:36.386000+02:00,1960
2026-07-01T13:33:36.436000+02:00,1830
2026-07-01T13:33:36.486000+02:00,1990
2026-07-01T13:33:36.536000+02:00,1880
2026-07-01T13:33:36.587000+02:00,2670
2026-07-01T13:33:36.637000+02:00,2050
2026-07-01T13:33:36.687000+02:00,1980
2026-07-01T13:33:36.737000+02:00,2250
2026-07-01T13:33:36.787000+02:00,2740
2026-07-01T13:33:36.837000+02:00,4160
2026-07-01T13:33:36.887000+02:00,4190
2026-07-01T13:33:36.937000+02:00,7220
2026-07-01T13:33:36.987000+02:00,4550
2026-07-01T13:33:37.037000+02:00,2800
2026-07-01T13:33:37.087000+02:00,4550
2026-07-01T13:33:37.138000+02:00,4030
2026-07-01T13:33:37.188000+02:00,3740
2026-07-01T13:33:37.238000+02:00,1280
2026-07-01T13:33:37.288000+02:00,1230
2026-07-01T13:33:37.338000+02:00,1150
2026-07-01T13:33:37.388000+02:00,1200
2026-07-01T13:33:37.438000+02:00,1440
2026-07-01T13:33:37.488000+02:00,1180
2026-07-01T13:33:37.538000+02:00,1300
2026-07-01T13:33:37.588000+02:00,1230
2026-07-01T13:33:37.638000+02:00,1610
2026-07-01T13:33:37.688000+02:00,1440
2026-07-01T13:33:37.739000+02:00,1140
2026-07-01T13:33:37.789000+02:00,1320
2026-07-01T13:33:37.839000+02:00,1200
2026-07-01T13:33:37.889000+02:00,2380
2026-07-01T13:33:37.939000+02:00,1370
2026-07-01T13:33:37.989000+02:00,1150
2026-07-01T13:33:38.039000+02:00,1140
2026-07-01T13:33:38.089000+02:00,1220
2026-07-01T13:33:38.139000+02:00,1120
2026-07-01T13:33:38.189000+02:00,1150
2026-07-01T13:33:38.239000+02:00,1040
2026-07-01T13:33:38.289000+02:00,1150
2026-07-01T13:33:38.340000+02:00,1350
2026-07-01T13:33:38.390000+02:00,1380
2026-07-01T13:33:38.440000+02:00,1090
2026-07-01T13:33:38.490000+02:00,1340
2026-07-01T13:33:38.540000+02:00,1000
2026-07-01T13:33:38.590000+02:00,1180
2026-07-01T13:33:38.640000+02:00,1030
2026-07-01T13:33:38.690000+02:00,1110
2026-07-01T13:33:38.740000+02:00,1750
2026-07-01T13:33:38.790000+02:00,1450
2026-07-01T13:33:38.840000+02:00,1460
2026-07-01T13:33:38.890000+02:00,1160
2026-07-01T13:33:38.940000+02:00,1070
2026-07-01T13:33:38.991000+02:00,1040
2026-07-01T13:33:39.041000+02:00,990
2026-07-01T13:33:39.091000+02:00,1160
2026-07-01T13:33:39.141000+02:00,1210
2026-07-01T13:33:39.191000+02:00,1310
2026-07-01T13:33:39.241000+02:00,1080
2026-07-01T13:33:39.292000+02:00,1060
2026-07-01T13:33:39.341000+02:00,1100
2026-07-01T13:33:39.391000+02:00,1160
2026-07-01T13:33:39.441000+02:00,1090
2026-07-01T13:33:39.491000+02:00,1050
2026-07-01T13:33:39.541000+02:00,1180
2026-07-01T13:33:39.592000+02:00,1070
2026-07-01T13:33:39.642000+02:00,1000
2026-07-01T13:33:39.692000+02:00,1090
2026-07-01T13:33:39.742000+02:00,1030
2026-07-01T13:33:39.792000+02:00,1070
2026-07-01T13:33:39.842000+02:00,1070
2026-07-01T13:33:39.892000+02:00,1160
2026-07-01T13:33:39.942000+02:00,1010
2026-07-01T13:33:39.992000+02:00,1110
2026-07-01T13:33:40.042000+02:00,1100
2026-07-01T13:33:40.092000+02:00,1060
2026-07-01T13:33:40.142000+02:00,1060
2026-07-01T13:33:40.192000+02:00,1000
2026-07-01T13:33:40.243000+02:00,1060
2026-07-01T13:33:40.297000+02:00,1040
2026-07-01T13:33:40.343000+02:00,1230
2026-07-01T13:33:40.397000+02:00,1410
2026-07-01T13:33:40.443000+02:00,1210
2026-07-01T13:33:40.497000+02:00,1170
2026-07-01T13:33:40.543000+02:00,1230
2026-07-01T13:33:40.597000+02:00,1080
