ts,rail,value
11128314000000,power.rails.tpu,143074506.0
11128314000000,power.rails.modem,83040911.0
11128314000000,power.rails.radio.frontend,1650.0
11128314000000,power.rails.cpu.big,512453858.0
11128314000000,power.rails.cpu.mid,253486386.0
11128314000000,power.rails.cpu.little,485066883.0
11128314000000,power.rails.system.fabric,329559567.0
11128314000000,power.rails.memory.interface,351847387.0
11128315000000,power.rails.wifi.bt,919197424.0
11128315000000,power.rails.aoc.memory,33802072.0
11128315000000,power.rails.aoc.logic,163969949.0
11128315000000,power.rails.ddr.a,101569873.0
11128315000000,power.rails.ddr.b,197699320.0
11128315000000,power.rails.ddr.c,295811192.0
11128315000000,power.rails.gpu,65732002.0
11128315000000,power.rails.display,3553325400.0
11128502000000,power.rails.tpu,143077160.0
11128502000000,power.rails.modem,83043473.0
11128502000000,power.rails.radio.frontend,1650.0
11128502000000,power.rails.cpu.big,512668533.0
11128502000000,power.rails.cpu.mid,253494648.0
11128502000000,power.rails.cpu.little,485119305.0
11128502000000,power.rails.system.fabric,329567857.0
11128502000000,power.rails.memory.interface,351888053.0
11128503000000,power.rails.wifi.bt,919250881.0
11128503000000,power.rails.aoc.memory,33802692.0
11128503000000,power.rails.aoc.logic,163973862.0
11128503000000,power.rails.ddr.a,101577799.0
11128503000000,power.rails.ddr.b,197702653.0
11128503000000,power.rails.ddr.c,295843958.0
11128503000000,power.rails.gpu,65732438.0
11128503000000,power.rails.display,3553397277.0
11129002000000,power.rails.tpu,143083823.0
11129002000000,power.rails.modem,83048076.0
11129002000000,power.rails.radio.frontend,1650.0
11129002000000,power.rails.cpu.big,512794900.0
11129002000000,power.rails.cpu.mid,253554997.0
11129002000000,power.rails.cpu.little,485214000.0
11129002000000,power.rails.system.fabric,329589968.0
11129002000000,power.rails.memory.interface,351953330.0
11129003000000,power.rails.wifi.bt,919403502.0
11129003000000,power.rails.aoc.memory,33804355.0
11129003000000,power.rails.aoc.logic,163980916.0
11129003000000,power.rails.ddr.a,101591910.0
11129003000000,power.rails.ddr.b,197711513.0
11129003000000,power.rails.ddr.c,295889941.0
11129003000000,power.rails.gpu,65741097.0
11129003000000,power.rails.display,3553601809.0
11129502000000,power.rails.tpu,143090602.0
11129502000000,power.rails.modem,83053189.0
11129502000000,power.rails.radio.frontend,1650.0
11129502000000,power.rails.cpu.big,513070193.0
11129502000000,power.rails.cpu.mid,253587500.0
11129502000000,power.rails.cpu.little,485311678.0
11129502000000,power.rails.system.fabric,329612061.0
11129502000000,power.rails.memory.interface,352019334.0
11129503000000,power.rails.wifi.bt,919553757.0
11129503000000,power.rails.aoc.memory,33805936.0
11129503000000,power.rails.aoc.logic,163988451.0
11129503000000,power.rails.ddr.a,101604031.0
11129503000000,power.rails.ddr.b,197720473.0
11129503000000,power.rails.ddr.c,295945266.0
11129503000000,power.rails.gpu,65745113.0
11129503000000,power.rails.display,3553808949.0
11130006000000,power.rails.tpu,143097368.0
11130006000000,power.rails.modem,83057508.0
11130006000000,power.rails.radio.frontend,1650.0
11130006000000,power.rails.cpu.big,513173701.0
11130006000000,power.rails.cpu.mid,253616591.0
11130006000000,power.rails.cpu.little,485393840.0
11130006000000,power.rails.system.fabric,329631897.0
11130006000000,power.rails.memory.interface,352100002.0
11130007000000,power.rails.wifi.bt,919601902.0
11130007000000,power.rails.aoc.memory,33807549.0
11130007000000,power.rails.aoc.logic,163996648.0
11130007000000,power.rails.ddr.a,101621203.0
11130007000000,power.rails.ddr.b,197729495.0
11130007000000,power.rails.ddr.c,296024252.0
11130007000000,power.rails.gpu,65753728.0
11130007000000,power.rails.display,3554023075.0
11130504000000,power.rails.tpu,143103817.0
11130504000000,power.rails.modem,83063032.0
11130504000000,power.rails.radio.frontend,1650.0
11130504000000,power.rails.cpu.big,513192546.0
11130504000000,power.rails.cpu.mid,253630074.0
11130504000000,power.rails.cpu.little,485433703.0
11130504000000,power.rails.system.fabric,329648731.0
