measurement_timestamp,measurment_value
2026-07-01T13:50:44.215000+02:00,1630
2026-07-01T13:50:44.264000+02:00,1750
2026-07-01T13:50:44.314000+02:00,1560
2026-07-01T13:50:44.364000+02:00,2810
2026-07-01T13:50:44.414000+02:00,2150
2026-07-01T13:50:44.464000+02:00,1960
2026-07-01T13:50:44.514000+02:00,1240
2026-07-01T13:50:44.564000+02:00,1340
2026-07-01T13:50:44.614000+02:00,1360
2026-07-01T13:50:44.664000+02:00,1400
2026-07-01T13:50:44.714000+02:00,1160
2026-07-01T13:50:44.764000+02:00,1160
2026-07-01T13:50:44.814000+02:00,1560
2026-07-01T13:50:44.864000+02:00,1180
2026-07-01T13:50:44.914000+02:00,1230
2026-07-01T13:50:44.965000+02:00,1210
2026-07-01T13:50:45.015000+02:00,1160
2026-07-01T13:50:45.065000+02:00,1150
2026-07-01T13:50:45.115000+02:00,2280
2026-07-01T13:50:45.165000+02:00,1420
2026-07-01T13:50:45.215000+02:00,1270
2026-07-01T13:50:45.265000+02:00,1180
2026-07-01T13:50:45.315000+02:00,1350
2026-07-01T13:50:45.365000+02:00,1130
2026-07-01T13:50:45.415000+02:00,1190
2026-07-01T13:50:45.465000+02:00,1380
2026-07-01T13:50:45.515000+02:00,1520
2026-07-01T13:50:45.569000+02:00,1430
2026-07-01T13:50:45.616000+02:00,1400
2026-07-01T13:50:45.669000+02:00,1270
2026-07-01T13:50:45.716000+02:00,1270
2026-07-01T13:50:45.769000+02:00,1460
2026-07-01T13:50:45.816000+02:00,1400
2026-07-01T13:50:45.869000+02:00,1170
2026-07-01T13:50:45.916000+02:00,1230
2026-07-01T13:50:45.970000+02:00,1260
2026-07-01T13:50:46.018000+02:00,1210
2026-07-01T13:50:46.071000+02:00,1720
2026-07-01T13:50:46.116000+02:00,1370
2026-07-01T13:50:46.170000+02:00,1220
2026-07-01T13:50:46.217000+02:00,1120
2026-07-01T13:50:46.270000+02:00,1230
2026-07-01T13:50:46.317000+02:00,1180
2026-07-01T13:50:46.370000+02:00,1320
2026-07-01T13:50:46.417000+02:00,1610
2026-07-01T13:50:46.470000+02:00,2009
2026-07-01T13:50:46.517000+02:00,2550
2026-07-01T13:50:46.570000+02:00,2150
2026-07-01T13:50:46.617000+02:00,2110
2026-07-01T13:50:46.670000+02:00,1970
2026-07-01T13:50:46.717000+02:00,1740
2026-07-01T13:50:46.770000+02:00,4850
2026-07-01T13:50:46.817000+02:00,3150
2026-07-01T13:50:46.870000+02:00,1760
2026-07-01T13:50:46.918000+02:00,1890
2026-07-01T13:50:46.970000+02:00,1240
2026-07-01T13:50:47.018000+02:00,1460
2026-07-01T13:50:47.070000+02:00,1430
2026-07-01T13:50:47.118000+02:00,1260
2026-07-01T13:50:47.170000+02:00,3260
2026-07-01T13:50:47.218000+02:00,3420
2026-07-01T13:50:47.270000+02:00,2490
2026-07-01T13:50:47.318000+02:00,2760
2026-07-01T13:50:47.370000+02:00,1600
2026-07-01T13:50:47.418000+02:00,1880
2026-07-01T13:50:47.470000+02:00,1670
2026-07-01T13:50:47.518000+02:00,1640
2026-07-01T13:50:47.570000+02:00,1500
2026-07-01T13:50:47.620000+02:00,1670
2026-07-01T13:50:47.670000+02:00,1570
2026-07-01T13:50:47.720000+02:00,1630
2026-07-01T13:50:47.770000+02:00,1760
2026-07-01T13:50:47.820000+02:00,1710
2026-07-01T13:50:47.870000+02:00,1650
2026-07-01T13:50:47.920000+02:00,1820
2026-07-01T13:50:47.970000+02:00,1720
2026-07-01T13:50:48.020000+02:00,1750
2026-07-01T13:50:48.070000+02:00,1610
2026-07-01T13:50:48.120000+02:00,1830
2026-07-01T13:50:48.170000+02:00,2170
2026-07-01T13:50:48.220000+02:00,2490
2026-07-01T13:50:48.270000+02:00,3290
2026-07-01T13:50:48.321000+02:00,4790
2026-07-01T13:50:48.371000+02:00,6960
2026-07-01T13:50:48.421000+02:00,6100
2026-07-01T13:50:48.471000+02:00,4180
2026-07-01T13:50:48.521000+02:00,5620
2026-07-01T13:50:48.571000+02:00,5490
2026-07-01T13:50:48.621000+02:00,5960
2026-07-01T13:50:48.671000+02:00,6220
2026-07-01T13:50:48.721000+02:00,2680
2026-07-01T13:50:48.771000+02:00,2250
2026-07-01T13:50:48.821000+02:00,2200
2026-07-01T13:50:48.872000+02:00,2050
2026-07-01T13:50:48.922000+02:00,2050
2026-07-01T13:50:48.972000+02:00,1990
2026-07-01T13:50:49.022000+02:00,1880
2026-07-01T13:50:49.072000+02:00,1420
2026-07-01T13:50:49.122000+02:00,1420
2026-07-01T13:50:49.172000+02:00,1310
2026-07-01T13:50:49.222000+02:00,1220
2026-07-01T13:50:49.272000+02:00,1170
2026-07-01T13:50:49.322000+02:00,1240
2026-07-01T13:50:49.372000+02:00,1130
2026-07-01T13:50:49.423000+02:00,1250
2026-07-01T13:50:49.473000+02:00,1220
2026-07-01T13:50:49.523000+02:00,1070
2026-07-01T13:50:49.573000+02:00,1280
2026-07-01T13:50:49.623000+02:00,1300
2026-07-01T13:50:49.673000+02:00,1360
2026-07-01T13:50:49.723000+02:00,1410
2026-07-01T13:50:49.773000+02:00,1370
2026-07-01T13:50:49.823000+02:00,1720
2026-07-01T13:50:49.873000+02:00,1900
2026-07-01T13:50:49.923000+02:00,1410
2026-07-01T13:50:49.973000+02:00,1530
2026-07-01T13:50:50.024000+02:00,1330
2026-07-01T13:50:50.074000+02:00,1270
2026-07-01T13:50:50.124000+02:00,1160
2026-07-01T13:50:50.174000+02:00,1220
2026-07-01T13:50:50.224000+02:00,1160
2026-07-01T13:50:50.274000+02:00,1120
2026-07-01T13:50:50.324000+02:00,1420
2026-07-01T13:50:50.374000+02:00,1350
2026-07-01T13:50:50.424000+02:00,1400
2026-07-01T13:50:50.474000+02:00,1170
2026-07-01T13:50:50.525000+02:00,1460
2026-07-01T13:50:50.575000+02:00,1260
2026-07-01T13:50:50.625000+02:00,1390
2026-07-01T13:50:50.675000+02:00,1590
2026-07-01T13:50:50.726000+02:00,1370
2026-07-01T13:50:50.775000+02:00,1340
2026-07-01T13:50:50.825000+02:00,2600
2026-07-01T13:50:50.875000+02:00,1240
2026-07-01T13:50:50.925000+02:00,2190
2026-07-01T13:50:50.975000+02:00,1540
2026-07-01T13:50:51.025000+02:00,1630
2026-07-01T13:50:51.076000+02:00,2090
2026-07-01T13:50:51.126000+02:00,1430
2026-07-01T13:50:51.176000+02:00,2050
