ts,rail,value
12162303000000,power.rails.tpu,156810467.0
12162303000000,power.rails.modem,92227079.0
12162303000000,power.rails.radio.frontend,1650.0
12162303000000,power.rails.cpu.big,628896502.0
12162303000000,power.rails.cpu.mid,302527964.0
12162303000000,power.rails.cpu.little,588337617.0
12162303000000,power.rails.system.fabric,366157696.0
12162303000000,power.rails.memory.interface,419069186.0
12162304000000,power.rails.wifi.bt,1039740064.0
12162304000000,power.rails.aoc.memory,37380803.0
12162304000000,power.rails.aoc.logic,179569855.0
12162304000000,power.rails.ddr.a,115611331.0
12162304000000,power.rails.ddr.b,216122366.0
12162304000000,power.rails.ddr.c,349694315.0
12162304000000,power.rails.gpu,78755756.0
12162304000000,power.rails.display,3952191627.0
12162505000000,power.rails.tpu,156813130.0
12162505000000,power.rails.modem,92229418.0
12162505000000,power.rails.radio.frontend,1650.0
12162505000000,power.rails.cpu.big,628897700.0
12162505000000,power.rails.cpu.mid,302530191.0
12162505000000,power.rails.cpu.little,588342934.0
12162505000000,power.rails.system.fabric,366164193.0
12162505000000,power.rails.memory.interface,419075674.0
12162506000000,power.rails.wifi.bt,1039755983.0
12162506000000,power.rails.aoc.memory,37381585.0
12162506000000,power.rails.aoc.logic,179572995.0
12162506000000,power.rails.ddr.a,115613871.0
12162506000000,power.rails.ddr.b,216125957.0
12162506000000,power.rails.ddr.c,349700384.0
12162506000000,power.rails.gpu,78756137.0
12162506000000,power.rails.display,3952287862.0
12163003000000,power.rails.tpu,156819730.0
12163003000000,power.rails.modem,92233115.0
12163003000000,power.rails.radio.frontend,1650.0
12163003000000,power.rails.cpu.big,628914590.0
12163003000000,power.rails.cpu.mid,302537545.0
12163003000000,power.rails.cpu.little,588359352.0
12163003000000,power.rails.system.fabric,366179692.0
12163003000000,power.rails.memory.interface,419088469.0
12163005000000,power.rails.wifi.bt,1039758645.0
12163005000000,power.rails.aoc.memory,37383438.0
12163005000000,power.rails.aoc.logic,179580471.0
12163005000000,power.rails.ddr.a,115617727.0
12163005000000,power.rails.ddr.b,216134827.0
12163005000000,power.rails.ddr.c,349709420.0
12163005000000,power.rails.gpu,78758265.0
12163005000000,power.rails.display,3952525910.0
12163504000000,power.rails.tpu,156826289.0
12163504000000,power.rails.modem,92237798.0
12163504000000,power.rails.radio.frontend,1650.0
12163504000000,power.rails.cpu.big,628917629.0
12163504000000,power.rails.cpu.mid,302542678.0
12163504000000,power.rails.cpu.little,588371983.0
12163504000000,power.rails.system.fabric,366195349.0
12163504000000,power.rails.memory.interface,419102186.0
12163506000000,power.rails.wifi.bt,1039781855.0
12163506000000,power.rails.aoc.memory,37385259.0
12163506000000,power.rails.aoc.logic,179589394.0
12163506000000,power.rails.ddr.a,115624246.0
12163506000000,power.rails.ddr.b,216143749.0
12163506000000,power.rails.ddr.c,349722227.0
12163506000000,power.rails.gpu,78759265.0
12163506000000,power.rails.display,3952763659.0
12164008000000,power.rails.tpu,156832888.0
12164008000000,power.rails.modem,92243985.0
12164008000000,power.rails.radio.frontend,1650.0
12164008000000,power.rails.cpu.big,628920127.0
12164008000000,power.rails.cpu.mid,302550009.0
12164008000000,power.rails.cpu.little,588387008.0
12164008000000,power.rails.system.fabric,366211043.0
12164008000000,power.rails.memory.interface,419113803.0
12164009000000,power.rails.wifi.bt,1039797322.0
12164009000000,power.rails.aoc.memory,37387012.0
12164009000000,power.rails.aoc.logic,179597255.0
12164009000000,power.rails.ddr.a,115631175.0
12164009000000,power.rails.ddr.b,216152646.0
12164009000000,power.rails.ddr.c,349733420.0
12164009000000,power.rails.gpu,78760243.0
12164009000000,power.rails.display,3953001679.0
12164503000000,power.rails.tpu,156839385.0
12164503000000,power.rails.modem,92249836.0
12164503000000,power.rails.radio.frontend,1650.0
12164503000000,power.rails.cpu.big,628956636.0
12164503000000,power.rails.cpu.mid,302562878.0
12164503000000,power.rails.cpu.little,588423249.0
12164503000000,power.rails.system.fabric,366228117.0
12164503000000,power.rails.memory.interface,419138816.0
12164504000000,power.rails.wifi.bt,1039853220.0
12164504000000,power.rails.aoc.memory,37388862.0
12164504000000,power.rails.aoc.logic,179605463.0
12164504000000,power.rails.ddr.a,115636671.0
12164504000000,power.rails.ddr.b,216161465.0
12164504000000,power.rails.ddr.c,349751309.0
12164504000000,power.rails.gpu,78763115.0
12164504000000,power.rails.display,3953236033.0
12165002000000,power.rails.tpu,156846053.0
12165002000000,power.rails.modem,92255306.0
12165002000000,power.rails.radio.frontend,1650.0
12165002000000,power.rails.cpu.big,628990079.0
12165002000000,power.rails.cpu.mid,302605257.0
12165002000000,power.rails.cpu.little,588500629.0
12165002000000,power.rails.system.fabric,366246859.0
12165002000000,power.rails.memory.interface,419174937.0
12165003000000,power.rails.wifi.bt,1039937526.0
